1.4.7 Lesser Antilles / Creole Caribbean	2.2.1.3.24.23	1.4.7 Lesser Antilles / Creole Caribbean
Laban rayeb	3.2.1.2.16.5	Laban rayeb
Laban rayeb	3.2.1.3.11.3	Laban rayeb
Laban rayeb	3.2.1.3.12.5	Laban rayeb
Laban rayeb	3.2.1.3.14.1	Laban rayeb
Laban rayeb	3.2.1.3.16.5	Laban rayeb
Laban rayeb	3.2.1.3.20.8	Laban rayeb
Laban rayeb	3.2.1.4.11.4	Laban rayeb
Laban rayeb	3.2.1.4.12.4	Laban rayeb
Laban rayeb	3.2.1.4.14.2	Laban rayeb
Laban rayeb	3.2.1.4.16.5	Laban rayeb
Laban rayeb	3.2.1.4.20.9	Laban rayeb
Laban rayeb culture	3.2.1.1.22.2	Laban rayeb culture
Laban rayeb culture	3.2.1.2.22.5	Laban rayeb culture
Laban rayeb culture	3.2.1.3.22.3	Laban rayeb culture
Laban rayeb culture	3.2.1.4.22.3	Laban rayeb culture
labaneh	4.3.4.1.11.1	labaneh
labaneh	4.3.4.3.11.4	labaneh
labaneh	4.3.5.4.11.5	labaneh
labaneh balls in olive oil	4.3.4.1.14.1	labaneh balls in olive oil
labaneh balls in olive oil	4.3.4.3.14.1	labaneh balls in olive oil
labaneh balls in olive oil	4.3.5.4.14.1	labaneh balls in olive oil
Labaneh Jarashiyeh	4.3.3.1.11.1	Labaneh Jarashiyeh
Labaneh Jarashiyeh	4.3.3.1.18.6	Labaneh Jarashiyeh
labaneh spread	4.3.5.4.13.5	labaneh spread
Labanga	5.5.2.1.8.14	Labanga
Labanga	5.5.2.2.8.14	Labanga
Labania ice cream	4.5.1.1.18.8	Labania ice cream
labdourou	3.4.7.4.18.9	labdourou
Labeo	3.2.3.1.6.9	Labeo
Labeo	3.4.1.4.6.6	Labeo
Labeo	3.4.6.4.6.7	Labeo
Labeo	3.4.6.6.6.11	Labeo
Labeo	3.4.7.2.6.8	Labeo
Labeo	3.4.7.3.6.5	Labeo
Labeo	3.5.2.2.6.8	Labeo
Labeo	3.6.1.4.6.8	Labeo
labeo	3.4.1.2.6.7	labeo
Labeo altivelis	3.7.4.1.6.15	Labeo altivelis
Labeo altivelis	3.7.4.4.6.14	Labeo altivelis
Labeo congoro	3.7.4.4.6.15	Labeo congoro
Labeo niloticus	3.2.1.4.6.18	Labeo niloticus
Labinot tomatoes	2.6.7.2.2.8	Labinot tomatoes
Lablab	3.2.2.2.4.8	Lablab
Lablab bean	5.7.2.3.4.4	Lablab bean
Lablab bean	7.5.1.1.4.5	Lablab bean
Lablab bean	7.5.1.2.4.8	Lablab bean
Lablab bean	7.5.1.3.4.6	Lablab bean
Lablab bean	9.3.1.1.4.7	Lablab bean
lablab bean	7.1.1.2.4.8	lablab bean
lablab bean	7.1.1.5.4.5	lablab bean
Lablab bean pods	5.7.2.3.2.13	Lablab bean pods
Lablab beans	3.6.1.1.4.4	Lablab beans
Lablab beans	3.6.1.2.4.8	Lablab beans
Lablab beans	4.5.5.4.4.2	Lablab beans
lablab beans	7.1.1.1.4.12	lablab beans
labn al-nashef	4.4.3.2.11.9	labn al-nashef
labn al-nashef	4.4.3.2.14.10	labn al-nashef
labne	2.8.2.3.11.5	labne
labne	4.1.1.1.11.11	labne
Labneh	4.5.1.1.11.4	Labneh
Labneh	4.5.3.2.11.3	Labneh
Labneh	4.5.3.2.14.5	Labneh
Labneh	4.5.6.1.11.5	Labneh
Labneh	4.5.6.1.14.9	Labneh
labneh	4.3.1.1.11.2	labneh
labneh	4.3.1.2.11.3	labneh
labneh	4.3.1.3.11.6	labneh
labneh	4.3.1.4.11.5	labneh
labneh	4.3.1.5.11.5	labneh
labneh	4.3.2.1.11.4	labneh
labneh	4.3.2.2.11.3	labneh
labneh	4.3.2.3.11.3	labneh
labneh	4.3.2.4.11.6	labneh
labneh	4.3.2.5.11.3	labneh
labneh	4.3.3.1.11.4	labneh
labneh	4.3.3.1.14.3	labneh
labneh	4.3.3.2.11.2	labneh
labneh	4.3.3.3.11.7	labneh
labneh	4.3.3.4.11.6	labneh
labneh	4.3.4.2.11.4	labneh
labneh	4.3.4.4.11.3	labneh
labneh	4.3.5.1.11.2	labneh
labneh	4.3.5.2.11.5	labneh
labneh	4.3.5.3.11.6	labneh
labneh	4.3.5.5.11.5	labneh
labneh	4.4.1.1.11.3	labneh
labneh	4.4.2.1.11.6	labneh
labneh	4.4.2.1.14.4	labneh
labneh balls	4.3.3.4.14.2	labneh balls
labneh balls in oil	4.3.1.3.11.7	labneh balls in oil
labneh balls in oil	4.3.1.3.14.4	labneh balls in oil
labneh balls in oil	4.3.1.4.11.6	labneh balls in oil
labneh balls in oil	4.3.1.4.14.6	labneh balls in oil
labneh balls in oil	4.3.2.4.14.3	labneh balls in oil
labneh balls in olive oil	4.3.2.3.14.7	labneh balls in olive oil
labneh balls in olive oil	4.3.2.5.14.3	labneh balls in olive oil
labneh balls in olive oil	4.3.3.2.14.2	labneh balls in olive oil
labneh balls in olive oil	4.3.3.3.14.2	labneh balls in olive oil
labneh balls in olive oil	4.3.4.2.14.2	labneh balls in olive oil
labneh balls in olive oil	4.3.4.4.14.1	labneh balls in olive oil
labneh balls in olive oil	4.3.5.1.14.1	labneh balls in olive oil
labneh balls in olive oil	4.3.5.2.14.1	labneh balls in olive oil
labneh balls in olive oil	4.3.5.3.14.1	labneh balls in olive oil
labneh balls in olive oil	4.3.5.5.14.1	labneh balls in olive oil
labneh spread	4.3.1.2.13.6	labneh spread
labneh spread	4.3.5.1.13.4	labneh spread
labneh spread	4.3.5.2.13.4	labneh spread
labneh spread	4.3.5.3.13.5	labneh spread
labneh spread	4.3.5.5.13.4	labneh spread
Labo	5.7.3.1.11.7	Labo
Labog	7.4.2.2.18.7	Labog
Labog	7.4.2.2.2.20	Labog
Labog	7.4.2.2.7.7	Labog
Laboko yam	3.4.5.2.1.14	Laboko yam
Laboko yam	3.4.5.2.18.1	Laboko yam
Labrador tea	1.1.11.1.18.13	Labrador tea
Labrador tea	1.1.11.1.19.7	Labrador tea
Labrador tea	1.1.13.1.19.1	Labrador tea
Labrador tea	1.1.13.5.18.5	Labrador tea
Labrador tea	1.1.13.5.19.1	Labrador tea
Labrador tea	1.1.13.5.20.1	Labrador tea
Labrador tea	1.1.13.5.7.6	Labrador tea
Labrador tea	1.1.14.3.18.1	Labrador tea
Labrador tea	1.1.14.3.19.1	Labrador tea
Labrador tea leaves	1.1.14.3.7.4	Labrador tea leaves
Labrador tea leaves	2.9.4.4.19.2	Labrador tea leaves
Labrador tea leaves	2.9.4.4.7.8	Labrador tea leaves
Labskaus	2.5.1.4.18.1	Labskaus
Lacatan banana	9.4.1.2.3.5	Lacatan banana
Lacatan banana	9.4.1.3.3.6	Lacatan banana
Lacatan banana	9.4.3.4.1.9	Lacatan banana
Lacatan banana	9.4.3.4.18.7	Lacatan banana
lacayote	1.6.5.4.2.14	lacayote
lacayote blanco	1.6.5.3.2.5	lacayote blanco
lacayote overo blanco	1.6.5.3.2.6	lacayote overo blanco
lacayote verde	1.6.5.3.2.4	lacayote verde
lacherda de scrumbie	2.8.4.4.14.3	breadcrumbs
Lachs	2.5.1.1.6.13	Lachs
Lachsforelle	2.5.1.2.6.21	Lachsforelle
Lachsforelle	2.5.2.1.6.25	Lachsforelle
Lachsforelle	2.5.3.2.6.7	Lachsforelle
lacón	2.2.2.3.6.7	lacon
lacón curado	2.2.2.3.14.5	cured lacon
lacón galego	2.2.2.1.14.1	Galician lacón
lacón galego	2.2.2.1.6.3	Galician lacón
lacón galego	2.2.2.2.14.1	Galician lacón
lacón galego	2.2.2.2.6.5	Galician lacón
Lacoyi	3.6.3.4.20.4	Lacoyi
Lacrima di Morro d'Alba DOC	2.4.3.3.20.15	Lacrima di Morro d'Alba DOC
Lactarius mushrooms	6.8.1.1.18.3	Lactarius mushrooms
lactic acid bacteria	6.7.3.1.22.3	lactic acid bacteria
lactic acid bacteria	6.7.4.2.22.4	lactic acid bacteria
lactic acid bacteria	6.7.4.3.22.4	lactic acid bacteria
lactic acid bacteria	6.7.5.1.22.5	lactic acid bacteria
lactic acid bacteria	6.7.5.3.22.6	lactic acid bacteria
lactic acid bacteria	6.7.6.2.22.6	lactic acid bacteria
lactic acid bacteria	6.7.6.3.22.8	lactic acid bacteria
lactic acid bacteria	6.7.6.4.22.9	lactic acid bacteria
lactic acid bacteria	6.7.6.5.22.7	lactic acid bacteria
Lactic culture	2.9.2.1.22.8	Lactic culture
Lactic culture	2.9.2.4.22.7	Lactic culture
Lactic culture	2.9.3.2.22.8	Lactic culture
Lactic culture	2.9.3.3.22.4	Lactic culture
Lactic culture	2.9.4.2.22.4	Lactic culture
Lactic culture	2.9.4.3.22.6	Lactic culture
Lactic culture	2.9.4.4.22.7	Lactic culture
Lactic culture	2.9.5.4.22.4	Lactic culture
Lactic culture	2.9.6.3.22.6	Lactic culture
lactic cultures	3.1.1.4.22.2	lactic cultures
lactic cultures	3.1.2.2.22.4	lactic cultures
lactic cultures	3.4.2.1.22.2	lactic cultures
lactic cultures	3.4.2.2.22.2	lactic cultures
lactic cultures	3.4.2.4.22.2	lactic cultures
lactic cultures	3.4.3.1.22.5	lactic cultures
lactic cultures	3.4.3.2.22.5	lactic cultures
lactic cultures	3.4.4.1.22.2	lactic cultures
lactic cultures	3.4.4.2.22.2	lactic cultures
lactic cultures	3.4.4.3.22.1	lactic cultures
lactic cultures	3.4.4.4.22.2	lactic cultures
lactic cultures	3.4.5.1.22.2	lactic cultures
lactic cultures	3.4.5.2.22.2	lactic cultures
lactic cultures	3.4.5.3.22.2	lactic cultures
lactic cultures	3.4.5.4.22.2	lactic cultures
lactic cultures	3.4.6.1.22.2	lactic cultures
lactic cultures	3.4.6.2.22.2	lactic cultures
lactic cultures	3.4.6.3.22.2	lactic cultures
lactic cultures	3.4.6.4.22.2	lactic cultures
lactic cultures	3.4.6.5.22.2	lactic cultures
lactic cultures	3.4.6.6.22.2	lactic cultures
lactic cultures	3.4.7.1.22.2	lactic cultures
lactic cultures	3.4.7.2.22.2	lactic cultures
lactic cultures	3.4.7.3.22.2	lactic cultures
lactic cultures	3.4.7.4.22.2	lactic cultures
lactic ferments	3.1.1.3.22.4	lactic ferments
lactic ferments	3.4.1.1.22.2	lactic ferments
lactic ferments	3.4.1.2.22.2	lactic ferments
lactic ferments	3.4.1.3.22.2	lactic ferments
Lactic starter	2.2.7.5.22.5	Lactic starter
Lactic starter culture	2.2.8.1.22.3	Lactic starter culture
Lactic starter culture	2.9.1.1.22.3	Lactic starter culture
Lactic starter culture	2.9.8.2.22.4	Lactic starter culture
lactic starter cultures	3.1.1.2.22.4	lactic starter cultures
lacto	3.7.4.1.11.8	lacto
lacto	3.7.4.2.11.8	lacto
Ladakh cress leaves	5.7.3.1.2.39	Ladakh cress leaves
Ladek	7.4.1.5.13.9	Ladek
Ladies' finger	5.5.1.3.2.6	Ladies' finger
Ladotyri Mytilinis	2.7.2.4.11.1	Ladotyri Mytilinis
Ladotyri Mytilinis	2.7.2.4.18.3	Ladotyri Mytilinis
ladotyri of Paros	2.7.2.1.14.12	ladotyri of Paros
ladotyri preserved in olive oil	2.7.2.3.14.6	ladotyri preserved in olive oil
ladotyri Zakynthou	2.7.2.3.11.4	ladotyri Zakynthou
ladotyri Zakynthou	2.7.2.3.18.12	ladotyri Zakynthou
Lady apple	9.1.1.5.3.12	Lady apple
Lady apple	9.1.4.4.3.7	Lady apple
lady finger	5.1.3.1.2.4	lady finger
Lady peas	1.1.3.5.4.8	Lady peas
Lady Rosetta potato	3.2.1.1.1.12	Lady Rosetta potato
Lady's mantle	2.5.6.2.19.17	Lady's mantle
Lady's mantle	2.5.6.2.7.22	Lady's mantle
Lady's mantle	2.9.5.2.19.5	Lady's mantle
Lady's mantle	2.9.5.2.7.9	Lady's mantle
lady's mantle	2.6.1.1.19.7	lady's mantle
lady's mantle	2.6.1.1.7.12	lady's mantle
Lafa shak	5.5.1.3.7.4	Lafa shak
laffa	4.3.5.3.23.1	laffa
laffa	4.3.5.5.23.3	laffa
lafidi	3.4.2.4.18.6	lafidi
lafun	3.4.6.1.1.12	lafun
lafun	3.4.6.1.14.5	lafun
lafun	3.4.6.2.1.9	lafun
lafun	3.4.6.2.14.10	lafun
lafun	3.4.6.4.1.11	lafun
lafun	3.4.6.4.14.8	lafun
lagane	2.4.5.1.1.24	lagane
lagane	2.4.5.3.1.22	lagane
Lager	1.1.13.6.20.3	Lager
Lager	1.1.14.6.20.3	Lager
Lager	1.2.1.6.20.2	Lager
Lager	1.2.2.6.20.2	Lager
Lager	1.2.2.7.20.2	Lager
Lager	1.2.2.8.20.2	Lager
Lager	1.2.2.9.20.2	Lager
Lager	1.2.3.5.20.2	Lager
Lager	1.2.3.6.20.2	Lager
Lager	1.2.4.6.20.2	Lager
Lager	2.9.3.4.20.8	Lager
Lager	2.9.4.3.20.6	Lager
lager beer	1.1.6.1.20.7	lager beer
lager beer	1.1.6.4.20.3	lager beer
lager beer	3.7.2.3.16.6	lager beer
lager beer	3.7.2.3.20.1	lager beer
Laghman cauliflower	5.1.2.1.18.9	Laghman cauliflower
laghman dough	8.1.3.1.23.1	laghman dough
laghman dough	8.1.3.2.23.1	laghman dough
laghman dough	8.1.3.3.23.1	laghman dough
laghman dough	8.1.3.4.23.1	laghman dough
laghman dough	8.1.4.1.23.1	laghman dough
laghman dough	8.1.4.2.23.1	laghman dough
laghman dough	8.1.4.3.23.1	laghman dough
laghman noodles	8.1.1.2.1.11	laghman noodles
laghman noodles	8.1.1.2.23.3	laghman noodles
laghman noodles	8.1.1.5.1.9	laghman noodles
laghman noodles	8.1.1.5.23.4	laghman noodles
laghman noodles	8.1.2.4.1.13	laghman noodles
laghman noodles	8.1.2.4.23.2	laghman noodles
laghman noodles	8.1.3.1.1.8	laghman noodles
laghman noodles	8.1.3.2.1.11	laghman noodles
laghman noodles	8.1.3.3.1.10	laghman noodles
laghman noodles	8.1.3.4.1.9	laghman noodles
laghman noodles	8.1.4.1.1.9	laghman noodles
laghman noodles	8.1.4.2.1.8	laghman noodles
laghman noodles	8.1.4.3.1.8	laghman noodles
Lagidze water	4.2.1.1.20.9	Lagidze water
Lago di Corbara DOC	2.4.3.2.20.11	Lake Corbara DOC
Lagoon crab	5.8.1.4.6.2	Lagoon crab
Lagoon crab	5.8.1.5.6.1	Lagoon crab
lagoon crab	3.4.5.3.18.7	lagoon crab
lagoon crab	3.4.5.3.6.10	lagoon crab
Lagoon fish	9.3.5.3.6.5	Lagoon fish
lagoon fish	9.5.3.2.6.5	lagoon fish
lagoon salt	3.4.5.1.18.10	lagoon salt
lagoon salt	3.4.5.1.21.2	lagoon salt
lagoon salt	3.4.5.3.21.2	lagoon salt
lagoon salted fish	2.7.1.3.14.2	lagoon salted fish
lagosta	1.7.4.1.6.18	lagosta
lagosta	2.2.1.1.6.41	lagosta
Lagrein	2.4.2.3.20.7	Lagrein
Laguiole	2.3.2.3.11.11	Laguiole
Laguiole	2.3.4.3.11.8	Laguiole
Laguiole AOP	2.3.2.3.18.12	Laguiole AOP
Laguiole AOP	2.3.4.3.18.13	Laguiole AOP
Lagundi leaves	7.4.1.1.19.5	Lagundi leaves
lahana	4.1.3.1.2.13	lahana
lahang	7.3.2.1.20.3	lahang
Lahasun	5.5.3.3.9.2	Lahasun
Lahasun chutney	5.5.3.3.13.5	Lahasun chutney
Lahoh	4.5.4.1.1.15	Lahoh
Lahoh	4.5.4.1.18.5	Lahoh
Lahoh	4.5.4.1.23.1	Lahoh
Lahoh	4.5.4.2.1.10	Lahoh
Lahoh	4.5.4.2.23.1	Lahoh
Lahsun	5.5.3.1.9.2	Lahsun
Lahsun	5.5.3.2.9.2	Lahsun
Lahsun	5.5.3.4.9.2	Lahsun
Lahsun	5.5.4.1.8.8	Lahsun
Lahsun	5.5.4.1.9.2	Lahsun
Lahsun	5.5.4.2.8.8	Lahsun
Lahsun	5.5.4.2.9.2	Lahsun
Lahsun	5.5.4.3.9.2	Lahsun
Lahsun chutney	5.5.3.2.13.2	Lahsun chutney
Lahsun chutney	5.5.3.4.13.2	Lahsun chutney
Lahsun chutney	5.5.4.3.13.6	Lahsun chutney
Lahuh	4.5.1.2.23.7	Lahuh
lahung	7.3.4.2.3.9	lahung
lahung	7.3.4.4.18.9	lahung
lahung	7.3.4.4.3.1	lahung
Lai xaak	5.5.5.1.7.1	Lai xaak
Lairig Ghru	2.1.2.3.11.7	Lairig Ghru
Lairu leaves	5.5.5.2.23.2	Lairu leaves
lais	7.3.1.3.6.5	lais
lais	7.3.4.2.6.5	lais
Lait	1.4.7.3.11.1	Lait
Lait	1.4.9.1.11.1	Lait
Lait	1.4.9.2.11.1	Lait
Lait	1.4.9.3.11.1	Lait
lait	2.5.4.2.16.4	lait
Lait caillé	3.8.5.2.11.3	curdled milk
Lait caillé	3.8.5.2.14.1	curdled milk
Lait caillé	3.8.5.3.11.3	curdled milk
Lait caillé	3.8.5.3.14.1	curdled milk
lait caillé	3.4.1.1.11.1	curdled milk
lait caillé	3.4.1.1.14.7	curdled milk
lait caillé	3.4.1.2.11.3	curdled milk
lait caillé	3.4.1.2.14.1	curdled milk
lait caillé	3.4.1.2.20.9	curdled milk
lait caillé	3.4.2.2.11.2	curdled milk
lait caillé	3.4.2.2.14.1	curdled milk
lait caillé	3.4.2.2.20.2	curdled milk
lait caillé	3.4.2.4.11.2	curdled milk
lait caillé	3.4.2.4.14.2	curdled milk
lait caillé	3.4.2.4.20.3	curdled milk
lait caillé	3.4.7.2.11.4	curdled milk
lait caillé	3.4.7.2.14.2	curdled milk
lait caillé	3.4.7.2.20.8	curdled milk
lait caillé	3.4.7.3.11.4	curdled milk
lait caillé	3.4.7.3.14.2	curdled milk
lait caillé	3.4.7.3.20.7	curdled milk
lait caillé	3.4.7.4.11.4	curdled milk
lait caillé	3.4.7.4.14.2	curdled milk
lait caillé	3.4.7.4.20.5	curdled milk
Lait concentré non sucré	1.4.7.3.11.2	Unsweetened condensed milk
Lait concentré non sucré	1.4.9.1.11.2	Unsweetened condensed milk
Lait concentré non sucré	1.4.9.2.11.2	Unsweetened condensed milk
Lait concentré non sucré	1.4.9.3.11.2	Unsweetened condensed milk
Lait concentré sucré	1.4.7.3.11.3	Sweetened condensed milk
Lait concentré sucré	1.4.9.1.11.3	Sweetened condensed milk
Lait concentré sucré	1.4.9.2.11.3	Sweetened condensed milk
Lait concentré sucré	1.4.9.3.11.3	Sweetened condensed milk
lait cru	2.5.4.2.11.2	lait cru
Lait de coco	1.4.7.3.11.4	Coconut milk
Lait de coco	1.4.7.3.16.2	Coconut milk
Lait de coco	1.4.9.1.11.4	Coconut milk
Lait de coco	1.4.9.1.16.2	Coconut milk
Lait de coco	1.4.9.2.11.4	Coconut milk
Lait de coco	1.4.9.2.16.2	Coconut milk
Lait de coco	1.4.9.3.11.4	Coconut milk
Lait de coco	1.4.9.3.16.2	Coconut milk
lait entier	2.5.4.2.11.1	lait entier
Lait ribot	2.3.1.2.11.3	Lait ribot
Lait ribot	2.3.1.2.16.8	Lait ribot
lait thermisé	2.5.4.2.11.3	thermized milk
Laitkynsew tomato	5.5.5.3.18.4	Laitkynsew tomato
Laitkynsew tomato	5.5.5.3.2.11	Laitkynsew tomato
Laitue	1.4.7.3.2.17	Laitue
Laitue	1.4.9.3.2.14	Laitue
Laiwu black pig	6.1.2.2.18.5	Laiwu black pig
Laiwu black pig	6.1.2.2.6.1	Laiwu black pig
Laiwu ginger	6.1.2.2.18.4	Laiwu ginger
Laiwu ginger	6.1.2.2.2.3	Laiwu ginger
Laiwu ginger	6.1.2.2.9.3	Laiwu ginger
Laiwu sausage	6.1.2.2.14.11	Laiwu sausage
Laiyang pear	6.1.2.1.18.11	Laiyang pear
Laiyang pear	6.1.2.1.19.2	Laiyang pear
Laiyang pear	6.1.2.1.3.2	Laiyang pear
Laja de piedra	1.5.1.1.23.7	stone slab
lák z kysaného zelí	2.5.5.3.12.1	pickle from sauerkraut
Lakadong turmeric	5.5.5.3.18.1	Lakadong turmeric
Lakadong turmeric	5.5.5.3.19.1	Lakadong turmeric
Lakadong turmeric	5.5.5.3.8.1	Lakadong turmeric
Lakatan banana	9.4.2.2.3.1	Lakatan banana
Lakdi ka dhuan	5.5.4.1.24.4	Lakdi ka dhuan
Lakdi ki aanch	5.5.3.1.24.3	Lakdi ki aanch
Lakdi ki aanch	5.5.3.2.24.1	Lakdi ki aanch
Lakdi ki aanch	5.5.3.3.24.1	Lakdi ki aanch
Lakdi ki aanch	5.5.3.4.24.1	Lakdi ki aanch
Lakdi ki aanch	5.5.4.1.24.1	Lakdi ki aanch
Lakdi ki aanch	5.5.4.2.24.1	Lakdi ki aanch
Lakdi ki aanch	5.5.4.3.24.1	Lakdi ki aanch
Lakdi ki raakh	5.5.4.2.21.4	Lakdi ki raakh
Lake Albert fish	3.5.4.6.18.8	Lake Albert fish
Lake Albert fish	3.5.4.6.6.2	Lake Albert fish
Lake Atitlán black bass	1.3.1.1.6.12	Lake Atitlán black bass
Lake Atitlán freshwater crabs	1.3.1.1.6.11	Lake Atitlán freshwater crabs
Lake Erie yellow perch	1.1.6.4.6.7	Lake Erie yellow perch
Lake Huron sea salt	1.1.13.2.21.4	Lake Huron sea salt
Lake Inari whitefish	2.9.4.4.18.6	Lake Inari whitefish
Lake Inari whitefish	2.9.4.4.6.7	Lake Inari whitefish
Lake Lanao tilapia	7.4.4.2.18.8	Lake Lanao tilapia
Lake Peipus whitefish	2.9.6.2.6.19	Lake Peipus whitefish
lake salmon	2.8.7.2.6.7	lake salmon
lake salt	4.2.3.1.21.4	lake salt
lake salt	6.4.5.1.21.3	lake salt
lake salt	6.4.5.3.21.3	lake salt
lake salt	6.4.5.4.21.3	lake salt
Lake sardine	1.3.1.3.19.12	Lake sardine
Lake sardine	1.3.1.3.6.4	Lake sardine
lake sheep	6.2.1.4.6.12	lake sheep
Lake trout	1.1.1.2.6.13	Lake trout
Lake trout	1.1.1.3.6.14	Lake trout
Lake trout	1.1.13.6.6.2	Lake trout
Lake trout	2.5.3.4.6.32	Lake trout
Lake trout	2.5.6.2.6.50	Lake trout
lake trout	1.1.11.4.6.9	lake trout
lake trout	1.1.11.5.6.11	lake trout
lake trout	1.1.13.2.6.3	lake trout
lake trout	1.1.13.5.6.2	lake trout
lake trout	1.1.6.1.6.4	lake trout
lake trout	1.1.6.4.6.10	lake trout
lake trout	1.1.6.6.6.5	lake trout
lake water	6.2.4.4.16.2	lake water
Lake whitefish	2.9.8.3.6.10	Lake whitefish
