1.4.9 French Caribbean	2.2.1.3.24.25	1.4.9 French Caribbean
fagiolo cannellino	2.4.3.1.4.4	fagiolo cannellino
fagiolo cannellino	2.4.5.1.4.8	fagiolo cannellino
fagiolo cannellino	2.4.5.3.4.9	fagiolo cannellino
Fagiolo Cannellino di Atina DOP	2.4.4.2.18.4	Atina DOP Cannellino Bean
Fagiolo Cannellino di Atina DOP	2.4.4.2.4.1	Atina DOP Cannellino Bean
Fagiolo cenerino	2.4.3.3.4.6	Fagiolo cenerino
Fagiolo Cuneo Barbarossa	2.4.1.1.4.8	Fagiolo Cuneo Barbarossa
Fagiolo Cuneo Bianco di Bagnasco	2.4.1.1.4.1	Cuneo Bianco Bean from Bagnasco
Fagiolo Cuneo Billò	2.4.1.1.4.3	Cuneo Billò bean
Fagiolo Cuneo Bingo	2.4.1.1.4.6	Fagiolo Cuneo Bingo
Fagiolo Cuneo Millenium	2.4.1.1.4.10	Fagiolo Cuneo Millenium
Fagiolo Cuneo Rossano	2.4.1.1.4.7	Fagiolo Cuneo Rossano
Fagiolo Cuneo Solista	2.4.1.1.4.9	Fagiolo Cuneo Solista
Fagiolo Cuneo Spagna Bianco	2.4.1.1.4.4	Fagiolo Cuneo Spagna Bianco
Fagiolo Cuneo Stregonta	2.4.1.1.4.5	Fagiolo Cuneo Stregonta
Fagiolo Cuneo Vedetta	2.4.1.1.4.2	Fagiolo Cuneo Vedetta
Fagiolo dal Voglut	2.4.2.2.4.3	Fagiolo dal Voglut
fagiolo dell’Aquila di Pignone	2.4.1.2.4.6	Aquila di Pignone bean
Fagiolo dente di morto	2.4.5.1.4.6	Dead tooth bean
Fagiolo di Caria	2.4.5.4.4.1	Caria bean
Fagiolo di Cave	2.4.3.2.4.3	Cave bean
Fagiolo di Controne	2.4.5.1.4.1	Controne bean
Fagiolo di Lamon della Vallata Bellunese IGP	2.4.2.1.4.1	Lamon bean from Vallata Bellunese PGI
Fagiolo di Laverino	2.4.3.3.18.5	Laverino bean
Fagiolo di Laverino	2.4.3.3.4.3	Laverino bean
Fagiolo di Sarconi IGP	2.4.5.3.18.4	Sarconi PGI bean
Fagiolo di Sarconi IGP	2.4.5.3.4.1	Sarconi PGI bean
Fagiolo di Sorana bianco	2.4.3.1.4.2	White Sorana bean
Fagiolo di Sorana rosso	2.4.3.1.4.3	Red Sorana bean
fagiolo giallo della stoppia	2.4.4.2.4.6	yellow stubble bean
Fagiolo Laurons	2.4.2.2.4.2	Fagiolo Laurons
Fagiolo occhio di capra	2.4.3.3.4.7	Goat's eye bean
Fagiolo poverello bianco	2.4.5.4.4.2	Fagiolo poverello bianco
Fagiolo risillo	2.4.5.1.4.7	Fagiolo risillo
fagiolo rosso scritto del Pantano di Pignola	2.4.5.3.4.11	written red bean from the Pantano di Pignola
fagiolo toscanello	2.4.3.1.4.5	fagiolo toscanello
fagiolo verdolino	2.4.4.2.4.7	fagiolo verdolino
Fagiolo zampognaro	2.4.5.1.4.4	Fagiolo zampognaro
Fagiolo Zolfino	2.4.3.1.4.1	Fagiolo Zolfino
Faham	3.8.3.1.19.10	Faham
Faham	3.8.3.2.19.5	Faham
Faham	3.8.3.3.19.2	Faham
Fahsa	4.5.4.1.18.2	Fahsa
Fainá	1.8.2.1.18.8	Fainá
fainè sassarese	2.4.7.1.1.17	faine from Sassari
fainè sassarese	2.4.7.1.18.7	faine from Sassari
Fair Maid of Devon apples	2.1.1.4.3.6	Fair Maid of Devon apples
fairy grass drink	6.3.4.2.20.6	fairy grass drink
fairy grass infusion	6.3.4.2.16.10	fairy grass infusion
Faisselle	2.3.5.2.11.6	Faisselle
fakou powder	3.4.7.4.18.7	fakou powder
fakous	4.3.4.2.18.4	fakous
fakous	4.3.4.2.2.5	fakous
fakous	4.3.4.3.2.4	fakous
fakous	4.3.4.4.18.9	fakous
fakous	4.3.4.4.2.4	fakous
fakoye powder	3.4.7.2.18.1	fakoye powder
Fal oysters	2.1.1.4.18.2	Fal oysters
Fal oysters	2.1.1.4.6.17	Fal oysters
falafel spice blend	4.6.4.1.8.8	falafel spice blend
Falaj water	4.5.5.4.16.2	Falaj water
Falerio DOC	2.4.3.3.20.20	Falerio DOC
Falerno del Massico DOP	2.4.5.1.20.5	Falerno del Massico DOP
Fallue	2.3.1.1.18.7	Fallue
falooda	5.2.1.2.20.3	falooda
falooda sev	5.2.1.1.18.5	falooda sev
falooda sev	5.2.1.2.18.4	falooda sev
falsa	5.2.1.1.3.7	falsa
falsa	5.2.1.3.3.30	falsa
falsa	5.2.1.4.3.11	falsa
falsa	5.2.2.1.3.7	falsa
falsa	5.2.2.3.3.16	falsa
falsa sharbat	5.2.1.1.20.8	falsa sharbat
falsa sharbat	5.2.1.3.20.4	falsa sharbat
falsa sharbat base	5.2.1.3.16.9	falsa sharbat base
false date plums	4.6.1.1.18.4	false date plums
false date plums	4.6.1.1.3.19	false date plums
false durian	9.4.3.3.3.18	false durian
False groundcherry leaves	6.5.3.1.2.11	False groundcherry leaves
False groundcherry leaves	6.5.3.1.23.3	False groundcherry leaves
False morels	2.9.8.1.2.20	False morels
false osman	8.1.4.4.6.8	false osman
False thyme	1.3.5.3.7.5	False thyme
faludeh Kermanshahi base	4.6.3.3.20.3	faludeh Kermanshahi base
Falukorv	2.9.3.2.14.1	Falukorv
Falukorv	2.9.3.2.18.5	Falukorv
fan flower	9.4.1.1.19.5	fan flower
fan flower	9.4.1.2.19.5	fan flower
fan flower fruit	9.4.3.1.19.6	fan flower fruit
fan flower fruit	9.4.3.4.19.6	fan flower fruit
fan flower leaves	9.4.3.1.19.7	fan flower leaves
fan flower leaves	9.4.3.4.19.7	fan flower leaves
fan lobster	6.7.6.2.6.31	fan lobster
Fanguito	1.4.1.2.14.7	Fanguito
Fanguito	1.4.1.2.18.8	Fanguito
Fangzheng rice	6.1.3.3.1.3	Fangzheng rice
Fangzheng rice	6.1.3.3.18.3	Fangzheng rice
Fanny Bay oysters	1.1.13.4.18.1	Fanny Bay oysters
Farci provola	2.4.5.4.11.25	Farci provola
Fardh dates	4.5.5.1.3.5	Fardh dates
Fardh dates	4.5.6.2.3.4	Fardh dates
Fareed	4.5.6.1.18.4	Fareed
farfahina	4.3.3.1.18.3	farfahina
Fargh dates	4.5.5.2.3.4	Fargh dates
farigola	2.2.5.1.19.2	farigola
farigola	2.2.5.1.7.3	farigola
farigola	2.2.5.2.19.2	farigola
farigola	2.2.5.2.7.3	farigola
farigola	2.2.5.3.19.2	farigola
farigola	2.2.5.3.7.3	farigola
farigola	2.2.5.4.19.2	farigola
farigola	2.2.5.4.7.1	farigola
farigola	2.2.5.4.9.7	farigola
farigola	2.2.6.1.19.4	farigola
farigola	2.2.6.1.7.4	farigola
farigola	2.2.6.2.19.3	farigola
farigola	2.2.6.2.7.4	farigola
farigola	2.2.6.4.19.5	farigola
farigola	2.2.6.4.7.4	farigola
farigola seca	2.2.5.1.8.13	farigola seca
farigola seca	2.2.5.2.8.13	farigola seca
farigola seca	2.2.5.3.8.13	farigola seca
farigola seca	2.2.5.4.8.10	farigola seca
farigola seca	2.2.6.1.8.13	farigola seca
farigola seca	2.2.6.2.8.14	farigola seca
farigola seca	2.2.6.4.8.12	farigola seca
Farin ble	1.4.5.1.1.16	Farin ble
Farin ble	1.4.5.2.1.19	Farin ble
Farin ble	1.4.5.3.1.17	Farin ble
Farin ble	1.4.5.3.22.1	Farin ble
Farin ble	1.4.5.4.1.18	Farin ble
Farina	1.3.1.4.20.4	Farina
Farina	1.3.2.3.18.4	Farina
Fariña	1.5.3.5.1.10	flour
farina	1.3.1.4.14.8	farina
farina	1.3.1.4.18.16	farina
farina	3.4.3.3.1.8	farina
farina	3.4.3.3.14.2	farina
farina	3.4.3.4.1.9	farina
farina	3.4.3.4.14.2	farina
farina	3.4.3.4.18.9	farina
fariña	1.6.3.1.1.3	flour
fariña	1.6.3.1.22.2	flour
fariña	1.6.3.2.1.3	flour
farina 00	2.4.1.2.1.4	farina 00
farina 00	2.4.1.4.1.11	farina 00
farina 00	2.4.2.1.1.11	farina 00
farina bianca	2.5.4.3.1.11	farina bianca
Farina bóna	2.5.4.3.1.23	Gone ben
Farina bóna	2.5.4.3.18.19	Gone ben
farina bóna	2.5.4.3.1.7	farina bean
farina bóna	2.5.4.3.18.1	farina bean
Farina castagnina corsa	2.3.6.4.1.2	Farina castagnina corsa
Farina corvina	2.5.4.3.1.21	Farina corvina
farina d'arròs	2.2.6.4.1.9	rice flour
farina d'orzo	2.4.2.3.1.3	farina d'orzo
farina d'orzo	2.4.7.1.1.7	farina d'orzo
farina d'orzo	2.4.7.2.1.6	farina d'orzo
farina d'orzo	2.4.7.3.1.6	farina d'orzo
farina de blat	2.2.5.1.1.2	wheat flour
farina de blat	2.2.5.2.1.10	wheat flour
farina de blat	2.2.5.3.1.2	wheat flour
farina de blat	2.2.5.4.1.2	wheat flour
farina de blat	2.2.6.1.1.8	wheat flour
farina de blat	2.2.6.2.1.5	wheat flour
farina de blat	2.2.6.4.1.11	wheat flour
Farina de blat "canya blava" de Menorca	2.2.8.2.1.4	Wheat flour "blue cane" from Menorca
farina de blat de moro	2.2.5.4.1.12	corn flour
fariña de castaña	2.2.2.2.1.17	chestnut farina
fariña de centeo	2.2.2.1.1.10	rye flour
fariña de centeo	2.2.2.2.1.8	rye flour
fariña de millo	2.2.2.1.1.7	corn flour
fariña de millo	2.2.2.2.1.6	corn flour
fariña de millo corvo	2.2.2.1.1.8	crow corn flour
fariña de millo corvo	2.2.2.1.18.2	crow corn flour
farina de sègol	2.2.5.4.1.10	rye flour
fariña de trigo	2.2.2.1.1.12	wheat flour
fariña de trigo	2.2.2.2.1.10	wheat flour
farina de yuca	1.3.1.4.1.22	cassava farina
farina di castagne	2.4.1.1.1.8	chestnut flour
farina di castagne	2.4.1.2.1.2	chestnut flour
farina di castagne	2.4.2.4.1.10	chestnut flour
farina di castagne	2.4.3.1.1.6	chestnut flour
farina di castagne	2.4.3.4.1.7	chestnut flour
farina di castagne	2.4.5.1.1.7	chestnut flour
farina di castagne	2.4.5.4.1.6	chestnut flour
farina di castagne	2.4.7.3.1.7	chestnut flour
farina di castagne	2.5.4.3.1.8	chestnut flour
Farina di Castagne della Lunigiana DOP	2.4.3.1.1.5	Lunigiana DOP chestnut flour
Farina di Castagne della Lunigiana DOP	2.4.3.1.18.4	Lunigiana DOP chestnut flour
farina di ceci	2.4.1.2.1.1	chickpea flour
farina di ceci	2.4.5.3.1.9	chickpea flour
farina di ceci	2.4.5.4.1.8	chickpea flour
farina di ceci	2.4.6.2.1.9	chickpea flour
farina di ceci	2.4.6.3.1.10	chickpea flour
farina di ceci	2.4.7.1.1.6	chickpea flour
farina di farro	2.4.2.3.1.2	spelled flour
farina di farro	2.4.3.1.1.3	spelled flour
farina di farro	2.4.3.2.1.3	spelled flour
farina di farro	2.4.3.3.1.10	spelled flour
farina di farro	2.4.4.2.1.6	spelled flour
farina di farro	2.4.5.1.1.8	spelled flour
farina di farro	2.4.5.3.1.7	spelled flour
farina di fave	2.4.5.3.1.10	bean flour
farina di fave	2.4.5.4.1.9	bean flour
farina di fave	2.4.6.2.1.10	bean flour
farina di fave	2.4.6.3.1.11	bean flour
farina di frumento	2.4.1.3.1.2	wheat flour
farina di frumento	2.5.4.3.1.10	wheat flour
farina di frumento tenero	2.4.2.2.1.7	soft wheat flour
farina di frumento tenero	2.4.2.3.1.5	soft wheat flour
farina di grano saraceno	2.4.1.1.1.7	buckwheat flour
farina di grano saraceno	2.4.2.2.1.8	buckwheat flour
farina di grano saraceno	2.4.2.3.1.4	buckwheat flour
farina di grano saraceno	2.5.4.3.1.9	buckwheat flour
farina di grano tenero	2.4.1.2.1.3	soft wheat flour
farina di grano tenero	2.4.1.4.1.10	soft wheat flour
farina di grano tenero	2.4.2.1.1.10	soft wheat flour
farina di grano tenero	2.4.2.4.1.6	soft wheat flour
farina di grano tenero	2.4.3.1.1.7	soft wheat flour
farina di grano tenero	2.4.3.2.1.4	soft wheat flour
farina di grano tenero	2.4.3.3.1.2	soft wheat flour
farina di grano tenero	2.4.3.4.1.2	soft wheat flour
farina di grano tenero	2.4.4.1.1.2	soft wheat flour
farina di grano tenero	2.4.4.2.1.2	soft wheat flour
farina di grano tenero	2.4.4.3.1.2	soft wheat flour
farina di grano tenero	2.4.5.1.1.3	soft wheat flour
farina di grano tenero	2.4.5.3.1.3	soft wheat flour
farina di grano tenero	2.4.5.4.1.3	soft wheat flour
farina di grano tenero	2.4.6.1.1.3	soft wheat flour
farina di grano tenero	2.4.6.2.1.3	soft wheat flour
farina di grano tenero	2.4.6.3.1.3	soft wheat flour
farina di grano tenero	2.4.7.1.1.3	soft wheat flour
farina di grano tenero	2.4.7.2.1.3	soft wheat flour
farina di grano tenero	2.4.7.3.1.3	soft wheat flour
farina di grano tenero	2.4.7.4.1.3	soft wheat flour
farina di grano tenero tipo 0	2.4.1.1.1.4	type 0 soft wheat flour
farina di grano tenero tipo 00	2.4.1.1.1.5	type 00 soft wheat flour
farina di Maiorca	2.4.6.2.1.6	Mallorcan flour
farina di Maiorca	2.4.6.3.1.6	Mallorcan flour
farina di mais	2.4.1.1.1.2	corn flour
farina di mais	2.4.1.3.1.4	corn flour
farina di mais	2.4.1.4.1.12	corn flour
farina di mais	2.4.2.1.1.6	corn flour
farina di mais	2.4.2.3.1.6	corn flour
farina di mais	2.4.2.4.1.9	corn flour
farina di mais	2.4.3.1.1.11	corn flour
farina di mais	2.4.3.2.1.8	corn flour
farina di mais	2.4.3.3.1.5	corn flour
farina di mais	2.4.3.4.1.6	corn flour
farina di mais	2.4.4.2.1.7	corn flour
farina di mais	2.4.4.3.1.5	corn flour
farina di mais	2.4.5.1.1.6	corn flour
farina di mais	2.4.5.3.1.6	corn flour
farina di mais	2.4.5.4.1.7	corn flour
farina di mais	2.5.4.3.1.3	corn flour
farina di mais bianca	2.4.2.2.1.4	white corn flour
farina di mais Biancoperla	2.4.2.1.1.7	Biancoperla corn flour
farina di mais Biancoperla	2.4.2.1.18.10	Biancoperla corn flour
farina di mais bramata	2.5.4.3.1.4	coveted cornmeal
farina di mais cinquantino	2.4.2.2.1.3	Fifty-year-old corn flour
farina di mais fioretto	2.5.4.3.1.5	foil corn flour
farina di mais gialla	2.4.2.2.1.5	yellow corn flour
farina di mais macinata a pietra	2.5.4.3.1.6	stone ground corn flour
farina di mandorla	2.4.6.2.1.11	almond flour
farina di mischiglio	2.4.5.3.1.11	flour mixture
Farina di Neccio della Garfagnana DOP	2.4.3.1.1.4	Neccio della Garfagnana PDO flour
Farina di Neccio della Garfagnana DOP	2.4.3.1.18.3	Neccio della Garfagnana PDO flour
farina di orzo	2.4.5.3.1.8	barley flour
farina di perciasacchi	2.4.6.2.1.8	flour of perciasacchi
farina di perciasacchi	2.4.6.3.1.8	flour of perciasacchi
farina di riso	2.4.1.4.1.9	rice flour
farina di riso	2.4.4.1.1.5	rice flour
farina di russello	2.4.6.2.1.7	Russello flour
farina di russello	2.4.6.3.1.7	Russello flour
farina di segale	2.4.1.1.1.6	rye flour
farina di segale	2.4.1.3.1.1	rye flour
farina di segale	2.4.2.2.1.6	rye flour
farina di segale	2.4.2.3.1.1	rye flour
farina di segale	2.5.4.3.1.13	rye flour
farina di soia	2.4.4.1.1.6	soy flour
farina di timilìa	2.4.6.1.1.6	timilia flour
farina di timilìa	2.4.6.3.1.9	timilia flour
farina integrale di frumento	2.4.1.3.1.3	whole wheat flour
farina semibianca	2.5.4.3.1.12	farina semibianca
farina tipo 0	2.4.2.4.1.7	farina tipo 0
farina tipo 0	2.4.3.1.1.8	farina tipo 0
farina tipo 0	2.4.3.2.1.5	farina tipo 0
farina tipo 0	2.4.3.3.1.3	farina tipo 0
farina tipo 0	2.4.3.4.1.3	farina tipo 0
farina tipo 0	2.4.4.1.1.3	farina tipo 0
farina tipo 0	2.4.4.2.1.3	farina tipo 0
farina tipo 0	2.4.4.3.1.3	farina tipo 0
farina tipo 0	2.4.5.1.1.4	farina tipo 0
farina tipo 0	2.4.5.3.1.4	farina tipo 0
farina tipo 0	2.4.5.4.1.4	farina tipo 0
farina tipo 0	2.4.6.1.1.4	farina tipo 0
farina tipo 0	2.4.6.2.1.4	farina tipo 0
farina tipo 0	2.4.6.3.1.4	farina tipo 0
farina tipo 0	2.4.7.1.1.4	farina tipo 0
farina tipo 0	2.4.7.2.1.4	farina tipo 0
farina tipo 0	2.4.7.3.1.4	farina tipo 0
farina tipo 0	2.4.7.4.1.4	farina tipo 0
farina tipo 00	2.4.2.4.1.8	farina tipo 00
farina tipo 00	2.4.3.1.1.9	farina tipo 00
farina tipo 00	2.4.3.2.1.6	farina tipo 00
farina tipo 00	2.4.3.3.1.4	farina tipo 00
farina tipo 00	2.4.3.4.1.4	farina tipo 00
farina tipo 00	2.4.4.1.1.4	farina tipo 00
farina tipo 00	2.4.4.2.1.4	farina tipo 00
farina tipo 00	2.4.4.3.1.4	farina tipo 00
farina tipo 00	2.4.5.1.1.5	farina tipo 00
farina tipo 00	2.4.5.3.1.5	farina tipo 00
farina tipo 00	2.4.5.4.1.5	farina tipo 00
farina tipo 00	2.4.6.1.1.5	farina tipo 00
farina tipo 00	2.4.6.2.1.5	farina tipo 00
farina tipo 00	2.4.6.3.1.5	farina tipo 00
farina tipo 00	2.4.7.1.1.5	farina tipo 00
farina tipo 00	2.4.7.2.1.5	farina tipo 00
farina tipo 00	2.4.7.3.1.5	farina tipo 00
farina tipo 00	2.4.7.4.1.5	farina tipo 00
farina tipo 1	2.4.3.4.1.5	farina tipo 1
farinata di ceci	2.4.1.2.1.12	chickpea flour
Farine	1.4.6.2.18.15	Farine
Farine	1.4.7.2.1.8	Farine
Farine	1.4.7.4.1.8	Farine
farine bise	2.5.4.2.1.11	farine bise
farine blanche	2.5.4.2.1.8	farine blanche
farine d'épeautre	2.5.4.2.1.13	spelled flour
Farine de blé	1.4.7.3.1.3	Wheat flour
Farine de blé	1.4.9.1.1.3	Wheat flour
Farine de blé	1.4.9.2.1.3	Wheat flour
Farine de blé	1.4.9.3.1.3	Wheat flour
farine de blé	2.5.4.2.1.9	wheat flour
Farine de blé noir de Bretagne	2.3.1.2.1.3	Brittany buckwheat flour
Farine de blé noir de Bretagne	2.3.1.2.18.1	Brittany buckwheat flour
Farine de châtaigne corse	2.3.6.4.1.1	Corsican chestnut flour
Farine de châtaigne corse AOP	2.3.6.4.18.1	Corsican chestnut flour AOP
Farine de châtaigne d'Ardèche	2.3.5.3.1.6	Ardèche chestnut flour
farine de froment	2.5.4.2.1.6	wheat flour
Farine de fruit à pain	1.4.7.3.18.9	Breadfruit flour
Farine de fruit à pain	1.4.9.1.18.8	Breadfruit flour
Farine de fruit à pain	1.4.9.2.1.24	Breadfruit flour
Farine de fruit à pain	1.4.9.2.18.8	Breadfruit flour
Farine de fruit à pain	1.4.9.3.1.22	Breadfruit flour
Farine de fruit à pain	1.4.9.3.18.3	Breadfruit flour
Farine de manioc	1.4.7.3.1.4	Cassava flour
Farine de manioc	1.4.9.1.1.4	Cassava flour
Farine de manioc	1.4.9.2.1.4	Cassava flour
Farine de manioc	1.4.9.3.1.4	Cassava flour
Farine de Petit épeautre de Haute-Provence	2.3.6.1.1.2	Einkorn Flour from Haute-Provence
Farine de Petit épeautre de Haute-Provence IGP	2.3.6.1.18.2	Small spelled flour from Haute-Provence PGI
Farine de pois chiches	2.3.6.2.1.5	Chickpea flour
Farine de pois chiches	2.3.6.3.1.11	Chickpea flour
farine de seigle	2.5.4.2.1.4	rye flour
farine di legni duri	2.4.2.2.24.2	hardwood flours
farine mi-blanche	2.5.4.2.1.10	farine mi-blanche
farinha amarela	1.7.1.2.1.6	farinha amarela
farinha branca	1.7.1.2.1.5	farinha branca
farinha d'água	1.7.1.1.1.5	water flour
farinha d'água	1.7.1.1.14.3	water flour
farinha d'água	1.7.1.2.1.4	water flour
farinha d'água	1.7.1.2.17.1	water flour
farinha d'água	1.7.1.4.1.4	water flour
farinha d'água	1.7.1.4.17.1	water flour
farinha d'água	1.7.2.4.1.4	water flour
farinha d'água	1.7.3.2.1.4	water flour
farinha da terra	1.7.4.1.1.4	flour from the land
farinha da terra	1.7.4.1.18.6	flour from the land
farinha da terra	1.7.4.3.1.4	flour from the land
farinha da terra	1.7.4.4.1.4	flour from the land
farinha da terra	1.7.5.1.1.4	flour from the land
farinha da terra	1.7.5.2.1.4	flour from the land
farinha de alfarroba	2.2.1.5.1.13	carob flour
farinha de alfarroba	2.2.1.5.18.2	carob flour
farinha de caeté	1.7.6.3.1.15	caeté flour
farinha de caeté	1.7.6.3.22.4	caeté flour
farinha de cana-do-brejo	1.7.6.3.22.5	marsh cane flour
farinha de centeio	1.7.5.1.1.14	rye flour
farinha de centeio	2.2.1.2.1.9	rye flour
farinha de centeio	2.2.1.3.1.7	rye flour
farinha de Cruzeiro do Sul	1.7.1.3.1.4	Cruzeiro do Sul flour
farinha de Cruzeiro do Sul	1.7.1.3.17.1	Cruzeiro do Sul flour
farinha de Cruzeiro do Sul	1.7.1.3.18.1	Cruzeiro do Sul flour
farinha de macaxeira	1.7.1.1.1.9	cassava flour
farinha de mandioca	1.7.1.2.1.3	cassava flour
farinha de mandioca	1.7.1.3.1.3	cassava flour
farinha de mandioca	1.7.1.4.1.3	cassava flour
farinha de mandioca	1.7.2.1.1.3	cassava flour
farinha de mandioca	1.7.2.2.1.3	cassava flour
farinha de mandioca	1.7.2.3.1.3	cassava flour
farinha de mandioca	1.7.2.4.1.3	cassava flour
farinha de mandioca	1.7.3.1.1.3	cassava flour
farinha de mandioca	1.7.3.2.1.3	cassava flour
farinha de mandioca	1.7.3.3.1.3	cassava flour
farinha de mandioca	1.7.3.4.1.3	cassava flour
farinha de mandioca	1.7.4.1.1.3	cassava flour
farinha de mandioca	1.7.4.2.1.3	cassava flour
farinha de mandioca	1.7.4.3.1.3	cassava flour
farinha de mandioca	1.7.4.4.1.3	cassava flour
farinha de mandioca	1.7.5.2.1.3	cassava flour
