2.1.3 Wales	2.2.1.3.24.55	2.1.3 Wales
wakataya	1.6.4.1.7.2	wakataya
wakataya	1.6.4.1.9.10	wakataya
wakataya	1.6.4.2.7.2	wakataya
wakataya	1.6.4.2.9.9	wakataya
wakataya picada	1.6.4.1.17.3	wakataya picada
Wal	5.4.3.2.4.10	Wal
Wal	5.4.3.3.4.10	Wal
Waldhonig	2.5.2.2.15.5	Waldhonig
Waldhonig	2.5.2.2.19.2	Waldhonig
Waldhonig	2.5.2.4.15.5	Waldhonig
Waldhonig	2.5.2.4.19.3	Waldhonig
Waldhonig	2.5.3.1.15.6	Waldhonig
Waldhonig	2.5.3.2.15.6	Waldhonig
Waldhonig	2.5.3.3.15.5	Waldhonig
Waldhonig	2.5.3.3.19.2	Waldhonig
Waldhonig	2.5.3.4.15.6	Waldhonig
Waldhonig	2.5.4.1.15.3	Waldhonig
Waldhonig	2.5.4.1.19.1	Waldhonig
Waldhonig	2.5.4.4.15.5	Waldhonig
Waldhonig	2.5.4.4.19.3	Waldhonig
Waldviertler Erdäpfel	2.5.3.2.1.25	Waldviertel potatoes
Waldviertler Erdäpfel	2.5.3.2.18.25	Waldviertel potatoes
Waldviertler Erdäpfel	2.5.3.3.1.27	Waldviertel potatoes
Waldviertler Graumohn	2.5.3.2.5.8	Waldviertler Graumohn
Waldviertler Graumohn g.U.	2.5.3.2.18.3	Waldviertler Graumohn g.U.
Waldviertler Graumohn g.U. Edelrot	2.5.3.2.18.24	Waldviertler Graumohn g.U. Edelrot
Waldviertler Graumohn g.U. Edelrot	2.5.3.2.5.15	Waldviertler Graumohn g.U. Edelrot
Waldviertler Karpfen	2.5.3.2.18.4	Waldviertler Karpfen
Waldviertler Karpfen	2.5.3.2.6.1	Waldviertler Karpfen
walking catfish	7.1.1.2.6.2	walking catfish
walking catfish	7.1.6.2.6.6	walking catfish
Wallaby	9.1.1.1.6.16	Wallaby
Wallaby	9.1.1.3.6.15	Wallaby
Wallaby	9.1.6.1.6.12	Wallaby
Wallaby	9.1.6.3.18.8	Wallaby
Wallaby	9.1.6.3.6.16	Wallaby
Wallaby	9.3.1.2.6.14	Wallaby
wallago	7.1.1.2.6.13	wallago
Wallago attu	5.3.4.2.6.11	Wallago attu
Wallago attu	5.3.4.4.6.12	Wallago attu
Walleye	1.1.1.2.6.14	Walleye
Walleye	1.1.13.6.6.5	Walleye
Walleye	1.1.2.5.6.12	Walleye
Walleye	1.1.4.1.6.4	Walleye
Walleye	1.1.4.5.6.18	Walleye
walleye	1.1.11.3.6.10	walleye
walleye	1.1.11.4.6.12	walleye
walleye	1.1.13.2.6.1	walleye
walleye	1.1.13.3.6.15	walleye
walleye	1.1.13.5.6.8	walleye
walleye	1.1.14.2.6.18	walleye
walleye	1.1.6.1.6.3	walleye
walleye	1.1.6.2.6.1	walleye
walleye	1.1.6.4.6.8	walleye
walleye	1.1.6.5.6.11	walleye
walleye	1.1.6.6.6.2	walleye
walleye	1.1.7.1.6.12	walleye
walleye	1.1.7.2.6.9	walleye
walleye	1.1.7.3.6.18	walleye
walleye	1.1.7.4.6.9	walleye
walleye	1.1.7.5.6.14	walleye
walleye	1.1.9.1.6.17	walleye
walleye	1.1.9.3.6.19	walleye
walleye	1.1.9.4.6.15	walleye
walleye pollock	6.6.1.2.6.7	walleye pollock
walleye pollock	6.7.1.1.6.7	walleye pollock
walleye pollock	6.7.1.2.6.3	walleye pollock
walleye pollock	6.7.1.3.6.36	walleye pollock
walleye pollock	6.7.2.1.6.10	walleye pollock
walleye pollock	6.7.2.3.6.14	walleye pollock
Walliser Roggenbrot AOP	2.5.4.4.18.19	Walliser Roggenbrot AOP
Walloon cider	2.3.7.3.14.7	Walloon cider
Walloon cider	2.3.7.3.16.7	Walloon cider
Walloon cider	2.3.7.3.20.4	Walloon cider
Walloon red wine	2.3.7.3.16.12	Walloon red wine
Walloon red wine	2.3.7.3.20.9	Walloon red wine
Walloon sparkling wine	2.3.7.3.16.14	Walloon sparkling wine
Walloon sparkling wine	2.3.7.3.20.10	Walloon sparkling wine
Walloon white wine	2.3.7.3.16.13	Walloon white wine
Walloon white wine	2.3.7.3.20.8	Walloon white wine
Walnüsse	2.5.1.1.5.3	Walnuts
Walnüsse	2.5.1.2.5.2	Walnuts
Walnüsse	2.5.1.3.5.1	Walnuts
Walnüsse	2.5.2.1.5.1	Walnuts
Walnüsse	2.5.2.2.5.2	Walnuts
Walnüsse	2.5.2.4.5.1	Walnuts
Walnüsse	2.5.3.1.5.1	Walnuts
Walnüsse	2.5.3.2.5.2	Walnuts
Walnüsse	2.5.3.3.5.1	Walnuts
Walnüsse	2.5.3.4.5.3	Walnuts
Walnusskerne	2.5.2.4.17.11	Walnusskerne
Walnusskerne	2.5.2.4.5.12	Walnusskerne
Walnusskerne	2.5.3.2.17.8	Walnusskerne
Walnussöl	2.5.2.4.10.7	Walnussöl
Walnussöl	2.5.3.2.10.10	Walnussöl
Walnussöl	2.5.3.4.10.9	Walnussöl
Walnut	2.5.1.1.5.9	Walnut
Walnut	2.5.1.3.5.8	Walnut
Walnut	2.5.1.4.5.8	Walnut
Walnut	2.5.2.1.5.7	Walnut
Walnut	2.5.2.2.5.12	Walnut
Walnut	2.5.2.3.5.7	Walnut
Walnut	2.5.2.4.5.14	Walnut
Walnut	2.5.3.3.5.12	Walnut
Walnut	2.5.3.4.5.19	Walnut
Walnut	2.5.4.1.5.6	Walnut
Walnut	2.5.4.2.5.9	Walnut
Walnut	2.5.4.4.5.11	Walnut
Walnut	2.5.5.1.5.13	Walnut
Walnut	2.5.5.2.5.14	Walnut
Walnut	2.5.5.3.5.6	Walnut
Walnut	2.5.6.1.5.12	Walnut
Walnut	2.5.6.2.5.12	Walnut
Walnut	2.5.6.3.5.11	Walnut
Walnut	5.3.1.1.5.1	Walnut
Walnut	5.3.1.2.5.1	Walnut
Walnut	5.3.1.3.5.1	Walnut
Walnut	5.3.1.4.5.1	Walnut
Walnut	5.5.5.4.5.7	Walnut
Walnut	5.5.5.5.5.5	Walnut
Walnut	5.7.1.3.5.6	Walnut
Walnut	5.7.1.4.5.1	Walnut
Walnut	5.7.2.1.5.1	Walnut
Walnut	5.7.2.2.5.1	Walnut
Walnut	5.7.3.3.5.1	Walnut
Walnut	5.7.3.4.5.1	Walnut
walnut	2.8.1.1.5.2	walnut
walnut	2.8.1.2.5.6	walnut
walnut	2.8.1.4.5.5	walnut
walnut	2.8.1.5.5.2	walnut
walnut	2.8.2.2.5.1	walnut
walnut	2.8.2.5.5.2	walnut
walnut	2.8.3.1.5.7	walnut
walnut	2.8.3.2.5.8	walnut
walnut	2.8.3.3.5.9	walnut
walnut	2.8.4.1.5.1	walnut
walnut	2.8.4.2.5.1	walnut
walnut	2.8.4.3.5.1	walnut
walnut	2.8.4.4.5.1	walnut
walnut	2.8.4.5.5.1	walnut
walnut	4.1.1.2.3.14	walnut
walnut	4.1.3.1.5.3	walnut
walnut	5.2.3.2.18.7	walnut
walnut	5.2.3.2.19.2	walnut
walnut	5.2.3.2.5.1	walnut
walnut	5.2.3.3.5.1	walnut
walnut	5.2.3.4.5.1	walnut
walnut	6.1.2.2.5.2	walnut
walnut	6.1.3.1.5.3	walnut
walnut	6.3.1.1.5.6	walnut
walnut	6.3.1.2.5.6	walnut
walnut	6.4.5.1.3.5	walnut
walnut	6.4.5.2.3.15	walnut
walnut	6.4.5.3.3.12	walnut
walnut	6.4.5.4.3.5	walnut
walnut	9.2.1.1.5.7	walnut
walnut	9.2.1.3.5.5	walnut
walnut	9.2.2.2.5.4	walnut
walnut	9.2.2.3.5.1	walnut
walnut	9.2.2.4.5.1	walnut
walnut	9.2.3.1.5.2	walnut
walnut	9.2.3.2.5.1	walnut
walnut	9.2.3.3.5.2	walnut
Walnut bread	2.3.4.4.1.11	Walnut bread
walnut chili paste	6.4.5.2.13.5	walnut chili paste
Walnut chutney	5.3.1.1.13.7	Walnut chutney
walnut crumbs	4.2.1.1.17.7	walnut crumbs
walnut crumbs	4.2.1.3.17.7	walnut crumbs
walnut crumbs	4.2.1.4.17.7	walnut crumbs
walnut filling	4.2.3.5.13.9	walnut filling
walnut garlic paste	4.2.1.1.13.8	walnut garlic paste
walnut gliko	2.6.7.3.13.5	walnut gliko
walnut gliko	2.6.7.3.14.7	walnut gliko
walnut Gouda	9.2.2.2.11.11	walnut Gouda
walnut Gouda	9.2.2.2.18.9	walnut Gouda
walnut halves	4.6.1.1.5.3	walnut halves
Walnut kernels	2.3.4.4.17.1	Walnut kernels
Walnut kernels	2.5.4.2.17.20	Walnut kernels
Walnut kernels	5.3.1.2.18.9	Walnut kernels
Walnut kernels	5.7.3.1.5.3	Walnut kernels
walnut kernels	4.2.3.5.17.1	walnut kernels
walnut kernels	6.1.1.1.17.7	walnut kernels
walnut kernels	6.1.1.1.5.2	walnut kernels
walnut kernels	6.1.4.2.5.2	walnut kernels
walnut kernels	6.4.4.1.5.3	walnut kernels
walnut kernels	6.4.5.1.5.2	walnut kernels
walnut kernels	6.4.5.2.5.3	walnut kernels
walnut kernels	6.4.5.3.5.2	walnut kernels
walnut kernels	6.4.5.4.5.2	walnut kernels
walnut leaf	4.1.1.2.19.12	walnut leaf
Walnut liqueur	2.3.4.4.20.14	Walnut liqueur
Walnut meal	2.3.4.4.5.9	Walnut meal
walnut miso	6.7.2.2.13.7	walnut miso
walnut miso	6.7.5.2.13.7	walnut miso
Walnut oil	2.3.1.4.10.7	Walnut oil
Walnut oil	2.3.2.1.10.7	Walnut oil
Walnut oil	2.3.2.2.10.6	Walnut oil
Walnut oil	2.3.2.3.10.7	Walnut oil
Walnut oil	2.3.4.4.10.3	Walnut oil
Walnut oil	2.3.4.4.19.7	Walnut oil
Walnut oil	2.3.5.1.10.8	Walnut oil
Walnut oil	2.3.5.2.10.7	Walnut oil
Walnut oil	2.3.5.3.10.4	Walnut oil
Walnut oil	2.5.4.4.10.14	Walnut oil
Walnut oil	5.3.1.1.10.4	Walnut oil
walnut oil	1.1.10.1.10.9	walnut oil
walnut oil	1.1.10.2.10.9	walnut oil
walnut oil	1.1.10.3.10.7	walnut oil
walnut oil	1.1.10.4.10.9	walnut oil
walnut oil	1.1.11.1.10.9	walnut oil
walnut oil	1.1.11.2.10.9	walnut oil
walnut oil	1.1.11.4.10.8	walnut oil
walnut oil	1.1.11.5.10.9	walnut oil
walnut oil	5.2.3.4.10.5	walnut oil
walnut oil	6.4.1.4.10.5	walnut oil
walnut oil	6.4.2.1.10.6	walnut oil
walnut oil	6.4.2.2.10.2	walnut oil
walnut oil	6.4.4.1.10.6	walnut oil
walnut oil	6.4.5.2.10.5	walnut oil
walnut oil	6.4.5.3.10.7	walnut oil
walnut oil	6.6.2.4.10.6	walnut oil
walnut oil	6.7.5.2.10.8	walnut oil
walnut oil	9.2.3.1.10.5	walnut oil
walnut oil	9.2.3.2.10.5	walnut oil
walnut oil	9.2.3.3.10.4	walnut oil
Walnut oil vinaigrette	2.5.4.2.13.16	Walnut oil vinaigrette
Walnut paste	2.3.2.3.13.10	Walnut paste
Walnut paste	2.3.4.4.13.5	Walnut paste
Walnut paste	2.3.5.3.13.9	Walnut paste
walnut paste	4.1.5.2.13.9	walnut paste
walnut paste	4.2.1.3.13.6	walnut paste
walnut paste	4.2.1.4.13.8	walnut paste
walnut paste	4.3.2.2.13.9	walnut paste
walnut paste	4.6.1.1.13.4	walnut paste
walnut paste	5.2.3.4.13.3	walnut paste
walnut paste	6.4.4.1.13.10	walnut paste
walnut paste	6.4.4.3.13.9	walnut paste
walnut paste	6.4.4.4.13.11	walnut paste
Walnut pieces	2.3.3.1.17.8	Walnut pieces
walnut pieces	2.3.7.3.17.4	walnut pieces
walnut pieces	2.3.9.2.17.6	walnut pieces
walnut pieces	2.7.3.2.17.9	walnut pieces
walnut pieces	2.8.4.2.17.9	walnut pieces
walnut pieces	2.8.4.3.17.9	walnut pieces
walnut pieces	4.6.2.1.17.5	walnut pieces
walnut pieces	4.6.4.2.17.3	walnut pieces
walnut pieces	5.2.3.2.17.8	walnut pieces
walnut pieces	5.2.3.3.17.1	walnut pieces
walnut pieces	5.2.3.4.17.1	walnut pieces
walnut pieces	9.2.2.2.17.14	walnut pieces
walnut pieces	9.2.3.2.17.10	walnut pieces
walnut pieces	9.2.3.4.5.5	walnut pieces
walnut rakija	2.6.3.2.19.2	walnut rakija
walnut rakija	2.6.3.2.20.15	walnut rakija
walnut roll dough	2.6.3.2.23.6	walnut roll dough
walnut sauce	4.2.2.4.13.7	walnut sauce
walnut schnapps	2.6.1.2.19.11	walnut schnapps
walnut schnapps	2.6.1.2.20.15	walnut schnapps
walnut spoon sweet	2.7.2.5.14.15	walnut spoon sweet
walnut spoon sweet	2.7.3.1.14.13	walnut spoon sweet
walnut spoon sweet	2.7.3.2.14.23	walnut spoon sweet
walnut spread	9.2.3.3.13.5	walnut spread
walnut vinegar	2.3.7.3.12.2	walnut vinegar
Walnut wood	5.3.1.1.24.5	Walnut wood
walnut wood	4.4.4.2.24.1	walnut wood
walnut wood	4.4.4.3.24.2	walnut wood
walnut wood	5.1.1.5.24.2	walnut wood
walnut wood	5.1.2.1.24.2	walnut wood
walnut wood	6.4.2.2.24.2	walnut wood
walnut wood	6.4.5.2.24.4	walnut wood
Walnut wood smoke	2.3.4.4.24.4	Walnut wood smoke
walnut-stuffed prunes	2.8.6.1.3.18	walnut-stuffed prunes
Walnuts	1.1.13.6.5.1	Walnuts
Walnuts	1.1.14.6.5.1	Walnuts
Walnuts	1.1.4.4.5.2	Walnuts
Walnuts	1.2.2.6.5.7	Walnuts
Walnuts	1.2.2.7.5.7	Walnuts
Walnuts	1.2.2.8.5.7	Walnuts
Walnuts	1.2.2.9.5.7	Walnuts
Walnuts	1.2.3.5.5.7	Walnuts
Walnuts	1.2.3.6.5.7	Walnuts
Walnuts	1.2.4.6.5.7	Walnuts
Walnuts	2.2.7.5.5.4	Walnuts
Walnuts	2.2.8.2.5.5	Walnuts
Walnuts	2.3.1.2.5.6	Walnuts
Walnuts	2.3.1.3.5.2	Walnuts
Walnuts	2.3.1.4.5.4	Walnuts
Walnuts	2.3.2.1.5.2	Walnuts
Walnuts	2.3.2.2.5.1	Walnuts
Walnuts	2.3.2.3.5.1	Walnuts
Walnuts	2.3.3.1.5.3	Walnuts
Walnuts	2.3.3.2.5.3	Walnuts
Walnuts	2.3.4.2.5.4	Walnuts
Walnuts	2.3.5.1.5.1	Walnuts
Walnuts	2.3.5.2.5.4	Walnuts
Walnuts	2.3.6.1.5.4	Walnuts
Walnuts	2.3.6.2.5.4	Walnuts
Walnuts	2.3.6.3.5.4	Walnuts
Walnuts	2.3.6.4.5.7	Walnuts
Walnuts	2.9.3.1.5.3	Walnuts
Walnuts	2.9.7.2.5.8	Walnuts
Walnuts	4.5.2.2.17.8	Walnuts
Walnuts	4.5.2.2.5.5	Walnuts
Walnuts	4.5.3.2.5.4	Walnuts
Walnuts	4.5.5.1.5.6	Walnuts
Walnuts	4.5.5.2.5.5	Walnuts
Walnuts	4.5.5.4.17.2	Walnuts
Walnuts	4.5.5.4.5.1	Walnuts
Walnuts	6.5.1.2.5.2	Walnuts
Walnuts	9.1.2.3.5.2	Walnuts
Walnuts	9.1.3.2.5.3	Walnuts
Walnuts	9.1.6.1.5.2	Walnuts
Walnuts	9.1.6.2.5.2	Walnuts
Walnuts	9.1.6.3.5.2	Walnuts
walnuts	1.1.10.3.18.10	walnuts
walnuts	1.1.10.3.3.27	walnuts
walnuts	1.1.10.3.5.3	walnuts
walnuts	1.1.9.3.5.2	walnuts
walnuts	2.1.1.4.5.2	walnuts
walnuts	2.1.1.5.5.2	walnuts
walnuts	2.1.2.1.5.2	walnuts
walnuts	2.1.2.2.5.2	walnuts
walnuts	2.3.7.1.5.2	walnuts
walnuts	2.3.7.2.5.2	walnuts
walnuts	2.3.7.3.5.1	walnuts
walnuts	2.3.8.1.5.2	walnuts
walnuts	2.3.8.3.17.8	walnuts
walnuts	2.3.8.3.5.1	walnuts
walnuts	2.3.9.1.17.2	walnuts
walnuts	2.3.9.1.5.2	walnuts
walnuts	2.3.9.2.5.2	walnuts
walnuts	2.6.1.1.5.1	walnuts
walnuts	2.6.1.2.5.1	walnuts
walnuts	2.6.1.3.5.4	walnuts
walnuts	2.6.2.1.5.1	walnuts
walnuts	2.6.2.3.5.2	walnuts
walnuts	2.6.2.4.5.2	walnuts
walnuts	2.6.3.1.5.1	walnuts
walnuts	2.6.3.2.5.1	walnuts
walnuts	2.6.3.3.17.1	walnuts
walnuts	2.6.3.3.5.1	walnuts
walnuts	2.6.4.1.5.1	walnuts
walnuts	2.6.4.2.5.2	walnuts
walnuts	2.6.4.3.5.1	walnuts
walnuts	2.6.5.1.5.3	walnuts
walnuts	2.6.5.2.5.1	walnuts
walnuts	2.6.6.2.17.3	walnuts
walnuts	2.6.6.2.5.1	walnuts
walnuts	2.6.7.1.5.1	walnuts
walnuts	2.6.7.2.5.1	walnuts
walnuts	2.6.7.3.5.1	walnuts
walnuts	2.6.7.4.5.2	walnuts
walnuts	2.6.8.1.5.1	walnuts
walnuts	2.6.9.1.5.1	walnuts
walnuts	2.6.9.2.5.1	walnuts
walnuts	2.6.9.3.5.1	walnuts
walnuts	2.6.9.4.5.1	walnuts
walnuts	2.7.1.1.5.7	walnuts
walnuts	2.7.1.2.5.1	walnuts
walnuts	2.7.1.3.5.2	walnuts
walnuts	2.7.1.4.5.3	walnuts
walnuts	2.7.1.5.5.1	walnuts
walnuts	2.7.2.1.5.3	walnuts
walnuts	2.7.2.2.5.3	walnuts
walnuts	2.7.2.3.5.3	walnuts
walnuts	2.7.2.4.5.2	walnuts
walnuts	2.7.2.5.5.2	walnuts
walnuts	2.7.3.1.5.4	walnuts
walnuts	2.7.3.2.3.15	walnuts
walnuts	2.7.3.2.5.2	walnuts
walnuts	2.8.5.1.17.7	walnuts
walnuts	2.8.5.1.5.1	walnuts
walnuts	2.8.5.2.17.7	walnuts
walnuts	2.8.5.2.5.1	walnuts
walnuts	2.8.5.3.17.7	walnuts
walnuts	2.8.5.3.5.1	walnuts
walnuts	2.8.5.4.17.7	walnuts
walnuts	2.8.5.4.5.1	walnuts
walnuts	2.8.5.5.17.8	walnuts
walnuts	2.8.5.5.5.1	walnuts
walnuts	2.8.6.1.17.8	walnuts
walnuts	2.8.6.1.5.1	walnuts
walnuts	2.8.6.2.17.8	walnuts
walnuts	2.8.6.2.5.1	walnuts
walnuts	2.8.6.3.17.8	walnuts
walnuts	2.8.6.3.3.22	walnuts
walnuts	2.8.6.3.5.1	walnuts
walnuts	2.8.6.4.17.8	walnuts
walnuts	2.8.6.4.5.1	walnuts
walnuts	2.8.7.1.17.9	walnuts
walnuts	2.8.7.1.5.1	walnuts
walnuts	2.8.7.2.17.10	walnuts
walnuts	2.8.7.2.5.1	walnuts
walnuts	2.8.7.3.17.9	walnuts
walnuts	2.8.7.3.5.1	walnuts
walnuts	2.8.7.4.17.8	walnuts
walnuts	2.8.7.4.5.1	walnuts
walnuts	3.1.1.2.5.3	walnuts
walnuts	3.1.1.3.5.2	walnuts
walnuts	3.1.1.4.17.3	walnuts
walnuts	3.1.1.4.5.4	walnuts
walnuts	3.1.2.1.5.2	walnuts
walnuts	3.1.2.2.5.2	walnuts
walnuts	3.1.2.3.5.2	walnuts
walnuts	4.1.1.1.5.4	walnuts
walnuts	4.1.1.2.17.9	walnuts
walnuts	4.1.1.2.5.3	walnuts
walnuts	4.1.1.3.17.5	walnuts
walnuts	4.1.1.3.5.3	walnuts
walnuts	4.1.2.1.5.6	walnuts
walnuts	4.1.2.2.5.7	walnuts
walnuts	4.1.2.3.5.9	walnuts
walnuts	4.1.3.2.5.7	walnuts
walnuts	4.1.3.3.5.9	walnuts
walnuts	4.1.4.1.5.2	walnuts
walnuts	4.1.4.2.5.4	walnuts
walnuts	4.1.4.3.5.5	walnuts
walnuts	4.1.5.1.5.12	walnuts
walnuts	4.1.5.2.5.2	walnuts
walnuts	4.1.5.3.5.3	walnuts
walnuts	4.1.5.4.5.9	walnuts
walnuts	4.2.1.1.5.1	walnuts
walnuts	4.2.1.2.5.1	walnuts
walnuts	4.2.1.3.5.1	walnuts
walnuts	4.2.1.4.5.1	walnuts
walnuts	4.2.1.5.5.1	walnuts
walnuts	4.2.2.1.5.1	walnuts
walnuts	4.2.2.2.5.1	walnuts
walnuts	4.2.2.3.5.1	walnuts
walnuts	4.2.2.4.5.1	walnuts
walnuts	4.2.3.1.5.3	walnuts
walnuts	4.2.3.2.5.2	walnuts
walnuts	4.2.3.3.17.1	walnuts
walnuts	4.2.3.3.5.1	walnuts
walnuts	4.2.3.4.5.1	walnuts
walnuts	4.2.3.5.5.2	walnuts
walnuts	4.3.1.1.5.3	walnuts
walnuts	4.3.1.2.5.1	walnuts
walnuts	4.3.1.3.5.3	walnuts
walnuts	4.3.1.4.5.1	walnuts
walnuts	4.3.1.5.5.2	walnuts
walnuts	4.3.2.1.5.3	walnuts
walnuts	4.3.2.2.5.2	walnuts
walnuts	4.3.2.3.5.1	walnuts
walnuts	4.3.2.4.5.1	walnuts
walnuts	4.3.3.3.5.6	walnuts
walnuts	4.3.4.1.5.3	walnuts
walnuts	4.3.4.2.5.3	walnuts
