1.4.3 Dominican	2.2.1.3.24.19	1.4.3 Dominican
dace	6.3.1.1.6.23	dace
dace	8.2.1.1.6.14	dace
Dachine	1.4.7.3.1.8	Dachine
Dachine	1.4.9.1.1.9	Dachine
Dachine	1.4.9.2.1.10	Dachine
Dachine	1.4.9.3.1.10	Dachine
Dacke wheat	2.9.1.2.1.5	Dacke wheat
Dadacha mame	6.7.2.2.18.1	Dadacha mame
Dadacha mame	6.7.2.2.4.4	Dadacha mame
daddawa	3.4.6.5.13.1	daddawa
daddawa	3.4.6.5.14.1	daddawa
daddawa	3.4.6.5.18.9	daddawa
daddawa	3.4.6.6.13.1	daddawa
daddawa	3.4.6.6.14.1	daddawa
daddawa	3.4.6.6.18.7	daddawa
daddawa paste	3.4.6.5.13.2	daddawa paste
daddawa paste	3.4.6.6.13.2	daddawa paste
Dae-bu grapes	6.6.2.1.3.9	Dae-bu grapes
Daejeong garlic	6.6.3.2.18.1	Daejeong garlic
Daejeong garlic	6.6.3.2.2.10	Daejeong garlic
Daejeong garlic	6.6.3.2.9.1	Daejeong garlic
Dafni grapes	2.7.2.5.3.10	Dafni grapes
Dafni wine	2.7.2.5.20.7	Dafni wine
Dagaa	3.6.2.5.6.12	Dagaa
daggertooth blade conger	7.1.1.4.6.1	daggertooth blade conger
Daggus	4.5.1.3.13.1	Daggus
Daggus sauce	4.5.1.1.13.3	Daggus sauce
Dago sea buckthorn	2.9.6.3.18.6	Dago sea buckthorn
dahaar tamarind sauce	3.4.1.4.13.11	dahaar tamarind sauce
Dahi	5.3.2.1.11.3	Dahi
Dahi	5.3.2.3.11.5	Dahi
Dahi	5.3.3.1.11.5	Dahi
Dahi	5.3.3.2.11.4	Dahi
Dahi	5.3.3.3.11.5	Dahi
Dahi	5.3.3.4.11.5	Dahi
Dahi	5.3.5.2.11.5	Dahi
Dahi	5.5.2.1.11.2	Dahi
Dahi	5.5.2.1.12.6	Dahi
Dahi	5.5.2.1.16.5	Dahi
Dahi	5.5.2.2.11.2	Dahi
Dahi	5.5.2.2.12.5	Dahi
Dahi	5.5.2.2.16.4	Dahi
Dahi	5.5.2.3.11.2	Dahi
Dahi	5.5.2.3.12.4	Dahi
Dahi	5.5.2.3.16.6	Dahi
Dahi	5.5.3.1.11.2	Dahi
Dahi	5.5.3.1.12.4	Dahi
Dahi	5.5.3.2.11.2	Dahi
Dahi	5.5.3.2.12.4	Dahi
Dahi	5.5.3.3.11.2	Dahi
Dahi	5.5.3.3.12.7	Dahi
Dahi	5.5.3.3.14.10	Dahi
Dahi	5.5.3.4.11.4	Dahi
Dahi	5.5.3.4.12.4	Dahi
Dahi	5.5.3.4.14.4	Dahi
Dahi	5.5.4.1.11.2	Dahi
Dahi	5.5.4.1.12.3	Dahi
Dahi	5.5.4.2.11.2	Dahi
Dahi	5.5.4.2.12.4	Dahi
Dahi	5.5.4.3.11.2	Dahi
Dahi	5.5.4.3.12.3	Dahi
Dahi	5.7.3.2.11.3	Dahi
Dahi	5.7.3.2.12.1	Dahi
dahi	5.2.1.1.11.3	dahi
dahi	5.2.1.2.11.2	dahi
dahi	5.2.1.2.14.1	dahi
dahi	5.2.1.3.11.4	dahi
dahi	5.2.1.3.14.1	dahi
dahi	5.2.1.4.11.3	dahi
dahi	5.2.1.4.14.1	dahi
dahi	5.2.2.1.11.3	dahi
dahi	5.2.2.1.14.1	dahi
dahi	5.2.2.2.11.3	dahi
dahi	5.2.2.2.14.1	dahi
dahi	5.2.2.3.11.3	dahi
dahi	5.2.2.3.14.1	dahi
dahi	5.2.2.4.11.4	dahi
dahi	5.2.2.4.14.7	dahi
dahi	5.2.3.1.11.3	dahi
dahi	5.2.3.1.14.1	dahi
dahi	5.2.3.2.11.3	dahi
dahi	5.2.3.2.14.1	dahi
dahi	5.2.3.3.11.4	dahi
dahi	5.2.3.3.14.1	dahi
dahi	5.2.3.4.11.4	dahi
dahi	5.2.4.1.11.5	dahi
dahi	5.2.4.1.14.1	dahi
dahi	5.2.4.2.11.3	dahi
dahi	5.2.4.2.14.3	dahi
dahi	5.2.4.2.19.6	dahi
dahi	5.2.4.3.11.5	dahi
dahi	5.2.4.3.14.1	dahi
dahi	5.2.4.4.11.4	dahi
dahi	5.2.4.4.14.2	dahi
Dahi culture	5.5.2.1.22.3	Dahi culture
Dahi culture	5.5.2.2.22.3	Dahi culture
Dahi culture	5.5.2.3.22.2	Dahi culture
Dahi ka jaman	5.5.3.1.22.4	Dahi ka jaman
Dahi ka jaman	5.5.3.2.22.3	Dahi ka jaman
Dahi ka jaman	5.5.3.3.22.1	Dahi ka jaman
Dahi ka jaman	5.5.3.4.22.3	Dahi ka jaman
Dahi ka jaman	5.5.4.1.22.2	Dahi ka jaman
Dahi ka jaman	5.5.4.2.22.3	Dahi ka jaman
Dahi ka jaman	5.5.4.3.22.2	Dahi ka jaman
dahi raita	5.2.1.2.13.7	dahi raita
Dahongpao loquat	6.2.4.1.3.2	Dahongpao loquat
Daikon	1.1.5.1.2.12	Daikon
Daikon	4.5.4.4.2.14	Daikon
daikon	1.1.12.1.2.31	daikon
daikon	1.1.12.2.2.28	daikon
daikon	1.1.12.4.2.22	daikon
daikon	7.2.2.2.2.7	daikon
daikon	9.2.3.2.2.19	daikon
daikon	9.4.2.2.2.6	daikon
daikon Nara-zuke	6.7.4.4.14.4	daikon Nara-zuke
Daikon radish	6.5.1.1.2.8	Daikon radish
Daikon radish	6.5.1.3.2.5	Daikon radish
Daikon radish	6.5.2.2.2.12	Daikon radish
Daikon radish	6.5.2.4.2.5	Daikon radish
Daikon radish	6.5.3.3.2.2	Daikon radish
daikon radish	1.1.6.4.2.14	daikon radish
daikon radish	6.7.1.1.2.17	daikon radish
daikon radish	6.7.1.2.2.5	daikon radish
daikon radish	6.7.1.3.2.15	daikon radish
daikon radish	6.7.1.3.9.6	daikon radish
daikon radish	6.7.2.1.2.7	daikon radish
daikon radish	6.7.2.1.9.9	daikon radish
daikon radish	6.7.2.3.2.10	daikon radish
daikon radish	6.7.2.3.9.6	daikon radish
daikon radish	6.7.3.2.2.14	daikon radish
daikon radish	6.7.3.3.2.1	daikon radish
daikon radish	6.7.3.3.9.3	daikon radish
daikon radish	6.7.4.4.2.5	daikon radish
daikon radish	6.7.4.4.9.3	daikon radish
daikon radish	6.7.5.3.2.18	daikon radish
daikon radish	6.7.6.2.2.16	daikon radish
daikon radish	6.7.6.2.9.4	daikon radish
daikon radish	6.7.6.3.2.33	daikon radish
daikon radish	6.7.6.3.9.9	daikon radish
daikon radish	6.7.7.3.2.8	daikon radish
daikon radish	9.2.3.3.2.18	daikon radish
daikon radish	9.4.1.1.2.22	daikon radish
daikon radish	9.4.1.2.2.22	daikon radish
daikon radish	9.4.1.3.2.22	daikon radish
Daimasaki	6.7.6.4.18.20	Daimasaki
Daimasaki	6.7.6.4.3.3	Daimasaki
Daimasaki juice	6.7.6.4.12.7	Daimasaki juice
Daimon somen	6.7.5.1.1.13	Daimon somen
Daing	7.4.1.1.14.12	Daing
Daing	7.4.1.2.14.7	Daing
Daing	7.4.1.4.14.5	Daing
Daiquirí	1.4.1.2.20.8	Daiquiri
dairy bread	8.1.5.4.1.13	dairy bread
Daishan peanuts	6.2.1.2.5.4	Daishan peanuts
Dajr beans	4.5.4.3.4.1	Dajr beans
Dajr soup	4.5.4.3.18.5	Dajr soup
Dakekimi corn	6.7.2.1.18.9	Dakekimi corn
Dakki dates	5.2.4.2.18.17	Dakki dates
dakos rusks	2.7.2.5.1.14	dakos rusks
dakos rusks	2.7.2.5.18.1	dakos rusks
Dakwa	3.2.2.5.13.1	Dakwa
Dakwa	3.2.2.5.18.8	Dakwa
Dal pitha	5.5.3.2.18.6	Dal pitha
dalama	4.6.1.1.11.12	dalama
Dalaost	2.9.3.2.11.7	Dalaost
Dalaost	2.9.3.2.18.6	Dalaost
Dalchini	5.5.2.1.8.13	Dalchini
Dalchini	5.5.2.2.8.13	Dalchini
Dalchini	5.5.3.2.8.13	Dalchini
Dalchini	5.5.3.4.8.14	Dalchini
Dalchini	5.5.5.1.8.13	Dalchini
Dalda	5.5.1.1.10.6	Dalda
Dalda	5.5.3.3.10.4	Dalda
Daler bori	5.5.1.1.14.1	Daler bori
Daler bori	5.5.1.2.14.1	Daler bori
dalgan	8.2.2.2.1.11	dalgan
dalgan	8.2.2.2.18.2	dalgan
dali ni horbo	7.3.1.2.11.2	dali ni horbo
Dalia	5.5.1.1.1.15	Dalia
Dalian sweet cherry	6.1.3.1.18.4	Dalian sweet cherry
Dalian sweet cherry	6.1.3.1.3.1	Dalian sweet cherry
Dalim	5.5.2.3.3.14	Dalim
Dall sheep	1.1.13.5.6.24	Dall sheep
Dalle achar	5.5.1.3.17.5	Dalle achar
Dalle khursani	5.5.1.3.8.5	Dalle khursani
Dalle khursani	5.7.3.2.18.1	Dalle khursani
Dalle khursani	5.7.3.2.2.23	Dalle khursani
Dalle khursani	5.7.3.2.8.6	Dalle khursani
Dalle khursani paste	5.7.3.2.13.1	Dalle khursani paste
Dalle ko achar	5.5.1.3.13.7	Dalle ko achar
Dalmatian prosciutto	2.6.2.3.14.1	Dalmatian prosciutto
Dalmatian prosciutto	2.6.2.3.18.6	Dalmatian prosciutto
Dalmatian prosciutto	2.6.2.3.6.10	Dalmatian prosciutto
Dalmatinka	2.6.2.3.20.6	Dalmatinka
Dalmore whisky	2.1.2.2.20.4	Dalmore whisky
Dalo	9.3.2.1.1.1	Dalo
Dalo	9.3.2.2.1.1	Dalo
Dalo	9.3.2.3.1.1	Dalo
Dalo	9.3.2.4.1.1	Dalo
Dalo ni tana	9.3.2.2.1.2	Dalo ni tana
Dalo ni tana	9.3.2.4.1.2	Dalo ni tana
daluman leaves	7.3.3.1.18.5	daluman leaves
daluman leaves	7.3.3.1.19.6	daluman leaves
Daluoshan bayberries	6.2.1.2.3.8	Daluoshan bayberries
Damasco	1.8.1.3.3.36	Damasco
Damasco	1.8.1.4.3.12	Damasco
Damasco	1.8.1.6.3.8	Damasco
Damasco	1.8.3.1.3.18	Damasco
Damasco	1.8.3.2.3.12	Damasco
Damasco	1.8.4.1.3.19	Damasco
Damasco	1.8.4.3.3.11	Damasco
Damasco	1.8.5.3.3.10	Damasco
Damasco	1.8.5.4.3.4	Damasco
damasco	1.6.1.3.3.9	damasco
Damasco deshidratado	1.8.3.1.14.8	Damasco deshidratado
damasco seco	1.6.1.3.14.5	damasco seco
damask rose	3.1.1.4.19.9	damask rose
damask rose	5.1.3.3.19.6	damask rose
damask rose infusion	4.6.2.3.19.4	damask rose infusion
Damask rose petals	4.3.2.1.18.1	Damask rose petals
Damask rose petals	4.3.2.1.19.1	Damask rose petals
Damask rose petals	4.5.5.4.7.3	Damask rose petals
damask rose petals	4.6.2.3.17.7	damask rose petals
damask rose petals	4.6.2.3.18.3	damask rose petals
damask rose petals	4.6.2.3.7.6	damask rose petals
Damask rose syrup	4.3.2.1.18.2	Damask rose syrup
Damask roses	4.5.5.4.18.2	Damask roses
damaskinoelies	2.7.1.2.14.5	damaskinoelies
Damassine AOP	2.5.4.2.18.23	Damassine AOP
Damassine AOP	2.5.4.2.20.17	Damassine AOP
Damassine plum	2.5.4.2.3.26	Damassine plum
damassons rouges	2.5.4.2.3.11	damassons rouges
dambalkhacho	4.2.1.2.11.5	dambalkhacho
dambalkhacho	4.2.1.5.11.13	dambalkhacho
dambalkhacho	4.2.1.5.14.4	dambalkhacho
dambalkhacho	4.2.1.5.18.5	dambalkhacho
dambou rice semolina	3.4.7.4.18.1	dambou rice semolina
dambukjang	6.6.2.4.13.4	dambukjang
damla sakızı	4.1.2.1.19.10	mastic gum
damselfish	6.6.3.1.18.5	damselfish
damselfish	6.6.3.1.6.17	damselfish
Damson	2.5.1.2.3.30	Damson
Damson	2.5.1.3.3.23	Damson
Damson	2.5.1.4.3.17	Damson
Damson	2.5.2.1.3.17	Damson
damson	9.2.2.2.3.10	damson
damson chutney	2.1.1.1.13.9	damson chutney
damson chutney	2.1.1.3.13.5	damson chutney
damson chutney	2.1.1.4.13.4	damson chutney
damson chutney	2.1.1.5.13.7	damson chutney
damson chutney	2.1.2.1.13.6	damson chutney
damson chutney	2.1.2.1.14.12	damson chutney
damson jam	2.1.1.1.14.9	damson jam
damson jam	2.1.1.3.14.11	damson jam
damson jam	2.1.1.5.14.11	damson jam
damson plum	9.2.2.3.3.13	damson plum
damson plum juice	4.6.1.1.12.7	damson plum juice
Damson plums	1.1.13.2.3.23	Damson plums
Damson plums	2.3.2.2.3.5	Damson plums
damson plums	4.6.1.1.17.11	damson plums
damson plums	4.6.1.1.3.1	damson plums
Damsons	2.3.3.2.3.10	Damsons
damsons	2.1.1.2.3.7	damsons
damsons	2.1.1.3.3.5	damsons
damsons	2.1.1.5.3.7	damsons
damsons	2.1.2.1.3.14	damsons
damsons	2.3.9.1.3.7	damsons
Damwild	2.5.1.3.6.17	Damwild
Dana thyme	4.3.3.3.18.3	Dana thyme
Dana thyme	4.3.3.3.19.5	Dana thyme
Danablu	2.9.1.4.11.4	Danablu
Danablu	2.9.1.4.18.5	Danablu
Danba apple	6.4.1.4.3.1	Danba apple
dančí maso	2.5.5.1.6.24	deer meat
Dandari dates	5.2.4.2.18.11	Dandari dates
Dandelion	2.9.5.2.7.6	Dandelion
Dandelion	2.9.5.2.9.5	Dandelion
Dandelion	6.8.1.3.19.12	Dandelion
dandelion	1.1.13.1.19.7	dandelion
dandelion	7.1.8.3.2.15	dandelion
Dandelion greens	1.1.4.1.2.19	Dandelion greens
Dandelion greens	1.1.4.2.2.32	Dandelion greens
Dandelion greens	1.1.4.3.2.38	Dandelion greens
Dandelion greens	2.3.5.2.2.4	Dandelion greens
Dandelion greens	2.3.5.2.7.11	Dandelion greens
Dandelion greens	2.9.2.1.2.15	Dandelion greens
Dandelion greens	5.3.1.1.19.4	Dandelion greens
Dandelion greens	5.3.1.1.2.18	Dandelion greens
dandelion greens	2.6.1.1.2.19	dandelion greens
dandelion greens	2.6.1.2.2.18	dandelion greens
dandelion greens	3.7.1.2.2.20	dandelion greens
dandelion greens	3.7.1.2.7.5	dandelion greens
Dandelion honey	2.9.5.4.15.2	Dandelion honey
Dandelion leaves	5.7.3.1.2.35	Dandelion leaves
Dandelion pesto	2.9.4.2.13.10	Dandelion pesto
Dandelion pesto	2.9.4.2.18.16	Dandelion pesto
Dandelion root	2.9.8.3.19.12	Dandelion root
Dandelion syrup	2.9.7.2.13.10	Dandelion syrup
Dandelion syrup	2.9.7.2.15.5	Dandelion syrup
Dandelion syrup	2.9.7.2.19.3	Dandelion syrup
Dangar rani	5.5.2.4.4.5	Dangar rani
dange	7.3.5.3.1.19	dange
dange	7.3.5.3.18.3	dange
Danggit	7.4.2.1.14.1	Danggit
Danggit	7.4.2.1.18.4	Danggit
Danggit	7.4.2.2.6.20	Danggit
danggochujang	6.6.1.1.13.7	danggochujang
Dangjin silchi	6.6.2.4.18.10	Dangjin silchi
Dangkanda yam	5.4.5.2.2.20	Dangkanda yam
Dango	4.5.6.2.18.13	Dango
Dangshan crisp pears	6.2.4.2.18.3	Dangshan crisp pears
Dangshan crisp pears	6.2.4.2.3.1	Dangshan crisp pears
Dangshan crown pears	6.2.4.2.3.2	Dangshan crown pears
Dangshan yellow peaches	6.2.4.2.18.4	Dangshan yellow peaches
Dangshan yellow peaches	6.2.4.2.3.3	Dangshan yellow peaches
Dangxiong yak beef	6.4.5.1.18.1	Dangxiong yak beef
Dangxiong yak beef	6.4.5.1.6.1	Dangxiong yak beef
Dani ≠Goas	3.7.2.4.14.3	Dani ≠Goas
Dani ≠Goas	3.7.2.4.20.3	Dani ≠Goas
Daning codonopsis	6.4.1.2.19.4	Daning codonopsis
Danqiu Baishui silk-seed rice	6.3.1.2.1.3	Danqiu Baishui silk-seed rice
Danshaku potatoes	6.7.1.1.1.6	Danshaku potatoes
Danube carp	2.8.2.3.6.12	Danube carp
Danube catfish	2.8.5.2.6.13	Danube catfish
Danube Delta fish roe	2.8.4.4.6.19	Danube Delta fish roe
Danube fish roe	2.8.2.3.6.24	Danube fish roe
Danube salmon	2.6.6.3.6.11	Danube salmon
Danube shad	2.8.4.4.6.7	Danube shad
Danube shad	2.8.5.4.6.12	Danube shad
Danube sturgeon	2.8.4.4.6.1	Danube sturgeon
Danzhou black pork	6.3.5.3.6.1	Danzhou black pork
Danzhou crimson snapper	6.3.5.3.6.16	Danzhou crimson snapper
Danzhou dried crimson snapper	6.3.5.3.14.11	Danzhou dried crimson snapper
Danzhou dried crimson snapper	6.3.5.3.18.3	Danzhou dried crimson snapper
Danzhou rice noodles	6.3.5.3.1.3	Danzhou rice noodles
Danzhou rice noodles	6.3.5.3.18.1	Danzhou rice noodles
Dao Kou pickles	6.1.2.2.14.1	Dao Kou pickles
Daogou white lotus root	6.1.2.3.2.7	Daogou white lotus root
Daoguang Twenty-Five baijiu	6.1.3.1.20.5	Daoguang Twenty-Five baijiu
Daozhen gray tofu fruit	6.4.3.3.11.4	Daozhen gray tofu fruit
Daozhen gray tofu fruit	6.4.3.3.18.6	Daozhen gray tofu fruit
Daozhen selenium strontium tea	6.4.3.3.20.5	Daozhen selenium strontium tea
Daozhen shiitake mushroom	6.4.3.3.18.9	Daozhen shiitake mushroom
Daozhen shiitake mushroom	6.4.3.3.2.8	Daozhen shiitake mushroom
dapdap leaves	7.3.3.2.7.7	dapdap leaves
Dapo black pepper	6.3.5.1.8.1	Dapo black pepper
Dapo pepper	6.3.5.1.18.4	Dapo pepper
Dapo pepper powder	6.3.5.1.13.7	Dapo pepper powder
Dapo white pepper	6.3.5.1.8.2	Dapo white pepper
dapsnili kveli	4.2.1.4.11.8	dapsnili kveli
Dapu oolong tea	6.3.4.1.18.8	Dapu oolong tea
Dapu oolong tea	6.3.4.1.19.3	Dapu oolong tea
Dapu oolong tea	6.3.4.1.20.3	Dapu oolong tea
Dapu pomelo	6.3.4.1.18.2	Dapu pomelo
Dapu pomelo	6.3.4.1.3.2	Dapu pomelo
Daqoos	4.5.6.3.13.1	Daqoos
Daral	7.4.4.4.18.11	Daral
Darasa	1.3.1.4.18.2	Darasa
Darasa	1.3.2.3.18.3	Darasa
darasa	1.3.4.2.18.12	darasa
Darchini	5.5.1.1.8.11	Darchini
Darchini	5.5.1.2.8.12	Darchini
Darchini	5.5.3.3.8.11	Darchini
darfiyeh	4.3.1.2.11.10	darfiyeh
darfiyeh	4.3.1.2.18.1	darfiyeh
Darjeeling tea	5.5.1.3.20.1	Darjeeling tea
Darjeeling tea leaves	5.5.1.1.20.1	Darjeeling tea leaves
dark ale	9.2.2.2.16.12	dark ale
dark ale	9.2.2.2.20.9	dark ale
Dark beer	2.5.5.1.16.24	Dark beer
Dark beer	2.5.5.2.16.27	Dark beer
Dark beer	2.5.5.3.16.15	Dark beer
dark brown sugar	2.1.1.1.15.5	dark brown sugar
dark brown sugar	2.1.1.2.15.4	dark brown sugar
dark brown sugar	2.1.1.3.15.4	dark brown sugar
dark brown sugar	2.1.1.4.15.5	dark brown sugar
dark brown sugar	2.1.1.5.15.6	dark brown sugar
dark brown sugar	2.1.2.1.15.6	dark brown sugar
dark brown sugar	2.1.2.2.15.7	dark brown sugar
dark candi syrup	2.3.7.1.15.5	dark candi syrup
Dark coarse wheat flour	2.9.8.3.1.6	Dark coarse wheat flour
dark figs	2.6.7.2.3.11	dark figs
Dark Island ale	2.1.2.4.20.8	Dark Island ale
Dark lager	2.5.5.1.20.19	Dark lager
Dark lager	2.5.5.2.20.33	Dark lager
Dark lager	2.5.5.3.20.9	Dark lager
Dark lager	2.5.6.1.20.29	Dark lager
Dark lager	2.5.6.2.20.22	Dark lager
Dark lager	2.5.6.3.20.15	Dark lager
Dark lager	2.9.1.4.20.2	Dark lager
Dark lamb stock	2.2.8.2.16.6	Dark lamb stock
Dark malt flour	2.9.1.2.22.5	Dark malt flour
dark red kidney beans	1.1.6.1.4.5	dark red kidney beans
Dark roux	1.1.5.1.18.1	Dark roux
Dark roux	1.1.5.2.18.7	Dark roux
Dark rye bread	2.9.8.3.1.4	Dark rye bread
dark soy sauce	6.1.1.2.13.5	dark soy sauce
dark soy sauce	6.2.1.1.13.3	dark soy sauce
dark soy sauce	6.2.1.2.13.2	dark soy sauce
dark soy sauce	6.2.1.3.13.2	dark soy sauce
dark soy sauce	6.2.2.1.13.2	dark soy sauce
dark soy sauce	6.2.3.1.13.3	dark soy sauce
dark soy sauce	6.2.3.2.13.2	dark soy sauce
dark soy sauce	6.2.3.3.13.4	dark soy sauce
dark soy sauce	6.2.3.4.13.3	dark soy sauce
dark soy sauce	6.2.4.1.13.2	dark soy sauce
dark soy sauce	6.2.4.2.13.2	dark soy sauce
dark soy sauce	6.2.4.3.13.2	dark soy sauce
dark soy sauce	6.2.4.4.13.2	dark soy sauce
dark soy sauce	6.3.1.1.13.2	dark soy sauce
dark soy sauce	6.3.1.2.13.2	dark soy sauce
dark soy sauce	6.3.1.3.13.2	dark soy sauce
dark soy sauce	6.3.1.4.13.2	dark soy sauce
dark soy sauce	6.3.2.1.13.2	dark soy sauce
dark soy sauce	6.3.2.4.13.4	dark soy sauce
dark soy sauce	6.3.3.2.13.3	dark soy sauce
dark soy sauce	6.3.3.3.13.2	dark soy sauce
dark soy sauce	6.3.3.4.13.2	dark soy sauce
dark soy sauce	6.3.4.1.13.2	dark soy sauce
dark soy sauce	6.3.4.2.13.2	dark soy sauce
dark soy sauce	6.3.4.3.13.2	dark soy sauce
dark soy sauce	6.3.5.3.13.3	dark soy sauce
dark soy sauce	6.4.1.1.13.6	dark soy sauce
dark soy sauce	6.4.1.2.13.3	dark soy sauce
dark soy sauce	6.7.4.1.13.2	dark soy sauce
dark soy sauce	7.1.1.1.13.4	dark soy sauce
dark soy sauce	7.1.3.1.13.4	dark soy sauce
dark soy sauce	7.1.3.2.13.2	dark soy sauce
dark soy sauce	7.1.3.4.13.6	dark soy sauce
dark soy sauce	7.2.1.1.13.5	dark soy sauce
dark soy sauce	7.2.1.4.13.6	dark soy sauce
dark soy sauce	7.2.2.1.13.8	dark soy sauce
dark soy sauce	7.2.2.3.13.8	dark soy sauce
dark soy sauce	7.2.4.1.13.8	dark soy sauce
dark soy sauce	7.2.4.2.13.6	dark soy sauce
dark sweet cherries	1.1.11.3.3.11	dark sweet cherries
dark sweet soy sauce	7.1.4.2.13.10	dark sweet soy sauce
Dark syrup	2.9.4.1.15.2	Dark syrup
dark-fire stew oven	6.1.1.1.24.8	dark-fire stew oven
Darkina	5.5.1.3.6.12	Darkina
Darnibole wine	2.1.1.4.16.13	Darnibole wine
Darnibole wine	2.1.1.4.18.12	Darnibole wine
Darnibole wine	2.1.1.4.20.6	Darnibole wine
Darrrauch	2.5.3.2.24.4	Darrrauch
Darselect strawberries	2.3.4.4.3.3	Darselect strawberries
Daru	5.3.1.4.20.8	Daru
Darycinis	2.9.8.1.13.2	Darycinis
dash-dot goatfish	9.4.4.1.6.11	dash-dot goatfish
Dasheen	1.3.5.3.1.7	Dasheen
Dasheen	1.4.4.1.1.15	Dasheen
Dasheen	1.4.4.2.1.13	Dasheen
Dasheen	1.4.4.3.1.16	Dasheen
Dasheen	1.4.4.4.1.20	Dasheen
Dasheen	1.4.6.1.1.9	Dasheen
Dasheen	1.4.6.2.1.12	Dasheen
Dasheen	1.4.6.3.1.9	Dasheen
Dasheen	1.4.6.4.1.8	Dasheen
Dasheen	1.4.7.2.1.10	Dasheen
Dasheen	1.4.7.4.1.10	Dasheen
dasheen	1.3.5.3.1.26	dasheen
dasheen	9.4.2.2.1.6	dasheen
dasheen	9.4.2.2.18.6	dasheen
Dasheen bush	1.4.6.1.2.2	Dasheen bush
Dasheen bush	1.4.6.2.2.1	Dasheen bush
Dasheen bush	1.4.6.3.2.2	Dasheen bush
Dasheen bush	1.4.6.4.2.1	Dasheen bush
Dasheen bush	1.4.7.2.2.2	Dasheen bush
Dasheen bush	1.4.7.4.2.2	Dasheen bush
Dasheen flour	1.4.6.4.1.9	Dasheen flour
Dasheen flour	1.4.6.4.18.5	Dasheen flour
Dasheen punch	1.4.6.4.18.6	Dasheen punch
Dasheen wine	1.4.6.4.18.7	Dasheen wine
dashi	1.1.12.1.16.5	dashi
dashi	1.1.12.2.16.5	dashi
dashi	1.1.12.3.16.5	dashi
dashi	1.1.12.4.16.5	dashi
dashi	6.7.3.1.16.1	dashi
dashi	6.7.5.3.16.1	dashi
dashi	6.7.6.1.16.1	dashi
dashi	6.7.6.3.16.3	dashi
dashi	6.7.6.4.16.1	dashi
dashi	6.7.6.5.16.1	dashi
dashi	6.7.7.1.16.1	dashi
dashi soy sauce	6.7.4.1.13.6	dashi soy sauce
dashi stock	6.7.7.3.16.13	dashi stock
dashín	1.3.7.3.1.6	dashin
Dashoguz gulyabi melon	8.1.5.4.18.2	Dashoguz gulyabi melon
Dashoguz gulyabi melon	8.1.5.4.3.16	Dashoguz gulyabi melon
Dashra bhamori mushroom	5.4.5.2.2.32	Dashra bhamori mushroom
Datça hurması	4.1.2.3.18.8	Datça date
Datça hurması	4.1.2.3.3.10	Datça date
Datça Nurlu bademi	4.1.2.3.18.7	Datça Nurlu almond
Datça Nurlu bademi	4.1.2.3.5.1	Datça Nurlu almond
Date	5.3.5.4.3.16	Date
Date anpo persimmons	6.7.2.2.14.1	Date anpo persimmons
