0ya	3.8.5.3.2.8	0ya
yak butter	6.4.5.3.10.1	yak butter
yak butter	6.4.5.3.11.11	yak butter
yak butter	6.4.5.3.13.1	yak butter
yak butter	6.4.5.4.10.1	yak butter
yak butter	6.4.5.4.13.1	yak butter
yak butter	8.1.4.4.10.1	yak butter
yak butter	8.1.4.4.18.8	yak butter
Yak churpi	5.7.3.3.11.5	Yak churpi
yak dung fuel	6.4.5.1.24.3	yak dung fuel
yak dung fuel	6.4.5.3.24.3	yak dung fuel
yak dung fuel	6.4.5.4.24.3	yak dung fuel
Yak fat	5.7.3.3.10.4	Yak fat
yak jerky	6.4.1.4.14.2	yak jerky
yak liver	6.4.1.4.6.6	yak liver
yak liver	6.4.5.1.6.5	yak liver
yak liver	6.4.5.3.6.5	yak liver
Yak meat	5.3.1.3.6.4	Yak meat
Yak meat	5.5.5.5.6.4	Yak meat
Yak meat	5.7.1.4.6.1	Yak meat
Yak meat	5.7.2.1.6.2	Yak meat
Yak meat	5.7.2.2.6.6	Yak meat
Yak meat	5.7.2.3.6.5	Yak meat
Yak meat	5.7.3.1.6.1	Yak meat
Yak meat	5.7.3.2.6.1	Yak meat
Yak meat	5.7.3.3.6.1	Yak meat
Yak meat	5.7.3.4.6.1	Yak meat
Yak meat	6.8.1.3.6.4	Yak meat
Yak meat	6.8.1.4.6.5	Yak meat
yak meat	5.2.3.4.6.8	yak meat
yak meat	6.4.1.4.6.1	yak meat
yak meat	6.4.5.1.6.2	yak meat
yak meat	6.4.5.2.6.1	yak meat
yak meat	6.4.5.3.6.1	yak meat
yak meat	6.4.5.4.6.2	yak meat
yak meat	8.1.2.3.18.9	yak meat
yak meat	8.1.2.3.6.4	yak meat
yak meat	8.1.4.4.6.1	yak meat
Yak milk	5.3.1.3.11.1	Yak milk
Yak milk	5.3.1.3.16.5	Yak milk
Yak milk	5.5.5.5.11.2	Yak milk
Yak milk	5.7.1.4.11.1	Yak milk
Yak milk	5.7.1.4.16.2	Yak milk
Yak milk	5.7.2.1.11.10	Yak milk
Yak milk	5.7.2.2.11.8	Yak milk
Yak milk	5.7.2.3.11.7	Yak milk
Yak milk	5.7.3.2.11.2	Yak milk
Yak milk	5.7.3.3.11.1	Yak milk
Yak milk	5.7.3.3.16.3	Yak milk
Yak milk	5.7.3.3.20.10	Yak milk
Yak milk	5.7.3.4.11.1	Yak milk
Yak milk	5.7.3.4.20.9	Yak milk
Yak milk	6.8.1.3.11.1	Yak milk
Yak milk	6.8.1.3.16.3	Yak milk
Yak milk	6.8.1.3.20.5	Yak milk
Yak milk	6.8.1.4.11.2	Yak milk
yak milk	5.2.3.4.11.3	yak milk
yak milk	6.4.1.4.11.1	yak milk
yak milk	6.4.5.1.11.1	yak milk
yak milk	6.4.5.1.20.8	yak milk
yak milk	6.4.5.2.11.1	yak milk
yak milk	6.4.5.3.11.1	yak milk
yak milk	6.4.5.3.20.8	yak milk
yak milk	6.4.5.4.11.1	yak milk
yak milk	8.1.2.3.11.4	yak milk
yak milk	8.1.4.4.11.2	yak milk
yak offal	6.4.5.1.6.4	yak offal
yak offal	6.4.5.2.6.3	yak offal
yak offal	6.4.5.3.6.4	yak offal
yak offal	6.4.5.4.6.4	yak offal
yak ribs	6.4.1.4.6.4	yak ribs
yak ribs	6.4.5.1.6.3	yak ribs
yak ribs	6.4.5.2.6.2	yak ribs
yak ribs	6.4.5.3.6.3	yak ribs
yak ribs	6.4.5.4.6.3	yak ribs
Yak skin pouch	5.7.3.3.23.4	Yak skin pouch
yak tallow	6.4.1.4.10.3	yak tallow
yak tripe	6.4.1.4.18.10	yak tripe
yak tripe	6.4.1.4.6.5	yak tripe
yak yogurt	6.4.1.4.11.3	yak yogurt
yak yogurt	6.4.5.1.11.5	yak yogurt
yak yogurt	6.4.5.2.11.5	yak yogurt
yak yogurt	6.4.5.3.11.3	yak yogurt
yakeyake	3.4.4.4.18.3	yakeyake
Yakhni	5.3.5.1.16.5	Yakhni
yakiboshi sardines	6.7.2.1.14.6	yakiboshi sardines
yakiboshi sardines	6.7.2.1.8.18	yakiboshi sardines
Yakou selenium-rich rice	6.3.1.1.1.2	Yakou selenium-rich rice
yakougai	6.7.7.3.18.6	yakougai
yakougai	6.7.7.3.6.28	yakougai
Yakumo fukujinzuke	6.7.1.1.14.19	Yakumo fukujinzuke
Yalka starch	9.1.5.3.22.4	Yalka starch
Yalka tubers	9.1.5.3.1.1	Yalka tubers
Yalka tubers	9.1.5.3.2.1	Yalka tubers
Yalka tubers	9.1.5.3.9.2	Yalka tubers
Yalova aronia	4.1.1.3.18.15	Yalova aronia
Yalova aronia	4.1.1.3.3.18	Yalova aronia
Yalova chestnut honey	4.1.1.3.15.1	Yalova chestnut honey
Yalova chestnut honey	4.1.1.3.18.19	Yalova chestnut honey
Yalova kiwi	4.1.1.3.18.14	Yalova kiwi
Yalova kiwi	4.1.1.3.3.17	Yalova kiwi
Yam	1.3.1.4.1.12	Yam
Yam	1.3.4.4.1.8	Yam
Yam	1.4.6.1.1.12	Yam
Yam	1.4.6.2.1.15	Yam
Yam	1.4.6.3.1.12	Yam
Yam	1.4.6.4.1.12	Yam
Yam	1.4.7.1.1.10	Yam
Yam	1.4.7.2.1.13	Yam
Yam	1.4.7.4.1.13	Yam
Yam	1.4.8.1.1.9	Yam
Yam	1.4.8.2.1.8	Yam
Yam	3.2.2.3.1.11	Yam
Yam	3.2.3.2.1.14	Yam
Yam	3.3.1.5.1.11	Yam
Yam	3.5.1.3.1.15	Yam
Yam	3.5.2.1.1.8	Yam
Yam	3.5.2.2.1.13	Yam
Yam	3.5.2.3.1.12	Yam
Yam	3.5.3.1.1.15	Yam
Yam	3.5.3.2.1.16	Yam
Yam	3.5.3.3.1.16	Yam
Yam	3.5.3.4.1.16	Yam
Yam	3.5.4.1.1.21	Yam
Yam	3.5.4.5.1.14	Yam
Yam	3.5.4.6.1.18	Yam
Yam	3.5.5.1.1.17	Yam
Yam	3.5.5.2.1.18	Yam
Yam	3.5.5.3.1.20	Yam
Yam	3.8.1.2.1.11	Yam
Yam	5.4.1.3.2.18	Yam
Yam	5.4.5.2.2.17	Yam
Yam	5.5.5.3.1.14	Yam
Yam	5.5.5.3.2.12	Yam
Yam	5.5.5.4.1.13	Yam
Yam	5.5.5.5.1.15	Yam
Yam	5.5.5.5.2.20	Yam
Yam	5.5.5.6.1.13	Yam
Yam	5.7.1.1.1.12	Yam
Yam	5.7.1.2.1.14	Yam
Yam	5.7.1.3.1.13	Yam
Yam	5.7.2.3.1.18	Yam
Yam	6.5.3.2.1.11	Yam
Yam	6.5.3.3.1.6	Yam
Yam	7.5.1.4.1.6	Yam
Yam	9.1.1.5.1.2	Yam
Yam	9.1.4.4.1.3	Yam
Yam	9.3.2.1.1.7	Yam
Yam	9.3.2.2.1.7	Yam
Yam	9.3.2.3.1.6	Yam
Yam	9.3.2.4.1.9	Yam
Yam	9.3.3.1.1.2	Yam
Yam	9.3.3.2.1.2	Yam
Yam	9.3.3.3.1.2	Yam
Yam	9.3.4.1.1.5	Yam
Yam	9.3.4.3.1.6	Yam
Yam	9.3.5.1.1.1	Yam
Yam	9.3.5.2.1.1	Yam
Yam	9.3.5.3.1.1	Yam
Yam	9.3.5.4.1.1	Yam
yam	1.1.12.1.1.9	yam
yam	1.1.12.2.1.9	yam
yam	1.1.12.3.1.12	yam
yam	1.1.12.4.1.10	yam
yam	1.3.2.1.1.24	yam
yam	1.3.2.3.1.32	yam
yam	3.4.1.1.1.13	yam
yam	3.4.1.3.1.12	yam
yam	3.4.2.1.1.18	yam
yam	3.4.2.4.1.11	yam
yam	3.4.3.1.1.13	yam
yam	3.4.3.2.1.14	yam
yam	3.4.3.3.1.13	yam
yam	3.4.3.4.1.14	yam
yam	3.4.4.1.1.15	yam
yam	3.4.4.2.1.8	yam
yam	3.4.4.3.1.13	yam
yam	3.4.4.4.1.14	yam
yam	3.4.5.1.1.13	yam
yam	3.4.5.2.1.13	yam
yam	3.4.5.3.1.13	yam
yam	3.4.5.4.1.13	yam
yam	3.4.6.1.1.14	yam
yam	3.4.6.2.1.1	yam
yam	3.4.6.3.1.9	yam
yam	3.4.6.4.1.1	yam
yam	3.4.6.5.1.17	yam
yam	3.4.6.6.1.18	yam
yam	3.4.7.2.1.15	yam
yam	3.4.7.3.1.16	yam
yam	3.7.6.2.1.12	yam
yam	6.4.2.1.1.16	yam
yam	6.4.2.3.1.15	yam
yam	6.6.2.3.1.11	yam
yam	7.1.1.5.1.14	yam
yam	7.1.5.4.1.11	yam
yam	7.2.1.1.1.19	yam
yam	7.2.1.2.1.15	yam
yam	7.2.1.2.2.9	yam
yam	7.2.3.1.1.13	yam
yam	7.2.3.2.1.13	yam
yam	7.2.4.1.1.16	yam
yam	7.3.7.2.1.9	yam
yam	9.4.2.1.1.7	yam
yam	9.4.2.2.1.17	yam
yam	9.4.3.1.1.4	yam
yam	9.4.3.2.1.8	yam
yam	9.4.3.3.1.7	yam
yam	9.4.3.4.1.14	yam
yam	9.5.1.1.1.6	yam
yam	9.5.1.2.1.4	yam
yam	9.5.2.1.1.2	yam
yam	9.5.2.2.1.2	yam
yam	9.5.2.3.1.2	yam
yam	9.5.5.1.1.8	yam
yam	9.5.5.2.1.10	yam
yam	9.5.6.1.1.13	yam
yam	9.5.6.3.1.3	yam
yam	9.5.6.4.1.11	yam
Yam Africa	9.3.4.2.1.6	Yam Africa
yam bean	7.1.5.4.1.12	yam bean
yam bean	9.4.2.2.1.18	yam bean
yam bean	9.4.2.2.18.7	yam bean
Yam daisy tubers	9.1.3.1.1.7	Yam daisy tubers
yam flour	3.4.6.1.1.16	yam flour
yam flour	9.5.1.2.1.13	yam flour
yam flour	9.5.1.2.14.10	yam flour
yam flour	9.5.1.2.18.11	yam flour
yam flour	9.5.1.2.22.4	yam flour
Yam Maro	9.3.4.2.1.7	Yam Maro
yam stems	7.2.4.1.2.15	yam stems
Yam Wailu	9.3.4.2.1.8	Yam Wailu
yama wasabi	6.7.1.2.19.7	yama wasabi
yama wasabi	6.7.1.2.7.2	yama wasabi
yama wasabi	6.7.1.2.9.8	yama wasabi
yama wasabi paste	6.7.1.2.13.4	yama wasabi paste
yama-gobo	6.7.1.1.18.11	yama-gobo
yama-gobo	6.7.1.1.2.27	yama-gobo
yamabudō	6.7.1.3.12.2	yamabudō
yamabudō	6.7.1.3.3.5	yamabudō
yamabudo wine	6.7.2.1.20.9	yamabudo wine
Yamada Nishiki rice	6.7.4.3.1.2	Yamada Nishiki rice
Yamada Nishiki rice	6.7.6.1.1.9	Yamada Nishiki rice
Yamada Nishiki rice grains	6.7.4.3.5.1	Yamada Nishiki rice grains
Yamagata beef	6.7.2.2.6.2	Yamagata beef
Yamagata Beniou cherries	6.7.2.2.18.5	Yamagata Beniou cherries
Yamagata Beniou cherries	6.7.2.2.3.6	Yamagata Beniou cherries
Yamagata La France pears	6.7.2.2.18.4	Yamagata La France pears
Yamagata sake	6.7.2.2.20.2	Yamagata sake
Yamagata seina	6.7.2.2.18.12	Yamagata seina
Yamagata seina	6.7.2.2.2.28	Yamagata seina
Yamagata seina leaves	6.7.2.2.7.5	Yamagata seina leaves
Yamagata wine	6.7.2.2.20.4	Yamagata wine
yamaimo	6.7.5.2.1.14	yamaimo
yamaimo	6.7.5.2.22.6	yamaimo
Yamakawa daikon	6.7.6.4.2.4	Yamakawa daikon
Yamalak sarısı olive	4.1.2.3.3.20	patchy yellow olive
yamame	6.7.1.1.6.6	yamame
yamame	6.7.2.2.6.17	yamame
yamame	6.7.3.2.6.16	yamame
yamame	6.7.6.3.6.19	yamame
Yamanashi sake	6.7.5.2.20.2	Yamanashi sake
Yamanashi wine	6.7.5.2.20.5	Yamanashi wine
yamanoimo	6.7.4.2.1.8	yamanoimo
yamanoimo	6.7.4.2.2.15	yamanoimo
Yamasachi grapes	6.7.1.2.18.6	Yamasachi grapes
Yamasachi grapes	6.7.1.2.3.13	Yamasachi grapes
Yamasachi wine	6.7.1.2.20.3	Yamasachi wine
Yamashiona	6.7.6.1.2.14	Yamashiona
Yamato buckwheat	6.7.2.2.1.14	Yamato buckwheat
Yamato mana	6.7.4.4.18.1	Yamato mana
Yamato mana	6.7.4.4.2.1	Yamato mana
Yamato tea	6.7.4.4.19.5	Yamato tea
Yamato tea	6.7.4.4.20.1	Yamato tea
Yamato tea infusion	6.7.4.4.16.4	Yamato tea infusion
Yamato tea leaves	6.7.4.4.8.3	Yamato tea leaves
yamatoimo	6.7.3.2.1.16	yamatoimo
yamatoimo	6.7.3.2.18.15	yamatoimo
yamatoimo	6.7.3.2.19.2	yamatoimo
yamatoimo	6.7.3.2.22.8	yamatoimo
Yamauchi carrots	6.7.2.1.2.19	Yamauchi carrots
yamazuke salmon	6.7.1.2.14.2	yamazuke salmon
Yame dento hon gyokuro	6.7.6.1.18.7	Yame dento hon gyokuro
Yame dento hon gyokuro	6.7.6.1.19.2	Yame dento hon gyokuro
Yame dento hon gyokuro	6.7.6.1.20.2	Yame dento hon gyokuro
Yame dento hon gyokuro leaves	6.7.6.1.8.2	Yame dento hon gyokuro leaves
Yame tea	6.7.6.1.18.6	Yame tea
Yame tea	6.7.6.1.19.1	Yame tea
Yame tea	6.7.6.1.20.1	Yame tea
Yame tea infusion	6.7.6.1.16.7	Yame tea infusion
Yame tea leaves	6.7.6.1.8.1	Yame tea leaves
yamel	9.4.2.2.19.4	yamel
Yampi	1.3.1.4.1.13	Yampi
yampi	1.3.1.4.1.30	yampi
yampí	1.3.6.5.1.9	yampi
yampí	1.3.6.5.18.5	yampi
Yams	3.6.3.3.1.10	Yams
Yams	3.6.4.3.1.11	Yams
Yams	3.6.4.4.1.11	Yams
Yams	3.8.1.4.1.7	Yams
Yams	3.8.4.1.1.9	Yams
Yams	3.8.5.2.1.9	Yams
Yams	3.8.5.3.1.9	Yams
yams	2.1.1.4.2.29	yams
yams	3.7.4.1.1.13	yams
yams	3.7.4.1.2.9	yams
yams	3.7.4.3.1.15	yams
yams	3.7.4.3.2.12	yams
Yan'an sour jujube kernel	6.1.4.4.19.2	Yan'an sour jujube kernel
yanagi octopus	6.7.2.3.6.17	yanagi octopus
yanagimushigarei	6.7.2.3.6.11	yanagimushigarei
yanang extract	7.1.3.3.18.5	yanang extract
yanang juice	7.1.3.3.16.7	yanang juice
yanang juice	7.1.5.1.16.2	yanang juice
yanang juice	7.1.5.4.16.2	yanang juice
yanang leaf extract	7.1.5.4.18.6	yanang leaf extract
yanang leaves	7.1.3.3.18.4	yanang leaves
yanang leaves	7.1.3.3.19.4	yanang leaves
yanang leaves	7.1.3.3.7.8	yanang leaves
yanang leaves	7.1.5.1.2.20	yanang leaves
yanang leaves	7.1.5.1.7.11	yanang leaves
yanang leaves	7.1.5.3.7.12	yanang leaves
yanang leaves	7.1.5.4.2.8	yanang leaves
yanang leaves	7.1.5.4.7.9	yanang leaves
Yanbian apple pear	6.1.3.4.18.6	Yanbian apple pear
Yanbian apple pear	6.1.3.4.3.1	Yanbian apple pear
Yanbian cold noodles	6.1.3.4.18.1	Yanbian cold noodles
Yanbian rice	6.1.3.4.1.1	Yanbian rice
Yanbian rice	6.1.3.4.18.9	Yanbian rice
Yanbian yellow cattle	6.1.3.2.18.13	Yanbian yellow cattle
Yanbian yellow cattle	6.1.3.4.18.7	Yanbian yellow cattle
Yanbian yellow cattle beef	6.1.3.2.6.1	Yanbian yellow cattle beef
Yanbian yellow cattle beef	6.1.3.4.6.1	Yanbian yellow cattle beef
Yanchang pear	6.1.4.4.3.9	Yanchang pear
Yanchang red onion	6.1.4.4.18.14	Yanchang red onion
Yanchang red onion	6.1.4.4.2.15	Yanchang red onion
Yanchang red onion	6.1.4.4.9.2	Yanchang red onion
Yanchuan doghead jujube	6.1.4.4.14.2	Yanchuan doghead jujube
Yanchuan doghead jujube	6.1.4.4.18.7	Yanchuan doghead jujube
Yanchuan doghead jujube	6.1.4.4.3.2	Yanchuan doghead jujube
Yandang Maofeng tea	6.2.1.2.20.5	Yandang Maofeng tea
Yandang Maofeng tea leaves	6.2.1.2.24.2	Yandang Maofeng tea leaves
Yangcheng Lake hairy crab	6.2.1.1.18.10	Yangcheng Lake hairy crab
Yangcheng Lake hairy crab	6.2.1.1.6.9	Yangcheng Lake hairy crab
Yangchun spring amomum	6.3.1.4.18.4	Yangchun spring amomum
Yanggu dried radish greens	6.6.2.5.18.3	Yanggu dried radish greens
Yanggu gomchwi	6.6.2.5.18.4	Yanggu gomchwi
Yanghe Daqu	6.2.1.3.20.7	Yanghe Daqu
Yangjiang douchi	6.3.1.4.13.4	Yangjiang douchi
Yangjiang douchi	6.3.1.4.14.1	Yangjiang douchi
Yangjiang ginger douchi	6.3.1.4.13.5	Yangjiang ginger douchi
Yangjiang ginger douchi	6.3.1.4.14.2	Yangjiang ginger douchi
Yangjiang yellow-maned goose	6.3.1.4.6.6	Yangjiang yellow-maned goose
Yangju strawberries	6.6.2.1.3.18	Yangju strawberries
yangko	7.3.2.3.18.12	yangko
Yanglin citrus	6.2.3.3.3.6	Yanglin citrus
Yangpu ancient sea salt	6.3.5.3.18.4	Yangpu ancient sea salt
Yangpu sea salt	6.3.5.3.21.1	Yangpu sea salt
Yangshuo kumquat	6.3.2.1.18.4	Yangshuo kumquat
Yangshuo kumquat	6.3.2.1.3.3	Yangshuo kumquat
Yangxi red-yolk duck egg	6.3.1.4.6.8	Yangxi red-yolk duck egg
Yangxi salted red-yolk duck egg	6.3.1.4.14.12	Yangxi salted red-yolk duck egg
Yangyang pine mushrooms	6.6.2.5.18.7	Yangyang pine mushrooms
Yangyang salmon	6.6.2.5.18.8	Yangyang salmon
Yanjing well salt	6.4.5.2.21.3	Yanjing well salt
Yanling yellow peaches	6.2.3.3.18.7	Yanling yellow peaches
Yanling yellow peaches	6.2.3.3.3.1	Yanling yellow peaches
Yanm blan	1.4.5.1.1.10	Yanm blan
Yanm blan	1.4.5.2.1.11	Yanm blan
Yanm blan	1.4.5.3.1.10	Yanm blan
Yanm blan	1.4.5.4.1.10	Yanm blan
Yanm jon	1.4.5.4.1.11	Yanm jon
Yanm jòn	1.4.5.1.1.11	Yellow yam
Yanm jòn	1.4.5.2.1.12	Yellow yam
Yanm jòn	1.4.5.3.1.11	Yellow yam
yanny cake	1.3.7.3.18.5	yanny cake
Yanshou rice	6.1.3.3.1.5	Yanshou rice
Yanshou rice	6.1.3.3.18.5	Yanshou rice
Yantai apple	6.1.2.1.18.12	Yantai apple
Yantai apple	6.1.2.1.3.1	Yantai apple
Yantai cherry	6.1.2.1.18.13	Yantai cherry
Yantai cherry	6.1.2.1.3.3	Yantai cherry
Yantai green tea	6.1.2.1.18.18	Yantai green tea
Yantai green tea	6.1.2.1.19.5	Yantai green tea
Yantai green tea	6.1.2.1.20.4	Yantai green tea
Yantai menzi	6.1.2.1.18.5	Yantai menzi
yantak honey	8.1.5.4.15.3	yantak honey
yantak honey	8.1.5.4.18.7	yantak honey
yantak honey	8.1.5.4.19.4	yantak honey
yanyanku	3.4.5.3.13.4	yanyanku
yanyanku	3.4.5.3.18.5	yanyanku
Yao Kou peanuts	6.3.3.2.5.1	Yao Kou peanuts
Yaourt	1.4.7.3.11.6	Yaourt
Yaourt	1.4.9.1.11.6	Yaourt
Yaourt	1.4.9.2.11.6	Yaourt
Yaourt	1.4.9.3.11.6	Yaourt
yaourt	3.4.1.1.11.2	yaourt
Yap lime	9.4.3.1.3.7	Yap lime
Yap lime juice	9.4.3.1.12.3	Yap lime juice
Yap lime wedges	9.4.3.1.17.5	Yap lime wedges
Yapıncak grape	4.1.1.2.3.4	Yapincak grape
Yaqona	9.3.2.1.19.7	Yaqona
Yaqona	9.3.2.2.19.7	Yaqona
Yaqona	9.3.2.3.19.1	Yaqona
Yaqona	9.3.2.4.19.6	Yaqona
Yaqona drink	9.3.2.1.20.1	Yaqona drink
Yaqona drink	9.3.2.2.20.1	Yaqona drink
Yaqona drink	9.3.2.3.20.1	Yaqona drink
Yaqona drink	9.3.2.4.20.1	Yaqona drink
Yaqona powder	9.3.2.1.14.9	Yaqona powder
Yaqona powder	9.3.2.1.18.2	Yaqona powder
Yaqona powder	9.3.2.1.20.2	Yaqona powder
Yaqona powder	9.3.2.2.14.9	Yaqona powder
Yaqona powder	9.3.2.2.18.2	Yaqona powder
Yaqona powder	9.3.2.2.20.2	Yaqona powder
Yaqona powder	9.3.2.3.14.8	Yaqona powder
Yaqona powder	9.3.2.3.18.2	Yaqona powder
Yaqona powder	9.3.2.4.14.8	Yaqona powder
Yaqona powder	9.3.2.4.18.2	Yaqona powder
Yaqona root	9.3.2.1.18.1	Yaqona root
Yaqona root	9.3.2.2.18.1	Yaqona root
Yaqona root	9.3.2.3.18.1	Yaqona root
Yaqona root	9.3.2.4.18.1	Yaqona root
Yard-long bean	9.3.3.1.2.6	Yard-long bean
Yard-long bean	9.3.3.1.4.1	Yard-long bean
Yardlong bean	5.7.1.3.2.19	Yardlong bean
Yardlong bean	9.3.5.2.2.14	Yardlong bean
Yardlong bean	9.3.5.2.4.2	Yardlong bean
Yardlong bean	9.3.5.4.2.11	Yardlong bean
Yardlong bean	9.3.5.4.4.2	Yardlong bean
yardlong bean	6.3.1.2.2.18	yardlong bean
yardlong bean	6.3.1.2.4.7	yardlong bean
yardlong bean	6.3.1.3.2.15	yardlong bean
yardlong bean	6.3.1.4.2.16	yardlong bean
yardlong bean	6.3.1.4.4.8	yardlong bean
yardlong bean	6.3.2.1.4.9	yardlong bean
yardlong bean	6.3.2.3.2.17	yardlong bean
yardlong bean	6.3.2.3.4.10	yardlong bean
yardlong bean	6.3.2.4.2.19	yardlong bean
yardlong bean	6.3.2.4.4.9	yardlong bean
yardlong bean	6.3.3.3.4.10	yardlong bean
yardlong bean	6.3.3.4.4.10	yardlong bean
yardlong bean	6.3.4.1.4.11	yardlong bean
yardlong bean	6.3.4.3.4.11	yardlong bean
yardlong bean	6.3.5.1.2.16	yardlong bean
yardlong bean	6.3.5.1.4.9	yardlong bean
yardlong bean	6.3.5.3.2.13	yardlong bean
yardlong bean	6.3.5.3.4.10	yardlong bean
yardlong bean	6.3.5.4.2.13	yardlong bean
yardlong bean	6.3.5.4.4.10	yardlong bean
yardlong bean	6.4.1.1.2.20	yardlong bean
yardlong bean	6.4.2.3.2.7	yardlong bean
yardlong bean	7.1.1.5.4.4	yardlong bean
Yardlong beans	5.8.1.4.2.3	Yardlong beans
Yardlong beans	5.8.1.5.2.3	Yardlong beans
Yardlong beans	6.5.2.3.2.11	Yardlong beans
yardlong beans	6.2.3.2.2.11	yardlong beans
yardlong beans	6.2.3.3.2.13	yardlong beans
yardlong beans	6.2.3.4.2.18	yardlong beans
yardlong beans	6.2.4.3.2.18	yardlong beans
yardlong beans	6.4.1.2.2.19	yardlong beans
yardlong beans	7.1.2.2.2.7	yardlong beans
yardlong beans	7.1.2.2.4.4	yardlong beans
yardlong beans	7.1.3.1.2.16	yardlong beans
