Aal | 2.5.1.1.6.15
anchoa | 2.2.2.4.6.9
anchoa | 2.2.3.2.6.2
anchoa fresca | 2.2.3.1.6.6
anchoa fresca | 2.2.6.3.6.32
Anchois de Collioure | 2.3.6.3.6.17
anchova | 1.7.2.4.6.4
anchova | 1.7.4.1.6.8
anchova | 1.7.5.2.6.3
Anchoveta | 1.8.3.3.6.1
anchoveta | 1.6.1.2.6.1
anchoveta | 1.6.1.3.6.7
anchoveta salada | 1.6.1.2.6.2
Anchovies | 2.3.1.4.6.25
Anchovies | 2.3.4.2.6.17
Anchovies | 2.3.6.2.6.1
Anchovies | 2.3.6.3.6.16
Anchovies | 3.6.1.1.6.14
Anchovies | 3.6.2.1.6.10
Anchovies | 3.6.2.2.6.9
Anchovies | 4.5.5.1.6.14
Anchovies | 5.8.1.5.6.9
Anchovies | 7.4.1.2.6.16
anchovies | 2.6.2.1.6.23
anchovies | 2.6.2.4.6.8
anchovies | 2.7.1.1.6.10
anchovies | 2.7.1.2.6.15
anchovies | 2.7.1.3.6.17
anchovies | 2.7.1.5.6.20
anchovies | 2.7.2.4.6.11
anchovies | 2.7.2.5.6.12
anchovies | 2.7.3.2.6.18
anchovies | 3.1.1.1.6.3
anchovies | 3.1.1.2.6.2
anchovies | 3.1.2.1.6.2
anchovies | 3.1.2.2.6.8
anchovies | 3.7.1.1.6.13
anchovies | 3.7.6.1.6.20
anchovies | 4.3.1.1.6.6
anchovies | 4.3.1.5.6.6
anchovies | 4.3.4.3.6.2
anchovies | 4.3.5.2.6.10
anchovies | 4.6.4.2.6.14
anchovies | 4.6.4.3.6.3
anchovies | 5.1.3.1.6.2
anchovies | 6.6.2.4.6.20
anchovies | 7.1.4.1.6.7
anchovies | 7.1.4.3.6.1
anchovies | 7.1.8.1.6.17
anchovies | 7.1.8.4.6.2
anchovies | 7.1.9.3.6.6
anchovies | 7.2.1.2.6.20
anchovies | 7.2.1.4.6.16
anchovies | 7.2.2.1.6.27
anchovies | 7.2.2.3.6.10
anchovies | 7.2.4.2.6.16
anchovies | 7.2.4.3.6.15
anchovies | 7.3.1.2.6.18
anchovies | 7.3.1.4.6.5
anchovies | 7.3.2.1.6.9
anchovies | 7.3.2.2.6.16
anchovies | 7.3.2.4.6.18
anchovies | 7.3.2.5.6.16
anchovies | 7.3.3.2.6.7
anchovies | 7.3.4.1.6.14
anchovies | 7.3.5.2.6.18
anchovies | 7.3.5.3.6.11
anchovies | 7.3.5.4.6.5
anchovies | 7.3.6.1.6.7
anchovies | 7.3.6.2.6.9
anchovies | 7.3.6.3.6.9
anchovies | 7.3.7.1.6.7
anchovies | 7.3.7.3.6.1
anchovies of Kalloni | 2.7.2.4.6.10
Anchovy | 3.3.2.2.6.6
Anchovy | 3.3.3.1.6.12
Anchovy | 3.5.3.3.6.8
Anchovy | 5.4.3.2.6.8
Anchovy | 5.6.1.1.6.3
Anchovy | 5.6.1.2.6.7
Anchovy | 5.6.1.3.6.3
Anchovy | 5.6.2.1.6.7
Anchovy | 5.6.2.2.6.5
Anchovy | 5.6.2.5.6.15
Anchovy | 5.6.3.1.6.3
Anchovy | 7.5.1.1.6.2
Anchovy | 7.5.2.3.6.8
Anchovy | 9.1.2.2.6.18
anchovy | 3.4.4.1.6.1
anchovy | 3.4.4.4.6.11
anchovy | 3.4.6.1.6.10
anchovy | 3.7.2.3.6.9
anchovy | 4.1.2.1.6.9
anchovy | 6.6.2.3.6.11
Andak | 4.5.3.2.6.13
Andaq | 4.5.5.1.6.11
andarica | 2.2.2.3.6.35
Andouillette | 2.3.2.2.6.5
Andouillette | 2.3.5.2.6.12
androlla | 2.2.2.2.6.7
ànec | 2.2.5.4.6.16
ànec | 2.2.6.1.6.3
ànec | 2.2.6.2.6.3
ànec | 2.2.6.4.6.1
ànec salvatge | 2.2.6.4.6.2
Anfu ham | 6.2.4.3.6.9
Angasi oyster | 9.1.6.1.6.2
anglerfish | 6.7.2.1.6.21
anguía | 2.2.2.1.6.32
anguía | 2.2.2.2.6.24
anguila | 1.2.3.3.6.15
anguila | 1.3.1.2.6.38
anguila | 2.2.6.2.6.7
anguila | 2.2.7.1.6.10
anguila de l'Albufera | 2.2.6.1.6.5
anguila del Delta de l'Ebre | 2.2.6.4.6.7
anguila del Mar Menor | 2.2.6.3.6.18
anguilla | 2.4.1.1.6.22
anguilla | 2.4.1.3.6.20
anguilla | 2.4.2.2.6.19
anguilla | 2.4.7.4.6.22
anguilla del Trasimeno | 2.4.3.2.6.16
anguilla delle Valli di Comacchio | 2.4.2.4.6.4
anguilla di Orbetello | 2.4.3.1.6.20
anguille | 2.4.1.2.6.37
angula | 2.2.2.1.6.31
angula | 2.2.6.4.6.8
Angus beef | 2.3.9.2.6.1
Angus beef | 2.9.1.3.6.2
Angus beef | 9.1.4.3.6.2
animelle | 2.4.4.1.6.12
Ankara Erkeç Pastırması | 4.1.3.1.6.7
Ankara Tiftik keçisi eti | 4.1.3.1.6.6
añojo | 2.2.2.4.6.3
añojo | 2.2.4.1.6.8
añojo de la Sierra de Guadarrama | 2.2.4.3.6.3
Ant eggs | 9.1.1.2.6.25
Ant eggs | 9.1.5.1.6.19
ant eggs | 7.1.2.1.6.22
ant eggs | 7.1.3.3.6.22
ant eggs | 7.1.5.1.6.14
ant eggs | 7.1.5.4.6.12
Antelope | 3.5.3.4.6.17
Antelope | 3.5.4.3.6.14
Ants | 3.5.4.2.6.25
Ants | 3.5.4.4.6.24
anxova de l'Escala | 2.2.5.2.6.3
anxova fresca | 2.2.5.1.6.10
anxova fresca | 2.2.6.2.6.16
Anyell de llet de Menorca | 2.2.8.2.6.27
Aomori scallops | 6.7.2.1.6.1
Aomori Shamrock chicken | 6.7.2.1.6.35
Apalachicola oysters | 1.1.3.6.6.1
Apalachicola oysters | 1.1.5.5.6.1
Appenzeller Mostbröckli | 2.5.4.1.6.9
Appenzeller Mostbröckli IGP | 2.5.4.1.6.46
Appenzeller Pantli | 2.5.4.1.6.8
Appenzeller Pantli IGP | 2.5.4.1.6.44
Appenzeller Siedwurst | 2.5.4.1.6.7
Appenzeller Siedwurst IGP | 2.5.4.1.6.45
Apretadores | 1.3.4.5.6.11
Aquacultured oysters | 1.1.5.4.6.8
aragosta | 2.4.7.4.6.19
aragosta di Alghero | 2.4.7.1.6.12
arahuana | 1.6.3.1.6.9
Aral asp | 8.1.3.4.6.16
Aral barbel | 8.1.3.5.6.13
Aral bream | 8.1.3.4.6.12
Aran sale | 1.4.5.1.6.11
Aran sale | 1.4.5.2.6.12
Aran sale | 1.4.5.3.6.12
Aran sale | 1.4.5.4.6.13
Aran wouj | 1.4.5.1.6.10
Aran wouj | 1.4.5.2.6.13
Aran wouj | 1.4.5.3.6.13
Aran wouj | 1.4.5.4.6.14
aratu | 1.7.2.3.6.15
aratu | 1.7.3.1.6.12
aratu | 1.7.3.2.6.11
Arbas goat meat | 6.1.4.3.6.8
Arcachon-Cap-Ferret oysters | 2.3.4.1.6.15
Archerfish | 9.1.4.3.6.14
Arctic char | 1.1.13.1.6.8
Arctic char | 1.1.13.6.6.1
Arctic char | 1.1.14.1.6.13
Arctic char | 1.1.14.2.6.13
Arctic char | 1.1.14.3.6.15
Arctic char | 1.1.7.4.6.16
Arctic char | 2.9.2.1.6.9
Arctic char | 2.9.2.3.6.13
Arctic char | 2.9.2.4.6.20
Arctic char | 2.9.3.2.6.11
Arctic char | 2.9.3.3.6.12
Arctic char | 2.9.4.1.6.14
Arctic char | 2.9.4.4.6.9
Arctic char | 2.9.5.1.6.16
Arctic char | 2.9.5.2.6.20
Arctic char | 2.9.5.3.6.9
Arctic char | 2.9.7.1.6.13
arctic char | 1.1.13.5.6.1
Arctic fulmar | 2.9.5.4.6.19
Arctic grayling | 1.1.13.5.6.5
Ardèche dry ham | 2.3.5.3.6.7
arengada | 2.2.5.3.6.13
Arenque ahumado | 1.4.3.2.6.8
Areolate grouper | 3.2.1.5.6.21
Ari | 5.5.5.1.6.12
aribi | 1.7.3.1.6.10
Ark shell | 9.3.1.3.6.14
Ark shell | 9.3.2.4.6.6
ark shell | 9.4.5.1.6.23
ark shell | 9.5.2.3.6.19
Arktischer Saibling | 2.5.4.1.6.20
Arktischer Saibling | 2.5.4.4.6.18
Armadillo | 1.3.1.3.6.14
armadillo | 1.2.7.1.6.9
Armado | 1.8.6.3.6.20
Arnaki Elassonas | 2.7.1.4.6.1
Arrachera | 1.2.2.9.6.5
arrachera | 1.2.1.2.6.5
Arrayao | 1.4.2.4.6.2
Arrollado de huaso | 1.8.4.3.6.13
arselle | 2.4.7.4.6.8
aruanã | 1.7.1.1.6.9
aruanã preta | 1.7.1.1.6.10
Asado de tira | 1.8.1.2.6.1
asari | 6.7.1.3.6.28
asari clams | 6.7.1.2.6.12
asari clams | 6.7.2.3.6.24
asari clams | 6.7.3.1.6.11
asari clams | 6.7.5.3.6.6
asari clams | 6.7.6.3.6.9
ashiaka ebi | 6.7.4.1.6.17
Asian bonytongue | 7.1.6.2.6.12
Asian djirri catfish | 4.4.2.2.6.13
Asian sea bass | 6.5.2.3.6.9
Asiatic catfish | 7.4.4.2.6.9
Asp | 2.5.6.1.6.44
Asp | 2.5.6.2.6.53
Asp | 2.5.6.3.6.39
asp | 2.8.3.3.6.23
asp | 2.8.7.1.6.17
asp | 8.1.1.5.6.13
asp | 8.1.3.5.6.16
asp | 8.1.4.2.6.15
asp | 8.1.5.4.6.14
atherina of Lake Trichonida | 2.7.1.3.6.24
Atka mackerel | 6.6.1.2.6.11
Atlantic cod | 1.1.1.1.6.15
Atlantic cod | 1.1.1.3.6.6
Atlantic cod | 1.1.1.4.6.21
Atlantic cod | 1.1.14.3.6.1
Atlantic cod | 2.9.1.1.6.10
Atlantic cod | 2.9.1.3.6.6
Atlantic cod | 2.9.1.4.6.5
Atlantic cod | 2.9.2.1.6.19
Atlantic cod | 2.9.2.2.6.11
Atlantic cod | 2.9.2.3.6.15
Atlantic cod | 2.9.2.4.6.10
Atlantic cod | 2.9.5.1.6.6
Atlantic cod | 2.9.5.3.6.5
Atlantic cod | 2.9.5.4.6.6
Atlantic croaker | 1.1.2.2.6.9
Atlantic croaker | 1.1.2.4.6.19
Atlantic croaker | 1.1.3.3.6.17
Atlantic croaker | 1.1.5.5.6.21
Atlantic halibut | 1.1.14.3.6.6
Atlantic halibut | 2.9.2.4.6.14
Atlantic halibut | 2.9.5.1.6.11
Atlantic halibut | 2.9.5.3.6.6
Atlantic halibut | 2.9.5.4.6.10
Atlantic herring | 1.1.14.3.6.11
Atlantic herring | 2.9.1.1.6.8
Atlantic herring | 2.9.1.3.6.8
Atlantic herring | 2.9.2.1.6.17
Atlantic herring | 2.9.2.2.6.10
Atlantic herring | 2.9.2.3.6.16
Atlantic herring | 2.9.2.4.6.17
Atlantic herring | 2.9.5.1.6.13
Atlantic herring | 2.9.7.1.6.10
Atlantic herring | 2.9.7.2.6.8
Atlantic horse mackerel | 3.4.2.1.6.4
Atlantic horse mackerel | 3.4.3.1.6.4
Atlantic horse mackerel | 3.4.4.1.6.6
Atlantic mackerel | 1.1.1.1.6.24
Atlantic mackerel | 1.1.14.1.6.21
Atlantic mackerel | 1.1.14.3.6.10
Atlantic mackerel | 2.9.1.1.6.9
Atlantic mackerel | 2.9.1.3.6.9
Atlantic mackerel | 2.9.1.4.6.7
Atlantic mackerel | 2.9.2.1.6.18
Atlantic mackerel | 2.9.2.3.6.17
Atlantic mackerel | 2.9.5.1.6.14
Atlantic mackerel | 3.4.6.1.6.7
Atlantic mackerel | 4.3.4.3.6.5
Atlantic salmon | 1.1.14.1.6.17
Atlantic salmon | 1.1.14.2.6.17
Atlantic salmon | 1.1.14.3.6.14
Atlantic salmon | 1.1.14.4.6.6
Atlantic salmon | 1.1.14.5.6.7
Atlantic salmon | 2.9.2.1.6.16
Atlantic salmon | 2.9.2.2.6.8
Atlantic salmon | 2.9.2.3.6.10
Atlantic salmon | 2.9.2.4.6.18
Atlantic salmon | 2.9.3.3.6.16
Atlantic salmon | 2.9.5.1.6.15
Atlantic salmon | 2.9.5.4.6.12
Atlantic salmon | 2.9.6.1.6.6
Atlantic salmon | 2.9.7.1.6.12
Atlantic salmon | 2.9.7.2.6.17
Atlantic salmon | 9.1.6.1.6.6
Atlantic salmon | 9.1.6.2.6.6
Atlantic tomcod | 1.1.14.1.6.16
Atlantic tomcod | 1.1.14.2.6.16
Atlantic wolffish | 2.9.5.1.6.10
Atlantic wolffish | 2.9.5.4.6.9
Atlas trout | 3.1.1.3.6.9
atum | 2.2.1.5.6.19
Atún | 1.4.1.2.6.13
Atún | 1.4.1.4.6.12
Atún | 1.4.2.4.6.7
Atún | 1.4.2.5.6.17
atún | 1.2.5.5.6.20
atún | 1.2.6.1.6.16
atún | 1.2.6.3.6.21
atún | 1.3.6.1.6.33
atún | 1.3.7.1.6.20
atún | 2.2.2.1.6.52
atún | 2.2.6.3.6.26
atún | 2.2.7.2.6.2
atún | 2.2.7.3.6.30
atún | 2.2.7.4.6.22
atún aleta amarilla | 1.2.4.1.6.2
atún aleta amarilla | 1.2.4.3.6.6
atún aleta amarilla | 1.2.4.4.6.1
atún aleta azul | 1.2.1.1.6.1
atún negro | 1.3.6.2.6.37
atún rojo | 2.2.3.2.6.5
atún rojo de almadraba | 2.2.7.2.6.1
Auchenoglanis | 3.4.7.2.6.10
Auk eggs | 2.9.5.2.6.25
Austern | 2.5.1.1.6.3
Australian salmon | 9.1.2.1.6.31
Australian salmon | 9.1.2.2.6.8
Australian salmon | 9.1.3.3.6.15
Australian salmon | 9.1.6.3.6.12
Australian sardine | 9.1.2.2.6.17
autumn salmon | 6.7.1.2.6.5
Awaji beef | 6.7.4.3.6.14
Awaji Island milk | 6.7.4.3.6.17
aweoweo | 1.1.12.5.6.8
axis deer venison | 1.1.12.3.6.7
aynalı sazan | 4.1.1.2.6.34
Ayre | 5.5.3.4.6.6
ayu | 6.7.2.2.6.16
ayu | 6.7.3.2.6.13
ayu | 6.7.4.4.6.9
ayu | 6.7.5.2.6.19
ayu | 6.7.6.3.6.18
babagarei | 6.7.1.1.6.19
Babic de Buzău | 2.8.4.2.6.27
baby bluefish | 2.8.5.4.6.6
baby clams | 7.1.8.2.6.16
baby clams | 7.1.8.4.6.9
baby crab | 7.1.6.5.6.4
baby octopus | 6.3.3.2.6.13
Baby shrimp | 5.8.1.1.6.4
Bacalao | 1.4.2.1.6.9
Bacalao | 1.4.2.3.6.8
bacalao | 1.3.6.3.6.22
bacalao | 2.2.3.1.6.4
bacalao | 2.2.3.2.6.1
bacalao | 2.2.3.4.6.14
bacalao | 2.2.4.1.6.26
Bacalao de profundidad | 1.8.5.4.6.10
bacalao desalado | 2.2.4.2.6.23
bacalao desalado | 2.2.4.3.6.27
bacalao en salazón | 2.2.4.2.6.22
bacalao en salazón | 2.2.4.3.6.26
Bacalao salado | 1.4.2.2.6.13
Bacalao salado | 1.4.2.4.6.15
Bacalao salado | 1.4.2.5.6.7
Bacalao salado | 1.4.3.1.6.10
Bacalao salado | 1.4.3.2.6.7
Bacalao salado | 1.4.3.3.6.8
Bacalao salado | 1.4.3.4.6.7
Bacalao salado | 1.5.3.5.6.8
bacalao salado | 1.3.6.3.6.5
bacalao salado | 1.3.7.1.6.28
bacalao salado | 1.3.7.3.6.6
bacalao salado | 2.2.6.3.6.29
bacalao salado | 2.2.7.1.6.18
bacalao salado | 2.2.7.3.6.29
bacalao salado | 2.2.7.4.6.25
bacalhau | 2.2.1.1.6.22
bacalhau | 2.2.1.3.6.27
bacalhau | 2.2.1.4.6.45
bacalhau | 2.2.1.5.6.26
bacalhau dessalgado | 1.7.4.4.6.9
bacallà | 2.2.6.2.6.14
bacallà dessalat | 2.2.5.3.6.12
bacallà salat | 2.2.5.1.6.25
bacallà salat | 2.2.5.2.6.27
bacallà salat | 2.2.5.3.6.11
bacallà salat | 2.2.5.4.6.19
bacallà salat | 2.2.6.1.6.18
bacallà salat | 2.2.6.4.6.29
bacallau | 2.2.2.2.6.26
baccalà | 2.4.1.2.6.9
baccalà | 2.4.2.1.6.17
baccalà | 2.4.5.3.6.10
baccalà | 2.4.6.2.6.10
baccalà dissalato | 2.4.4.1.6.15
Baccha | 5.5.1.2.6.12
Bachforelle | 2.5.2.2.6.19
Bachforelle | 2.5.2.4.6.20
Bachforelle | 2.5.3.2.6.5
Bachforelle | 2.5.3.3.6.14
Bachforelle | 2.5.3.4.6.14
Bachforelle | 2.5.4.1.6.17
Bachforelle | 2.5.4.4.6.15
Bachsaibling | 2.5.2.1.6.18
baço bovino | 1.7.3.1.6.18
Bacon | 1.1.13.6.6.15
Bacon | 1.1.14.6.6.17
Bacon | 1.1.3.7.6.6
