0ya	3.8.5.3.2.8
yak butter	6.4.5.3.11.11
yak butter	6.4.5.3.13.1
yak butter	6.4.5.4.10.1
yak butter	6.4.5.4.13.1
yak butter	8.1.4.4.10.1
yak butter	8.1.4.4.18.8
Yak churpi	5.7.3.3.11.5
yak dung fuel	6.4.5.1.24.3
yak dung fuel	6.4.5.3.24.3
yak dung fuel	6.4.5.4.24.3
Yak fat	5.7.3.3.10.4
yak jerky	6.4.1.4.14.2
yak liver	6.4.1.4.6.6
yak liver	6.4.5.1.6.5
yak liver	6.4.5.3.6.5
Yak meat	5.3.1.3.6.4
Yak meat	5.5.5.5.6.4
Yak meat	5.7.1.4.6.1
Yak meat	5.7.2.1.6.2
Yak meat	5.7.2.2.6.6
Yak meat	5.7.2.3.6.5
Yak meat	5.7.3.1.6.1
Yak meat	5.7.3.2.6.1
Yak meat	5.7.3.3.6.1
Yak meat	5.7.3.4.6.1
Yak meat	6.8.1.3.6.4
Yak meat	6.8.1.4.6.5
yak meat	5.2.3.4.6.8
yak meat	6.4.1.4.6.1
yak meat	6.4.5.1.6.2
yak meat	6.4.5.2.6.1
yak meat	6.4.5.3.6.1
yak meat	6.4.5.4.6.2
yak meat	8.1.2.3.18.9
yak meat	8.1.2.3.6.4
yak meat	8.1.4.4.6.1
Yak milk	5.3.1.3.11.1
Yak milk	5.3.1.3.16.5
Yak milk	5.5.5.5.11.2
Yak milk	5.7.1.4.11.1
Yak milk	5.7.1.4.16.2
Yak milk	5.7.2.1.11.10
Yak milk	5.7.2.2.11.8
Yak milk	5.7.2.3.11.7
Yak milk	5.7.3.2.11.2
Yak milk	5.7.3.3.11.1
Yak milk	5.7.3.3.16.3
Yak milk	5.7.3.3.20.10
Yak milk	5.7.3.4.11.1
Yak milk	5.7.3.4.20.9
Yak milk	6.8.1.3.11.1
Yak milk	6.8.1.3.16.3
Yak milk	6.8.1.3.20.5
Yak milk	6.8.1.4.11.2
yak milk	5.2.3.4.11.3
yak milk	6.4.1.4.11.1
yak milk	6.4.5.1.11.1
yak milk	6.4.5.1.20.8
yak milk	6.4.5.2.11.1
yak milk	6.4.5.3.11.1
yak milk	6.4.5.3.20.8
yak milk	6.4.5.4.11.1
yak milk	8.1.2.3.11.4
yak milk	8.1.4.4.11.2
yak offal	6.4.5.1.6.4
yak offal	6.4.5.2.6.3
yak offal	6.4.5.3.6.4
yak offal	6.4.5.4.6.4
yak ribs	6.4.1.4.6.4
yak ribs	6.4.5.1.6.3
yak ribs	6.4.5.2.6.2
yak ribs	6.4.5.3.6.3
yak ribs	6.4.5.4.6.3
Yak skin pouch	5.7.3.3.23.4
yak tallow	6.4.1.4.10.3
yak tripe	6.4.1.4.18.10
yak tripe	6.4.1.4.6.5
yak yogurt	6.4.1.4.11.3
yak yogurt	6.4.5.1.11.5
yak yogurt	6.4.5.2.11.5
yak yogurt	6.4.5.3.11.3
yakeyake	3.4.4.4.18.3
Yakhni	5.3.5.1.16.5
yakiboshi sardines	6.7.2.1.14.6
yakiboshi sardines	6.7.2.1.8.18
Yakou selenium-rich rice	6.3.1.1.1.2
yakougai	6.7.7.3.18.6
yakougai	6.7.7.3.6.28
Yakumo fukujinzuke	6.7.1.1.14.19
Yalka starch	9.1.5.3.22.4
Yalka tubers	9.1.5.3.1.1
Yalka tubers	9.1.5.3.2.1
Yalka tubers	9.1.5.3.9.2
Yalova aronia	4.1.1.3.18.15
Yalova aronia	4.1.1.3.3.18
Yalova chestnut honey	4.1.1.3.15.1
Yalova chestnut honey	4.1.1.3.18.19
Yalova kiwi	4.1.1.3.18.14
Yalova kiwi	4.1.1.3.3.17
Yam	1.3.1.4.1.12
Yam	1.3.4.4.1.8
Yam	1.4.6.1.1.12
Yam	1.4.6.2.1.15
Yam	1.4.6.3.1.12
Yam	1.4.6.4.1.12
Yam	1.4.7.1.1.10
Yam	1.4.7.2.1.13
Yam	1.4.7.4.1.13
Yam	1.4.8.1.1.9
Yam	1.4.8.2.1.8
Yam	3.2.2.3.1.11
Yam	3.2.3.2.1.14
Yam	3.3.1.5.1.11
Yam	3.5.1.3.1.15
Yam	3.5.2.1.1.8
Yam	3.5.2.2.1.13
Yam	3.5.2.3.1.12
Yam	3.5.3.1.1.15
Yam	3.5.3.2.1.16
Yam	3.5.3.3.1.16
Yam	3.5.3.4.1.16
Yam	3.5.4.1.1.21
Yam	3.5.4.5.1.14
Yam	3.5.4.6.1.18
Yam	3.5.5.1.1.17
Yam	3.5.5.2.1.18
Yam	3.5.5.3.1.20
Yam	3.8.1.2.1.11
Yam	5.4.1.3.2.18
Yam	5.4.5.2.2.17
Yam	5.5.5.3.1.14
Yam	5.5.5.3.2.12
Yam	5.5.5.4.1.13
Yam	5.5.5.5.1.15
Yam	5.5.5.5.2.20
Yam	5.5.5.6.1.13
Yam	5.7.1.1.1.12
Yam	5.7.1.2.1.14
Yam	5.7.1.3.1.13
Yam	5.7.2.3.1.18
Yam	6.5.3.2.1.11
Yam	6.5.3.3.1.6
Yam	7.5.1.4.1.6
Yam	9.1.1.5.1.2
Yam	9.1.4.4.1.3
Yam	9.3.2.1.1.7
Yam	9.3.2.2.1.7
Yam	9.3.2.3.1.6
Yam	9.3.2.4.1.9
Yam	9.3.3.1.1.2
Yam	9.3.3.2.1.2
Yam	9.3.3.3.1.2
Yam	9.3.4.1.1.5
Yam	9.3.4.3.1.6
Yam	9.3.5.1.1.1
Yam	9.3.5.2.1.1
Yam	9.3.5.3.1.1
Yam	9.3.5.4.1.1
yam	1.1.12.1.1.9
yam	1.1.12.2.1.9
yam	1.1.12.3.1.12
yam	1.1.12.4.1.10
yam	1.3.2.1.1.24
yam	1.3.2.3.1.32
yam	3.4.1.1.1.13
yam	3.4.1.3.1.12
yam	3.4.2.1.1.18
yam	3.4.2.4.1.11
yam	3.4.3.1.1.13
yam	3.4.3.2.1.14
yam	3.4.3.3.1.13
yam	3.4.3.4.1.14
yam	3.4.4.1.1.15
yam	3.4.4.2.1.8
yam	3.4.4.3.1.13
yam	3.4.4.4.1.14
yam	3.4.5.1.1.13
yam	3.4.5.2.1.13
yam	3.4.5.3.1.13
yam	3.4.5.4.1.13
yam	3.4.6.1.1.14
yam	3.4.6.2.1.1
yam	3.4.6.3.1.9
yam	3.4.6.4.1.1
yam	3.4.6.5.1.17
yam	3.4.6.6.1.18
yam	3.4.7.2.1.15
yam	3.4.7.3.1.16
yam	3.7.6.2.1.12
yam	6.4.2.1.1.16
yam	6.4.2.3.1.15
yam	6.6.2.3.1.11
yam	7.1.1.5.1.14
yam	7.1.5.4.1.11
yam	7.2.1.1.1.19
yam	7.2.1.2.1.15
yam	7.2.1.2.2.9
yam	7.2.3.1.1.13
yam	7.2.3.2.1.13
yam	7.2.4.1.1.16
yam	7.3.7.2.1.9
yam	9.4.2.1.1.7
yam	9.4.2.2.1.17
yam	9.4.3.1.1.4
yam	9.4.3.2.1.8
yam	9.4.3.3.1.7
yam	9.4.3.4.1.14
yam	9.5.1.1.1.6
yam	9.5.1.2.1.4
yam	9.5.2.1.1.2
yam	9.5.2.2.1.2
yam	9.5.2.3.1.2
yam	9.5.5.1.1.8
yam	9.5.5.2.1.10
yam	9.5.6.1.1.13
yam	9.5.6.3.1.3
yam	9.5.6.4.1.11
Yam Africa	9.3.4.2.1.6
yam bean	7.1.5.4.1.12
yam bean	9.4.2.2.1.18
yam bean	9.4.2.2.18.7
Yam daisy tubers	9.1.3.1.1.7
yam flour	3.4.6.1.1.16
yam flour	9.5.1.2.1.13
yam flour	9.5.1.2.14.10
yam flour	9.5.1.2.18.11
yam flour	9.5.1.2.22.4
Yam Maro	9.3.4.2.1.7
yam punch, yam punch, ponche de ñame	1.3.6.3.20.15
yam soda, yam soda, refresco de ñame	1.3.6.3.20.19
yam stems	7.2.4.1.2.15
Yam Wailu	9.3.4.2.1.8
Yam, Yam, Ñame	1.4.1.1.1.4
Yam, Yam, Ñame	1.4.1.3.1.5
Yam, Yam, Ñame	1.4.1.4.1.6
Yam, Yam, Ñame	1.4.2.1.1.5
Yam, Yam, Ñame	1.4.2.2.1.6
Yam, Yam, Ñame	1.4.2.3.1.6
Yam, Yam, Ñame	1.4.2.4.1.6
Yam, Yam, Ñame	1.4.2.5.1.7
Yam, Yam, Ñame	1.4.3.1.1.4
Yam, Yam, Ñame	1.4.3.2.1.5
Yam, Yam, Ñame	1.4.3.3.1.5
Yam, Yam, Ñame	1.4.3.4.1.5
Yam, Yam, Ñame	1.5.2.1.1.11
Yam, Yam, Ñame	1.5.2.2.1.11
Yam, Yam, Ñame	1.5.2.3.1.10
Yam, Yam, Ñame	1.5.3.1.1.13
Yam, Yam, Ñame	1.5.3.4.1.14
Yam, Yam, Ñame	1.5.3.5.1.14
yam, yam, ñame	1.2.7.2.1.7
yam, yam, ñame	1.3.1.2.18.11
yam, yam, ñame	1.3.1.4.1.29
yam, yam, ñame	1.3.4.2.1.34
yam, yam, ñame	1.3.4.4.1.23
yam, yam, ñame	1.3.6.3.1.15
yam, yam, ñame	1.3.6.5.1.7
yam, yam, ñame	1.3.7.1.1.11
yam, yam, ñame	1.3.7.2.1.11
yam, yam, ñame	1.3.7.4.1.5
yama wasabi	6.7.1.2.19.7
yama wasabi	6.7.1.2.7.2
yama wasabi	6.7.1.2.9.8
yama wasabi paste	6.7.1.2.13.4
yama-gobo	6.7.1.1.18.11
yama-gobo	6.7.1.1.2.27
yamabudo wine	6.7.2.1.20.9
yamabudō, yamabudō, yamabudō	6.7.1.3.12.2
yamabudō, yamabudō, yamabudō	6.7.1.3.3.5
Yamada Nishiki rice	6.7.4.3.1.2
Yamada Nishiki rice	6.7.6.1.1.9
Yamada Nishiki rice grains	6.7.4.3.5.1
Yamagata beef	6.7.2.2.6.2
Yamagata Beniou cherries	6.7.2.2.18.5
Yamagata Beniou cherries	6.7.2.2.3.6
Yamagata La France pears	6.7.2.2.18.4
Yamagata sake	6.7.2.2.20.2
Yamagata seina	6.7.2.2.18.12
Yamagata seina	6.7.2.2.2.28
Yamagata seina leaves	6.7.2.2.7.5
Yamagata wine	6.7.2.2.20.4
yamaimo	6.7.5.2.1.14
yamaimo	6.7.5.2.22.6
Yamakawa daikon	6.7.6.4.2.4
yamame	6.7.1.1.6.6
yamame	6.7.2.2.6.17
yamame	6.7.3.2.6.16
yamame	6.7.6.3.6.19
Yamanashi sake	6.7.5.2.20.2
Yamanashi wine	6.7.5.2.20.5
yamanoimo	6.7.4.2.1.8
yamanoimo	6.7.4.2.2.15
Yamasachi grapes	6.7.1.2.18.6
Yamasachi grapes	6.7.1.2.3.13
Yamasachi wine	6.7.1.2.20.3
Yamashiona	6.7.6.1.2.14
Yamato buckwheat	6.7.2.2.1.14
Yamato mana	6.7.4.4.18.1
Yamato mana	6.7.4.4.2.1
Yamato tea	6.7.4.4.19.5
Yamato tea	6.7.4.4.20.1
Yamato tea infusion	6.7.4.4.16.4
Yamato tea leaves	6.7.4.4.8.3
yamatoimo	6.7.3.2.1.16
yamatoimo	6.7.3.2.18.15
yamatoimo	6.7.3.2.19.2
yamatoimo	6.7.3.2.22.8
Yamauchi carrots	6.7.2.1.2.19
yamazuke salmon	6.7.1.2.14.2
Yame dento hon gyokuro	6.7.6.1.18.7
Yame dento hon gyokuro	6.7.6.1.19.2
Yame dento hon gyokuro	6.7.6.1.20.2
Yame dento hon gyokuro leaves	6.7.6.1.8.2
Yame tea	6.7.6.1.18.6
Yame tea	6.7.6.1.19.1
Yame tea	6.7.6.1.20.1
Yame tea infusion	6.7.6.1.16.7
Yame tea leaves	6.7.6.1.8.1
yamel	9.4.2.2.19.4
Yampi	1.3.1.4.1.13
yampi	1.3.1.4.1.30
yampi, yampi, yampí	1.3.6.5.1.9
yampi, yampi, yampí	1.3.6.5.18.5
Yams	3.6.3.3.1.10
Yams	3.6.4.3.1.11
Yams	3.6.4.4.1.11
Yams	3.8.1.4.1.7
Yams	3.8.4.1.1.9
Yams	3.8.5.2.1.9
Yams	3.8.5.3.1.9
yams	2.1.1.4.2.29
yams	3.7.4.1.1.13
yams	3.7.4.1.2.9
yams	3.7.4.3.1.15
yams	3.7.4.3.2.12
Yan'an sour jujube kernel	6.1.4.4.19.2
yanagi octopus	6.7.2.3.6.17
yanagimushigarei	6.7.2.3.6.11
yanang extract	7.1.3.3.18.5
yanang juice	7.1.3.3.16.7
yanang juice	7.1.5.1.16.2
yanang juice	7.1.5.4.16.2
yanang leaf extract	7.1.5.4.18.6
yanang leaves	7.1.3.3.18.4
yanang leaves	7.1.3.3.19.4
yanang leaves	7.1.3.3.7.8
yanang leaves	7.1.5.1.2.20
yanang leaves	7.1.5.1.7.11
yanang leaves	7.1.5.3.7.12
yanang leaves	7.1.5.4.2.8
yanang leaves	7.1.5.4.7.9
Yanbian apple pear	6.1.3.4.18.6
Yanbian apple pear	6.1.3.4.3.1
Yanbian cold noodles	6.1.3.4.18.1
Yanbian rice	6.1.3.4.1.1
Yanbian rice	6.1.3.4.18.9
Yanbian yellow cattle	6.1.3.2.18.13
Yanbian yellow cattle	6.1.3.4.18.7
Yanbian yellow cattle beef	6.1.3.2.6.1
Yanbian yellow cattle beef	6.1.3.4.6.1
Yanchang pear	6.1.4.4.3.9
Yanchang red onion	6.1.4.4.18.14
Yanchang red onion	6.1.4.4.2.15
Yanchang red onion	6.1.4.4.9.2
Yanchuan doghead jujube	6.1.4.4.14.2
Yanchuan doghead jujube	6.1.4.4.18.7
Yanchuan doghead jujube	6.1.4.4.3.2
Yandang Maofeng tea	6.2.1.2.20.5
Yandang Maofeng tea leaves	6.2.1.2.24.2
Yangcheng Lake hairy crab	6.2.1.1.18.10
Yangcheng Lake hairy crab	6.2.1.1.6.9
Yangchun spring amomum	6.3.1.4.18.4
Yanggu dried radish greens	6.6.2.5.18.3
Yanggu gomchwi	6.6.2.5.18.4
Yanghe Daqu	6.2.1.3.20.7
Yangjiang douchi	6.3.1.4.13.4
Yangjiang douchi	6.3.1.4.14.1
Yangjiang ginger douchi	6.3.1.4.13.5
Yangjiang ginger douchi	6.3.1.4.14.2
Yangjiang yellow-maned goose	6.3.1.4.6.6
Yangju strawberries	6.6.2.1.3.18
yangko	7.3.2.3.18.12
Yanglin citrus	6.2.3.3.3.6
Yangpu ancient sea salt	6.3.5.3.18.4
Yangpu sea salt	6.3.5.3.21.1
Yangshuo kumquat	6.3.2.1.18.4
Yangshuo kumquat	6.3.2.1.3.3
Yangxi red-yolk duck egg	6.3.1.4.6.8
Yangxi salted red-yolk duck egg	6.3.1.4.14.12
Yangyang pine mushrooms	6.6.2.5.18.7
Yangyang salmon	6.6.2.5.18.8
Yaniqueque dough, Yaniqueque dough, Masa de yaniqueque	1.4.3.2.18.6
Yaniqueque dough, Yaniqueque dough, Masa de yaniqueque	1.4.3.4.18.3
Yanjing well salt	6.4.5.2.21.3
Yanling yellow peaches	6.2.3.3.18.7
Yanling yellow peaches	6.2.3.3.3.1
Yanm blan	1.4.5.1.1.10
Yanm blan	1.4.5.2.1.11
Yanm blan	1.4.5.3.1.10
Yanm blan	1.4.5.4.1.10
Yanm jon	1.4.5.4.1.11
yanny cake	1.3.7.3.18.5
Yanshou rice	6.1.3.3.1.5
Yanshou rice	6.1.3.3.18.5
Yantai apple	6.1.2.1.18.12
Yantai apple	6.1.2.1.3.1
Yantai cherry	6.1.2.1.18.13
Yantai cherry	6.1.2.1.3.3
Yantai green tea	6.1.2.1.18.18
Yantai green tea	6.1.2.1.19.5
Yantai green tea	6.1.2.1.20.4
Yantai menzi	6.1.2.1.18.5
yantak honey	8.1.5.4.15.3
yantak honey	8.1.5.4.18.7
yantak honey	8.1.5.4.19.4
yanyanku	3.4.5.3.13.4
yanyanku	3.4.5.3.18.5
Yao Kou peanuts	6.3.3.2.5.1
Yaourt	1.4.7.3.11.6
Yaourt	1.4.9.1.11.6
Yaourt	1.4.9.2.11.6
Yaourt	1.4.9.3.11.6
yaourt	3.4.1.1.11.2
Yap lime	9.4.3.1.3.7
Yap lime juice	9.4.3.1.12.3
Yap lime wedges	9.4.3.1.17.5
Yapincak grape, Yapincak grape, Yapıncak grape	4.1.1.2.3.4
Yaqona	9.3.2.1.19.7
Yaqona	9.3.2.2.19.7
Yaqona	9.3.2.3.19.1
Yaqona	9.3.2.4.19.6
Yaqona drink	9.3.2.1.20.1
Yaqona drink	9.3.2.2.20.1
Yaqona drink	9.3.2.3.20.1
Yaqona drink	9.3.2.4.20.1
Yaqona powder	9.3.2.1.14.9
Yaqona powder	9.3.2.1.18.2
Yaqona powder	9.3.2.1.20.2
Yaqona powder	9.3.2.2.14.9
Yaqona powder	9.3.2.2.18.2
Yaqona powder	9.3.2.2.20.2
Yaqona powder	9.3.2.3.14.8
Yaqona powder	9.3.2.3.18.2
Yaqona powder	9.3.2.4.14.8
Yaqona powder	9.3.2.4.18.2
Yaqona root	9.3.2.1.18.1
Yaqona root	9.3.2.2.18.1
Yaqona root	9.3.2.3.18.1
Yaqona root	9.3.2.4.18.1
Yard-long bean	9.3.3.1.2.6
Yard-long bean	9.3.3.1.4.1
Yardlong bean	5.7.1.3.2.19
Yardlong bean	9.3.5.2.2.14
Yardlong bean	9.3.5.2.4.2
Yardlong bean	9.3.5.4.2.11
Yardlong bean	9.3.5.4.4.2
yardlong bean	6.3.1.2.2.18
yardlong bean	6.3.1.2.4.7
yardlong bean	6.3.1.3.2.15
yardlong bean	6.3.1.4.2.16
yardlong bean	6.3.1.4.4.8
yardlong bean	6.3.2.1.4.9
yardlong bean	6.3.2.3.2.17
yardlong bean	6.3.2.3.4.10
yardlong bean	6.3.2.4.2.19
yardlong bean	6.3.2.4.4.9
yardlong bean	6.3.3.3.4.10
yardlong bean	6.3.3.4.4.10
yardlong bean	6.3.4.1.4.11
yardlong bean	6.3.4.3.4.11
yardlong bean	6.3.5.1.2.16
yardlong bean	6.3.5.1.4.9
yardlong bean	6.3.5.3.2.13
yardlong bean	6.3.5.3.4.10
yardlong bean	6.3.5.4.2.13
yardlong bean	6.3.5.4.4.10
yardlong bean	6.4.1.1.2.20
yardlong bean	6.4.2.3.2.7
yardlong bean	7.1.1.5.4.4
Yardlong beans	5.8.1.4.2.3
Yardlong beans	5.8.1.5.2.3
Yardlong beans	6.5.2.3.2.11
yardlong beans	6.2.3.2.2.11
yardlong beans	6.2.3.3.2.13
yardlong beans	6.2.3.4.2.18
yardlong beans	6.2.4.3.2.18
yardlong beans	6.4.1.2.2.19
yardlong beans	7.1.2.2.2.7
yardlong beans	7.1.2.2.4.4
yardlong beans	7.1.3.1.2.16
yardlong beans	7.1.3.1.4.8
yardlong beans	7.1.3.3.17.11
yardlong beans	7.1.3.3.2.2
yardlong beans	7.1.3.3.4.4
yardlong beans	7.1.4.1.2.12
yardlong beans	7.1.4.1.4.6
yardlong beans	7.1.4.2.2.11
yardlong beans	7.1.4.2.4.5
yardlong beans	7.1.5.1.2.12
yardlong beans	7.1.5.1.4.5
yardlong beans	7.1.5.2.2.9
yardlong beans	7.1.5.2.4.5
yardlong beans	7.1.5.3.2.14
yardlong beans	7.1.5.3.4.5
yardlong beans	7.1.6.1.2.26
yardlong beans	7.1.6.1.4.6
yardlong beans	7.1.6.2.2.7
yardlong beans	7.1.6.2.4.5
yardlong beans	7.1.6.3.2.8
yardlong beans	7.1.6.3.4.5
yardlong beans	7.1.6.4.2.7
yardlong beans	7.1.6.4.4.5
yardlong beans	7.1.6.5.4.5
yardlong beans	7.2.4.1.2.10
yardlong beans	7.3.2.1.2.4
yardlong beans	7.3.2.3.2.5
yardlong beans	7.3.2.4.2.9
yardlong beans	7.3.3.3.2.3
yardlong beans	7.3.4.3.2.5
yardlong beans	7.3.5.1.2.10
yardlong beans	7.3.5.2.2.13
yardlong beans	7.3.5.4.2.6
yardlong beans	7.3.6.1.2.2
yardlong beans	7.3.6.2.2.2
yardlong beans	7.3.6.3.2.8
yardlong beans	9.4.1.1.2.3
yardlong beans	9.4.1.1.4.3
yardlong beans	9.4.1.2.2.4
yardlong beans	9.4.1.2.4.3
yardlong beans	9.4.1.3.2.4
yardlong beans	9.4.1.3.4.5
yardlong beans	9.4.2.2.4.2
yardlong beans	9.4.3.1.2.2
yardlong beans	9.4.3.1.4.2
Yare	1.5.3.5.13.2
Yare	1.5.3.5.16.6
Yareta	1.8.3.1.19.10
yariika	6.7.1.1.6.2
yariika	6.7.2.1.6.15
Yarlington Mill apples	2.1.1.4.3.3
yarma	4.1.3.1.1.7
yarma	4.1.3.2.1.6
yarma	4.1.3.3.1.7
yarma	4.1.4.2.1.10
yarma	4.1.5.3.1.5
Yaroa	1.4.3.1.18.3
Yarrow	1.1.3.1.19.6
Yarrow	2.9.1.1.19.1
Yarrow	2.9.1.1.7.17
Yarrow	2.9.2.1.19.4
Yarrow	2.9.2.1.7.8
Yarrow	2.9.2.3.19.3
Yarrow	2.9.2.3.7.8
Yarrow	2.9.3.2.19.2
Yarrow	2.9.3.2.7.7
Yarrow	2.9.4.2.19.3
Yarrow	2.9.5.2.19.3
Yarrow	2.9.5.2.7.7
yarrow	1.1.10.1.19.3
yarrow	1.1.10.2.19.4
yarrow	1.1.11.1.19.3
yarrow	1.1.11.2.19.3
yarrow	1.1.11.3.19.3
yarrow	1.1.11.4.19.6
yarrow	1.1.11.5.19.7
yarrow	1.1.7.5.19.9
yarrow	2.6.1.1.19.5
yarrow	2.6.1.1.7.11
yarrow	2.6.1.1.8.11
yarrow	2.6.6.2.19.2
yarrow	2.6.6.2.7.6
yarrow	2.6.6.3.19.2
yarrow	2.6.6.3.7.5
yarrow	4.1.1.2.19.7
yarrow	4.1.1.3.19.9
yarrow	4.2.1.1.19.8
yarrow	4.6.1.3.19.12
yarrow	8.1.1.1.19.4
yarrow	8.1.1.1.7.5
yarrow	8.1.2.1.7.8
yarrow	8.1.2.2.19.6
yarrow	8.1.2.2.7.4
yarrow	8.1.2.3.19.7
yarrow	8.1.2.3.7.4
yarrow	8.1.4.4.19.2
yarrow	8.1.4.4.7.5
yarrow	8.1.5.1.19.3
yarrow	8.1.5.1.7.3
yarrow	8.1.5.2.19.3
yarrow	8.1.5.2.7.3
Yarrow leaves	2.9.2.1.17.4
Yarrow leaves	2.9.2.3.17.5
Yarrow, Yarrow, Achillea	4.3.5.4.19.3
Yarsagumba	5.7.1.4.19.4
Yasgua	1.8.1.3.13.1
Yasireng cassava	9.4.2.2.1.11
yassa marinade	3.4.1.1.13.10
yassa onion marinade	3.4.1.4.13.9
yassa onion sauce	3.4.1.3.13.7
Yatabe negi	6.7.5.1.2.30
Yatabe negi	6.7.5.1.9.2
Yatay	1.8.1.5.3.20
Yate sap	9.1.1.4.15.10
Yate sap	9.1.1.4.18.4
Yate sap syrup	9.1.1.4.16.8
Yates apples	1.1.4.3.3.10
yatsugashira taro	6.7.4.4.1.8
Yauco Coffee, Yauco Coffee, Café de Yauco	1.4.2.4.18.2
Yauco Coffee, Yauco Coffee, Café de Yauco	1.4.2.4.20.3
yaupon leaves	1.1.5.5.18.7
yaupon leaves	1.1.5.5.19.3
yaupon leaves	1.1.8.2.18.9
yaupon leaves	1.1.8.3.18.6
yaupon leaves	1.1.8.3.19.3
yaupon leaves	1.1.8.5.18.7
yaupon leaves	1.1.8.5.19.2
yaupon leaves	1.1.8.6.19.10
yaupon tea	1.1.5.5.20.2
yaupon tea	1.1.8.2.20.3
yaupon tea	1.1.8.3.20.3
yaupon tea	1.1.8.5.20.4
yaupon tea	1.1.8.6.20.3
Yautia	1.3.5.3.1.8
Yautía coconut leaves, Yautía coconut leaves, Hojas de yautía coco	1.4.3.4.18.4
Yautía coconut leaves, Yautía coconut leaves, Hojas de yautía coco	1.4.3.4.7.7
Yautía, Yautía, Yautía	1.2.3.5.2.35
Yautía, Yautía, Yautía	1.2.3.6.2.35
Yautía, Yautía, Yautía	1.4.2.1.1.3
Yautía, Yautía, Yautía	1.4.3.1.1.3
Yayoihime strawberries	6.7.3.2.12.2
Yayoihime strawberries	6.7.3.2.18.7
Yayoihime strawberries	6.7.3.2.3.1
Yazdi coffee	4.6.2.2.20.3
Ybbstal Forelle	2.5.3.2.18.5
Ybbstal Forelle	2.5.3.2.6.4
