1.4.9 French Caribbean	2.2.1.3.24.25
fagiolo cannellino	2.4.5.3.4.9
Fagiolo cenerino	2.4.3.3.4.6
Fagiolo Cuneo Barbarossa	2.4.1.1.4.8
Fagiolo Cuneo Bingo	2.4.1.1.4.6
Fagiolo Cuneo Millenium	2.4.1.1.4.10
Fagiolo Cuneo Rossano	2.4.1.1.4.7
Fagiolo Cuneo Solista	2.4.1.1.4.9
Fagiolo Cuneo Spagna Bianco	2.4.1.1.4.4
Fagiolo Cuneo Stregonta	2.4.1.1.4.5
Fagiolo Cuneo Vedetta	2.4.1.1.4.2
Fagiolo dal Voglut	2.4.2.2.4.3
Fagiolo Laurons	2.4.2.2.4.2
Fagiolo poverello bianco	2.4.5.4.4.2
Fagiolo risillo	2.4.5.1.4.7
fagiolo toscanello	2.4.3.1.4.5
fagiolo verdolino	2.4.4.2.4.7
Fagiolo zampognaro	2.4.5.1.4.4
Fagiolo Zolfino	2.4.3.1.4.1
Faham	3.8.3.1.19.10
Faham	3.8.3.2.19.5
Faham	3.8.3.3.19.2
Fahsa	4.5.4.1.18.2
Fainá, Fainá, Fainá	1.8.2.1.18.8
faine from Sassari, faine from Sassari, fainè sassarese	2.4.7.1.1.17
faine from Sassari, faine from Sassari, fainè sassarese	2.4.7.1.18.7
faint, faint, cà xỉu	7.1.9.3.18.13
Fair Maid of Devon apples	2.1.1.4.3.6
fair pastry, fair pastry, pastel de feira	1.7.6.4.18.9
fairy grass drink	6.3.4.2.20.6
fairy grass infusion	6.3.4.2.16.10
Faisselle	2.3.5.2.11.6
fakou powder	3.4.7.4.18.7
fakous	4.3.4.2.18.4
fakous	4.3.4.2.2.5
fakous	4.3.4.3.2.4
fakous	4.3.4.4.18.9
fakous	4.3.4.4.2.4
fakoye powder	3.4.7.2.18.1
Fal oysters	2.1.1.4.18.2
Fal oysters	2.1.1.4.6.17
falafel spice blend	4.6.4.1.8.8
Falaj water	4.5.5.4.16.2
Falerio DOC	2.4.3.3.20.20
Falerno del Massico DOP, Falerno del Massico DOP, Falerno del Massico DOP	2.4.5.1.20.5
fall carlofortina, fall carlofortina, cascà carlofortina	2.4.7.2.1.10
fall carlofortina, fall carlofortina, cascà carlofortina	2.4.7.2.18.3
Fall Tomato, Fall Tomato, Güz Domatesi	4.1.2.3.18.14
Fall Tomato, Fall Tomato, Güz Domatesi	4.1.2.3.2.1
Fall Tomato, Fall Tomato, Güz Domatesi	4.1.2.3.9.4
fall, fall, hā'uke'uke	1.1.12.5.6.16
Fallue	2.3.1.1.18.7
falooda	5.2.1.2.20.3
falooda sev	5.2.1.1.18.5
falooda sev	5.2.1.2.18.4
falsa	5.2.1.1.3.7
falsa	5.2.1.3.3.30
falsa	5.2.1.4.3.11
falsa	5.2.2.1.3.7
falsa	5.2.2.3.3.16
falsa sharbat	5.2.1.1.20.8
falsa sharbat	5.2.1.3.20.4
falsa sharbat base	5.2.1.3.16.9
false date plums	4.6.1.1.18.4
false date plums	4.6.1.1.3.19
false durian	9.4.3.3.3.18
False groundcherry leaves	6.5.3.1.2.11
False groundcherry leaves	6.5.3.1.23.3
False morels	2.9.8.1.2.20
false osman	8.1.4.4.6.8
False thyme	1.3.5.3.7.5
faludeh Kermanshahi base	4.6.3.3.20.3
Falukorv	2.9.3.2.14.1
Falukorv	2.9.3.2.18.5
fan flower	9.4.1.1.19.5
fan flower	9.4.1.2.19.5
fan flower fruit	9.4.3.1.19.6
fan flower fruit	9.4.3.4.19.6
fan flower leaves	9.4.3.1.19.7
fan flower leaves	9.4.3.4.19.7
fan lobster	6.7.6.2.6.31
fan shell, fan shell, concha de abanico	1.6.1.2.6.18
fan shell, fan shell, concha de abanico	1.6.1.3.18.9
fan shell, fan shell, concha de abanico	1.6.1.3.6.10
Fanguito	1.4.1.2.14.7
Fanguito	1.4.1.2.18.8
Fangzheng rice	6.1.3.3.1.3
Fangzheng rice	6.1.3.3.18.3
Fanny Bay oysters	1.1.13.4.18.1
Far from the Eye grapes, Far from the Eye grapes, Loin de l’Œil grapes	2.3.4.3.3.5
Farci provola	2.4.5.4.11.25
Fardh dates	4.5.5.1.3.5
Fardh dates	4.5.6.2.3.4
Fareed	4.5.6.1.18.4
farfahina	4.3.3.1.18.3
Fargh dates	4.5.5.2.3.4
farigola	2.2.5.1.19.2
farigola	2.2.5.1.7.3
farigola	2.2.5.2.19.2
farigola	2.2.5.2.7.3
farigola	2.2.5.3.19.2
farigola	2.2.5.3.7.3
farigola	2.2.5.4.19.2
farigola	2.2.5.4.7.1
farigola	2.2.5.4.9.7
farigola	2.2.6.1.19.4
farigola	2.2.6.1.7.4
farigola	2.2.6.2.19.3
farigola	2.2.6.2.7.4
farigola	2.2.6.4.19.5
farigola	2.2.6.4.7.4
farigola seca	2.2.5.1.8.13
farigola seca	2.2.5.2.8.13
farigola seca	2.2.5.3.8.13
farigola seca	2.2.5.4.8.10
farigola seca	2.2.6.1.8.13
farigola seca	2.2.6.2.8.14
farigola seca	2.2.6.4.8.12
Farin ble	1.4.5.1.1.16
Farin ble	1.4.5.2.1.19
Farin ble	1.4.5.3.1.17
Farin ble	1.4.5.3.22.1
Farin ble	1.4.5.4.1.18
Farina	1.3.1.4.20.4
Farina	1.3.2.3.18.4
farina	1.3.1.4.14.8
farina	1.3.1.4.18.16
farina	3.4.3.3.1.8
farina	3.4.3.3.14.2
farina	3.4.3.4.1.9
farina	3.4.3.4.14.2
farina	3.4.3.4.18.9
farina 00	2.4.1.2.1.4
farina 00	2.4.1.4.1.11
farina 00	2.4.2.1.1.11
farina bean, farina bean, farina bóna	2.5.4.3.1.7
farina bean, farina bean, farina bóna	2.5.4.3.18.1
farina bianca	2.5.4.3.1.11
Farina castagnina corsa	2.3.6.4.1.2
Farina corvina	2.5.4.3.1.21
farina d'orzo	2.4.2.3.1.3
farina d'orzo	2.4.7.1.1.7
farina d'orzo	2.4.7.2.1.6
farina d'orzo	2.4.7.3.1.6
farina semibianca	2.5.4.3.1.12
farina tipo 0	2.4.2.4.1.7
farina tipo 0	2.4.3.1.1.8
farina tipo 0	2.4.3.2.1.5
farina tipo 0	2.4.3.3.1.3
farina tipo 0	2.4.3.4.1.3
farina tipo 0	2.4.4.1.1.3
farina tipo 0	2.4.4.2.1.3
farina tipo 0	2.4.4.3.1.3
farina tipo 0	2.4.5.1.1.4
farina tipo 0	2.4.5.3.1.4
farina tipo 0	2.4.5.4.1.4
farina tipo 0	2.4.6.1.1.4
farina tipo 0	2.4.6.2.1.4
farina tipo 0	2.4.6.3.1.4
farina tipo 0	2.4.7.1.1.4
farina tipo 0	2.4.7.2.1.4
farina tipo 0	2.4.7.3.1.4
farina tipo 0	2.4.7.4.1.4
farina tipo 00	2.4.2.4.1.8
farina tipo 00	2.4.3.1.1.9
farina tipo 00	2.4.3.2.1.6
farina tipo 00	2.4.3.3.1.4
farina tipo 00	2.4.3.4.1.4
farina tipo 00	2.4.4.1.1.4
farina tipo 00	2.4.4.2.1.4
farina tipo 00	2.4.4.3.1.4
farina tipo 00	2.4.5.1.1.5
farina tipo 00	2.4.5.3.1.5
farina tipo 00	2.4.5.4.1.5
farina tipo 00	2.4.6.1.1.5
farina tipo 00	2.4.6.2.1.5
farina tipo 00	2.4.6.3.1.5
farina tipo 00	2.4.7.1.1.5
farina tipo 00	2.4.7.2.1.5
farina tipo 00	2.4.7.3.1.5
farina tipo 00	2.4.7.4.1.5
farina tipo 1	2.4.3.4.1.5
Farine	1.4.6.2.18.15
Farine	1.4.7.2.1.8
Farine	1.4.7.4.1.8
farine bise	2.5.4.2.1.11
farine blanche	2.5.4.2.1.8
farine mi-blanche	2.5.4.2.1.10
farinha amarela	1.7.1.2.1.6
farinha branca	1.7.1.2.1.5
farinha ovinha	1.7.1.1.1.6
farinheira	2.2.1.3.14.7
farinheira	2.2.1.3.6.14
Farinheira de Estremoz and Borba PGI, Farinheira de Estremoz and Borba PGI, farinheira de Estremoz e Borba IGP	2.2.1.4.6.11
Farinheira de Portalegre PGI, Farinheira de Portalegre PGI, farinheira de Portalegre IGP	2.2.1.4.6.12
fariup bark	9.4.2.3.19.13
Farm cheese	2.9.7.1.11.16
farm cheese	2.8.7.5.11.8
Farm chicken	3.5.4.6.6.15
farm hen, farm hen, gallina de chacra	1.6.3.1.6.12
farm ice cream	2.3.8.3.11.8
Farm snails from Haute-Garonne, Farm snails from Haute-Garonne, Escargots fermiers de Haute-Garonne	2.3.4.3.6.16
Farm yogurt	2.3.4.1.11.3
farm yogurt	2.3.8.3.11.7
Farm-raised catfish	1.1.3.5.18.7
farmer cheese	1.1.6.1.11.11
farmer cheese	1.1.6.2.11.11
farmer cheese	1.1.6.3.11.12
farmer cheese	1.1.6.4.11.12
farmer cheese	1.1.6.5.11.11
farmer cheese	1.1.6.6.11.10
farmer cheese	1.1.7.1.11.11
farmer cheese	1.1.7.2.11.11
farmer cheese	1.1.7.4.11.11
farmer cheese	1.1.7.5.11.10
farmer cheese	2.8.3.2.11.8
farmer cheese	2.8.3.3.11.9
farmer cheese	2.8.7.1.11.11
farmer cheese	2.8.7.2.11.7
farmer cheese	2.8.7.3.11.7
Farmer's bread wheat wheat, Farmer's bread wheat wheat, Bondens Brødhvede wheat	2.9.1.3.1.6
farmer's oven	2.6.5.1.24.4
Farmhouse ale	2.9.2.3.20.7
farmhouse bread, farmhouse bread, pan de caserío	2.2.3.2.1.7
farmhouse chicken, farmhouse chicken, pollo de caserío	2.2.3.1.6.3
farmhouse chicken, farmhouse chicken, pollo de caserío	2.2.3.2.6.25
Farmhouse Ossau-Iraty	2.3.4.2.11.4
Farmstead cheese	1.1.1.1.11.8
Farmstead cheese	1.1.1.3.11.8
Farmstead cheese	1.1.1.4.11.5
Farmstead cow's milk cheese	1.1.2.5.11.7
Farmstead cow's milk cheese	1.1.3.6.11.7
faro	2.3.7.2.20.4
Faro DOP	2.4.6.2.20.19
farro	1.1.13.2.1.16
farro	2.4.3.2.1.1
farro	2.4.3.3.1.9
farro	2.4.4.2.1.5
farro	2.4.5.1.1.11
farro	2.4.5.4.1.11
farro	2.4.6.3.1.14
farro in chicchi	2.4.2.3.1.10
farro perlato	2.4.3.1.1.2
farro perlato	2.4.3.2.1.2
Farsan	5.4.2.3.17.4
Fasi rice	6.2.3.1.1.3
Fasi rice	6.2.3.1.18.11
Faskar	4.5.3.2.6.11
Fasola Piękny Jaś z Dolina Dunajca, Fasola Piękny Jaś z Dolina Dunajca, Fasola Piękny Jaś z Doliny Dunajca	2.8.1.3.4.1
fasolari	2.4.2.2.6.21
Fast forward, Fast forward, Anamafaitra	3.8.1.1.2.15
Fast forward, Fast forward, Anamafaitra	3.8.1.1.7.2
fasulye	4.1.3.1.2.11
fasulye	4.1.3.1.4.6
Fat biscuits, Fat biscuits, Bizcochos de grasa	1.8.1.1.18.9
Fat biscuits, Fat biscuits, Bizcochos de grasa	1.8.2.1.18.6
Fat cake, Fat cake, Bizcocho de grasa	1.8.1.2.18.10
Fat Cow	2.1.2.2.11.14
fat legs, fat legs, tītī fat	9.2.1.3.10.1
fat legs, fat legs, tītī fat	9.2.1.3.18.6
Fat of Cotnari, Fat of Cotnari, Grasă de Cotnari	2.8.4.3.20.1
fatace, fatace, fataça	2.2.1.3.6.19
Fatback	1.1.2.1.10.4
fatir	8.1.4.1.1.13
fatir	8.1.4.2.1.11
fatir	8.1.4.3.1.11
fatir dough	8.1.4.1.23.4
fatir dough	8.1.4.2.23.4
fatir dough	8.1.4.3.23.4
Fatoot bread	4.5.1.2.1.10
Fatoot bread	4.5.1.2.23.4
Fattah	4.5.2.3.18.2
Fattat al-dukhn, Fattat al-dukhn, Fattat al-dukhn	4.5.4.2.18.1
Fatty pork	6.5.2.1.6.17
fava	1.7.2.3.4.6
fava	1.7.3.4.4.5
fava	2.2.5.2.4.6
fava	2.2.5.3.4.7
fava	2.2.5.4.4.6
fava	2.2.6.4.4.3
Fava bean	3.2.2.3.4.3
Fava bean	3.2.2.5.4.1
Fava bean	3.2.3.3.4.4
Fava bean	3.2.3.4.4.7
Fava bean	5.7.1.3.4.8
Fava bean pods	5.7.1.3.2.22
fava bean sprouts	6.4.2.1.2.10
fava bean sprouts	6.4.3.1.2.17
fava bean sprouts	6.4.5.2.2.25
fava bean sprouts	6.4.5.3.2.27
Fava beans	1.3.1.1.4.5
Fava beans	2.3.6.2.2.13
Fava beans	2.3.6.2.4.4
Fava beans	2.9.2.1.4.6
Fava beans	2.9.4.2.4.7
Fava beans	2.9.4.4.4.4
Fava beans	3.3.2.1.6.6
Fava beans	4.5.1.1.4.1
Fava beans	4.5.1.2.4.3
Fava beans	4.5.1.3.4.1
Fava beans	4.5.2.1.4.1
Fava beans	4.5.3.2.4.1
Fava beans	4.5.3.3.4.2
Fava beans	4.5.4.1.4.3
Fava beans	4.5.4.3.4.4
Fava beans	4.5.4.4.4.1
Fava beans	4.5.5.1.4.4
Fava beans	4.5.5.2.4.3
Fava beans	4.5.5.4.4.1
Fava beans	4.5.6.1.4.1
Fava beans	4.5.6.2.4.1
Fava beans	4.5.6.3.4.6
fava beans	1.1.10.1.4.3
fava beans	1.1.10.2.4.1
fava beans	1.1.10.3.4.5
fava beans	1.1.10.4.4.1
fava beans	1.1.10.5.4.6
fava beans	1.1.11.1.4.3
fava beans	1.1.11.2.4.1
fava beans	1.1.11.3.4.1
fava beans	1.1.11.4.4.12
fava beans	1.1.11.5.4.1
fava beans	1.1.7.4.4.6
fava beans	1.1.9.4.2.34
fava beans	1.1.9.4.4.9
fava beans	2.7.1.1.4.1
fava beans	2.7.1.2.4.5
fava beans	2.7.2.2.4.2
fava beans	2.7.2.4.4.5
fava beans	3.1.1.2.4.2
fava beans	3.1.1.3.4.1
fava beans	3.1.2.1.4.3
fava beans	3.1.2.2.4.3
fava beans	3.1.2.3.4.3
fava beans	3.1.3.1.4.3
fava beans	3.1.3.2.4.3
fava beans	3.1.4.1.4.3
fava beans	4.3.1.1.4.2
fava beans	4.3.1.2.4.5
fava beans	4.3.1.3.4.5
fava beans	4.3.1.4.4.4
fava beans	4.3.1.5.4.5
fava beans	4.3.2.1.4.5
fava beans	4.3.2.2.4.5
fava beans	4.3.2.3.4.4
fava beans	4.3.2.4.4.5
fava beans	4.3.2.5.4.5
fava beans	4.3.3.1.4.3
fava beans	4.3.3.2.4.3
fava beans	4.3.3.3.4.3
fava beans	4.3.3.4.4.3
fava beans	4.3.4.1.4.2
fava beans	4.3.4.2.4.3
fava beans	4.3.4.3.4.5
fava beans	4.3.4.4.4.3
fava beans	4.3.5.1.4.3
fava beans	4.3.5.2.4.5
fava beans	4.3.5.5.4.5
fava beans	4.4.1.1.4.4
fava beans	4.4.2.1.4.3
fava beans	4.6.1.2.4.3
fava beans	5.1.1.1.4.7
fava beans	5.1.3.2.4.4
fava beans	6.4.2.1.4.4
fava beans	6.4.2.2.4.1
fava beans	6.4.3.1.4.6
fava beans	6.4.3.2.4.5
fava beans	6.4.3.3.4.5
fava beans	6.4.4.2.4.4
fava beans	6.4.4.3.4.7
fava beans	6.4.4.4.4.5
fava beans	6.4.5.2.1.16
fava beans	6.4.5.2.4.2
fava beans	7.2.1.4.4.1
Fava Cottoia from Modica, Fava Cottoia from Modica, Fava Cottoia di Modica	2.4.6.2.18.16
Fava Cottoia from Modica, Fava Cottoia from Modica, Fava Cottoia di Modica	2.4.6.2.4.1
Fava di Fratte Rosa, Fava di Fratte Rosa, Fava di Fratte Rosa	2.4.3.3.18.4
Fava di Fratte Rosa, Fava di Fratte Rosa, Fava di Fratte Rosa	2.4.3.3.4.2
fava greens	1.1.10.2.2.24
fava puree	2.7.2.1.13.1
fava puree	2.7.2.2.13.3
fava puree	2.7.2.4.13.4
Fava Santorinis	2.7.2.1.18.1
Fava Santorinis	2.7.2.1.4.1
fava seca	2.2.5.1.4.7
fava seca	2.2.5.3.4.8
fava seca	2.2.5.4.4.7
fava seca	2.2.6.1.4.4
fava seca	2.2.6.2.4.6
fava shoots	1.1.13.4.2.25
fava shoots	1.1.13.4.7.5
fava tendra	2.2.6.1.4.3
fava tendra	2.2.6.2.2.23
fava tendra	2.2.6.4.4.4
fava-d'anta	1.7.2.1.19.5
favas	2.2.1.1.4.7
favas	2.2.1.4.2.10
favas secas	2.2.1.4.4.5
fave	2.4.1.3.2.6
fave	2.4.1.3.4.1
fave	2.5.4.3.4.8
fave fresche	2.4.3.1.2.19
fave fresche	2.4.3.4.4.8
fave fresche	2.4.4.1.2.5
fave fresche	2.4.4.2.2.13
fave fresche	2.4.4.3.4.9
fave fresche	2.4.6.2.4.4
fave fresche	2.4.6.3.4.3
fave fresche	2.4.7.1.4.2
fave fresche	2.4.7.2.4.1
fave fresche	2.4.7.3.4.1
fave fresche	2.4.7.4.4.1
fave secche	2.4.1.3.4.2
fave secche	2.4.2.3.4.8
fave secche	2.4.3.1.4.9
fave secche	2.4.3.2.4.11
fave secche	2.4.3.3.4.13
fave secche	2.4.3.4.4.9
fave secche	2.4.4.1.4.6
fave secche	2.4.4.2.4.12
fave secche	2.4.4.3.4.10
fave secche	2.4.5.1.4.13
fave secche	2.4.5.3.4.16
fave secche	2.4.5.4.4.10
fave secche	2.4.6.1.4.5
fave secche	2.4.6.2.4.5
fave secche	2.4.6.3.4.4
fave secche	2.4.7.1.4.1
fave secche	2.4.7.2.4.2
fave secche	2.4.7.3.4.2
fave secche	2.4.7.4.4.2
faveleira	1.7.2.1.19.8
Faves of Menorca, Faves of Menorca, Faves de Menorca	2.2.8.2.4.2
Favorino tomatoes	2.9.4.3.2.6
Favorino tomatoes from Närpes, Favorino tomatoes from Närpes, Favorino tomatoes from Närpes	2.9.4.3.18.5
Favorita	2.4.1.1.20.8
Favorite Brede, Favorite Brede, Brède chouchou	3.8.3.1.7.6
Favorite Brede, Favorite Brede, Brède chouchou	3.8.3.2.7.6
Favorite Brede, Favorite Brede, Brède chouchou	3.8.3.3.7.8
fazole	2.5.5.1.4.6
fazole	2.5.5.2.4.6
fazole	2.5.5.3.4.1
fe'i	9.5.3.1.1.6
fe'i	9.5.3.1.18.2
fe'i	9.5.3.1.3.5
fe'i banana	9.5.3.3.1.6
fe'i banana	9.5.3.3.3.5
Feather white, Feather white, Fiederwäissen	2.3.9.1.14.2
Feather white, Feather white, Fiederwäissen	2.3.9.1.18.2
Feather white, Feather white, Fiederwäissen	2.3.9.1.20.12
featherback fish	7.1.3.2.6.6
featherback fish balls	7.1.3.2.18.3
feathered game	2.6.3.2.6.19
featherleaf notoginseng	6.4.2.2.19.3
Fedegoso coffee, Fedegoso coffee, café de fedegoso	1.7.6.3.20.5
fegato caiolato	2.4.6.3.6.17
fegato d'oca grasso	2.4.1.4.6.11
Feggous dates	3.1.2.4.3.7
Feicheng peach	6.1.2.2.18.9
Feicheng peach	6.1.2.2.3.1
Feicheng trichosanthes fruit	6.1.2.2.19.6
feijão gurutuba, feijão gurutuba, feijão gurutuba	1.7.3.4.4.2
Feijoa	1.5.1.1.12.6
Feijoa	1.5.1.1.3.1
Feijoa	1.5.1.3.3.19
Feijoa	1.5.2.4.3.4
Feijoa	1.8.4.1.18.8
Feijoa	1.8.4.1.3.25
feijoa	4.2.3.4.19.7
feijoa	4.2.3.4.3.8
feijoa	9.2.2.1.18.2
feijoa	9.2.2.1.3.7
feijoa	9.2.2.2.3.23
feijoa	9.2.2.3.18.2
feijoa	9.2.2.3.3.9
feijoa	9.2.2.4.3.24
feijoa	9.2.3.3.3.32
feijoa chutney	9.2.2.1.13.5
feijoa chutney	9.2.2.2.13.14
feijoa cider	9.2.2.1.20.9
feijoa jam	4.2.3.4.14.7
feijoa jam	4.2.3.4.18.5
feijoa jam	9.2.2.1.14.3
feijoa juice	4.2.3.4.20.6
Feijoas	9.1.4.1.3.5
feijoca	2.2.1.3.4.5
Feixiang tomato	6.1.4.1.18.9
Feixiang tomato	6.1.4.1.2.5
Feizixiao lychee	6.3.1.1.3.2
Feizixiao lychee	6.3.1.4.3.8
Feizixiao lychee	6.3.5.1.3.3
Felciata	2.4.5.4.11.12
Feldsalat	2.5.2.2.2.22
Feldsalat	2.5.2.4.2.4
Feldsalat von der Insel Reichenau	2.5.2.2.18.10
Feldsalat von der Insel Reichenau	2.5.2.2.2.23
Feldsalate von der Insel Reichenau	2.5.2.2.18.19
felt, felt, pápalo	1.2.2.1.7.3
felt, felt, pápalo	1.2.2.2.7.3
felt, felt, pápalo	1.2.2.4.7.2
felt, felt, pápalo	1.2.5.2.7.7
felt, felt, pápalo	1.2.5.3.7.8
female banana, female banana, Plátano hembra	1.3.1.3.1.18
Fenchelsamen	2.5.3.3.5.9
Fenchelsamen	2.5.3.3.8.11
Fenchelsamen	2.5.4.4.5.5
Fenchelsamen	2.5.4.4.8.5
Fendant	2.5.4.2.20.5
Fendant	2.5.4.4.20.15
Feneou Vanilies beans	2.7.1.2.18.3
Feneou Vanilies beans	2.7.1.2.4.1
Fengcheng blueberry	6.1.3.1.3.5
Fengcheng chestnut	6.1.3.1.18.9
Fengcheng chestnut	6.1.3.1.5.2
Fengcheng Laojiao baijiu	6.1.3.1.20.6
Fengdu beef	6.4.1.2.6.8
Fenggang red pomelo	6.4.3.3.3.4
Fenggang zinc selenium tea	6.4.3.3.20.3
Fenghua peaches	6.2.1.2.3.1
Fengjie navel orange	6.4.1.2.3.1
Fengshan walnut	6.3.2.3.18.9
Fengshan walnut	6.3.2.3.5.1
fengyan black bone chicken	6.4.1.3.6.10
Fenjiu	6.1.4.2.18.15
Fenjiu	6.1.4.2.20.1
Fenland Celery	2.1.1.5.18.1
Fenland Celery	2.1.1.5.2.1
Fenland Celery	2.1.1.5.9.5
Fennel	1.1.1.1.2.20
Fennel	2.2.8.1.19.1
Fennel	2.2.8.1.9.8
Fennel	2.5.4.3.2.39
Fennel	2.9.2.2.8.4
Fennel	2.9.4.1.2.28
Fennel	2.9.4.1.9.6
Fennel	2.9.5.3.2.4
Fennel	2.9.5.3.9.4
Fennel	3.2.2.3.2.20
Fennel	3.6.1.1.8.8
Fennel	4.5.1.2.8.7
Fennel	5.4.1.3.8.8
Fennel	5.8.2.1.8.7
Fennel	5.8.2.2.8.7
Fennel	5.8.2.3.8.7
fennel	1.1.10.1.2.16
fennel	1.1.10.2.2.25
fennel	1.1.11.1.2.16
fennel	1.1.11.2.2.15
fennel	1.1.11.3.2.14
fennel	1.1.12.1.2.42
fennel	1.1.12.2.2.43
fennel	1.1.12.3.2.25
fennel	1.1.12.4.2.25
fennel	1.1.13.1.2.44
fennel	1.1.13.1.9.9
fennel	1.1.14.3.2.16
fennel	1.1.7.2.7.6
fennel	1.1.8.2.7.4
fennel	1.1.8.5.2.14
fennel	1.1.8.6.7.4
fennel	2.1.1.3.9.7
fennel	2.1.1.4.2.21
fennel	2.1.1.4.9.8
fennel	2.3.9.1.2.24
fennel	2.3.9.2.19.3
fennel	2.3.9.2.7.4
fennel	2.7.2.3.7.11
fennel	2.7.2.4.2.22
fennel	2.7.2.4.9.7
fennel	2.7.2.5.2.19
fennel	2.7.2.5.9.7
fennel	3.1.2.2.2.13
fennel	3.1.2.3.2.14
fennel	3.1.2.4.7.6
fennel	3.1.3.1.2.14
fennel	3.7.1.1.2.36
fennel	4.1.5.3.8.11
fennel	4.2.3.5.7.9
fennel	4.2.3.5.9.4
fennel	4.3.1.1.19.3
fennel	4.3.3.2.19.4
fennel	4.6.3.1.8.6
fennel	5.1.3.3.19.3
fennel	5.1.3.3.8.6
fennel	5.2.1.2.19.3
fennel	5.2.1.3.19.6
fennel	5.2.1.4.19.2
fennel	5.2.2.1.19.4
fennel	5.2.2.2.19.4
fennel	5.2.3.3.19.4
fennel	5.2.3.3.8.1
fennel	7.3.1.1.8.14
fennel	7.3.1.4.8.11
fennel	9.2.3.3.2.13
fennel	9.2.3.3.9.4
fennel	9.5.2.1.7.7
fennel blossom	2.1.1.2.5.4
