6.4.4 Xinjiang	2.2.1.3.24.242
Ximenia pulp	3.7.3.2.12.5
Ximenia pulp	3.7.3.3.12.3
Xin'an River mandarin fish	6.2.4.1.6.1
xindian seven star chili	6.4.1.3.2.5
Xinfeng navel orange	6.3.4.3.3.2
Xinfeng radish	6.2.4.3.18.10
Xinfeng radish	6.2.4.3.2.10
Xinfeng radish	6.3.4.3.2.1
Xinfeng red melon seed	6.3.4.3.5.3
Xing'an Jufeng grape	6.3.2.1.3.4
Xing'an Shine Muscat grape	6.3.2.1.3.7
Xing'an Summer Black grape	6.3.2.1.3.6
Xing'an Wink grape	6.3.2.1.3.5
Xingguo gray goose	6.2.4.3.18.8
Xingguo gray goose	6.2.4.3.6.3
Xingguo gray goose	6.3.4.3.18.9
Xingguo gray goose	6.3.4.3.6.8
Xingguo red carp	6.2.4.3.18.9
Xingguo red carp	6.2.4.3.6.11
Xingguo red carp	6.3.4.3.18.10
Xingguo red carp	6.3.4.3.6.9
Xingguo steamed dried sweet potato	6.3.4.3.1.15
Xingguo steamed dried sweet potato	6.3.4.3.14.14
Xingi	5.5.5.1.6.10
Xingkai Lake whitefish	6.1.3.3.18.17
Xingkai Lake whitefish	6.1.3.3.6.4
Xinglong coffee	6.3.5.2.16.7
Xinglong coffee	6.3.5.2.18.8
Xinglong coffee	6.3.5.2.19.5
Xinglong coffee	6.3.5.2.20.1
Xingning pigeon	6.3.4.1.18.11
Xingning pigeon	6.3.4.1.6.11
Xingtang jujube wine	6.1.1.3.20.1
xingwen mountain black bone chicken	6.4.1.3.6.9
xingwen square bamboo shoots	6.4.1.3.18.2
xingwen square bamboo shoots	6.4.1.3.2.17
Xinhuang yellow cattle beef	6.2.3.2.18.16
Xinhuang yellow cattle beef	6.2.3.2.6.20
Xinhui chenpi	6.3.1.1.8.2
Xinhui mandarin	6.3.1.1.3.17
Xinjiang brown cattle beef	6.4.4.2.6.5
Xinjiang brown cattle beef	6.4.4.3.6.6
Xinjiang brown cattle beef	6.4.4.4.6.6
Xinken lotus root	6.3.1.1.1.20
xinohondros	2.7.2.5.1.7
xinohondros	2.7.2.5.14.11
xinohondros	2.7.2.5.18.4
Xinomavro grapes	2.7.1.4.3.17
Xinomavro grapes	2.7.1.5.3.15
xinomyzithra	2.7.2.2.11.7
Xinomyzithra Kritis	2.7.2.5.18.12
xinomyzithra Kritis	2.7.2.5.11.4
Xinos of Menorca, Xinos of Menorca, Xinos de Menorca	2.2.8.2.3.36
xinotyro	2.7.2.1.11.6
xinqiao loquat	6.4.1.3.3.14
Xinshiji mango	6.3.2.3.3.8
Xintai apple	6.1.2.2.3.9
Xintai celery	6.1.2.2.2.7
Xintai grass pig	6.1.2.2.6.2
Xintai red-haired goat	6.1.2.2.6.9
Xintai sweet hawthorn	6.1.2.2.3.11
Xintang fish pouch	6.3.1.2.18.5
Xinyi Chinese asparagus	6.3.1.4.2.22
Xipister	2.3.4.2.13.1
Xipister	2.3.4.2.18.11
Xipister vinegar	2.3.4.2.12.7
Xiq'inche' mushrooms	1.3.1.1.18.5
xique-xique	1.7.2.1.18.1
xique-xique jelly, xique-xique jelly, geleia de xique-xique	1.7.2.1.14.8
xirivia	2.2.6.1.2.19
Xishan tribute rice	6.4.3.1.1.1
Xishan tribute rice	6.4.3.1.18.2
Xishuangbanna banana	6.4.2.3.3.1
Xishuangbanna fighting chicken	6.4.2.3.6.3
Xishuangbanna pineapple	6.4.2.3.3.2
Xishuangbanna small-ear pig	6.4.2.3.18.11
Xishuangbanna small-ear pig	6.4.2.3.6.2
Xishuangbanna tea-flower chicken	6.4.2.3.18.12
Xishuangbanna tea-flower chicken	6.4.2.3.6.1
Xishui hemp goat	6.4.3.3.6.15
Xiuning Songluo tea	6.2.4.1.20.6
Xiuning tea dried tofu	6.2.4.1.11.6
Xiuning tea dried tofu	6.2.4.1.14.3
Xiuning tea dried tofu	6.2.4.1.18.3
Xiuwen kiwifruit	6.4.3.1.18.3
Xiuwen kiwifruit	6.4.3.1.19.2
Xiuwen kiwifruit	6.4.3.1.3.1
Xni'-pek'	1.3.2.4.13.3
xnipec	1.2.6.1.13.8
xnipec	1.2.6.3.13.6
XO sauce	6.3.1.1.13.13
XO sauce	6.5.1.1.13.10
xocoatole	1.2.3.1.20.2
Xoconostle	1.2.2.6.18.4
Xoconostle	1.2.2.6.3.16
Xoconostle	1.2.2.7.3.16
Xoconostle	1.2.2.8.18.6
Xoconostle	1.2.2.8.3.17
Xoconostle	1.2.2.9.3.16
xoconostle	1.2.1.5.12.1
xoconostle	1.2.1.5.3.6
xoconostle	1.2.2.1.12.1
xoconostle	1.2.2.1.3.3
xoconostle	1.2.2.2.12.1
xoconostle	1.2.2.2.18.3
xoconostle	1.2.2.2.3.6
xoconostle	1.2.2.3.12.6
xoconostle	1.2.2.3.3.13
xoconostle	1.2.2.4.12.1
xoconostle	1.2.2.4.3.11
xoconostle	1.2.2.5.12.1
xoconostle	1.2.2.5.3.2
xoconostle	1.2.5.1.12.3
xoconostle	1.2.5.1.3.4
xoconostle in syrup, xoconostle in syrup, xoconostle en almíbar	1.2.2.2.14.7
xoconostle in syrup, xoconostle in syrup, xoconostle en almíbar	1.2.2.5.14.6
xoconostle jam, xoconostle jam, mermelada de xoconostle	1.2.2.5.14.8
xoconostle juice, xoconostle juice, jugo de xoconostle	1.2.1.5.16.5
xolís	2.2.5.4.18.8
xolís	2.2.5.4.6.8
xolís curat	2.2.5.4.14.1
xonequi	1.2.3.2.18.3
xonequi	1.2.3.2.7.5
xooñ, xooñ, xooñ	3.4.1.1.17.8
xooñ, xooñ, xooñ	3.4.1.1.18.6
Xorazm oq novvoti melon	8.1.3.4.3.21
Xoru maas	5.5.5.1.6.15
xouba	2.2.2.1.6.51
xpelon, xpelon, xpelón	1.2.6.1.18.3
xpelon, xpelon, xpelón	1.2.6.2.18.2
xpelon, xpelon, xpelón	1.2.6.2.4.3
xpelon, xpelon, xpelón	1.2.6.3.18.2
xpelon, xpelon, xpelón	1.2.6.3.4.4
xtabentún, xtabentún, xtabentún	1.2.6.1.14.8
xtabentún, xtabentún, xtabentún	1.2.6.1.20.1
xtabentún, xtabentún, xtabentún	1.2.6.3.14.8
xtabentún, xtabentún, xtabentún	1.2.6.3.20.1
Xu changqing root	6.1.2.2.19.8
xuecai	6.2.1.2.14.1
xufa seca	2.2.6.1.5.2
Xukan maas	5.5.5.1.14.6
Xukan maasor chutney	5.5.5.1.13.12
Xukuta thekera	5.5.5.1.14.8
Xunhua line pepper	6.4.5.3.18.4
Xunhua line pepper	6.4.5.3.2.4
Xunhua thin-shell walnut	6.4.5.3.3.11
Xunhua thin-shell walnut	6.4.5.3.5.1
Xunwu tangerine	6.3.4.3.18.4
Xunwu tangerine	6.3.4.3.3.4
Xunwu tangerines	6.2.4.3.3.3
Xushui donkey meat	6.1.1.3.18.1
Xuwen galangal	6.3.1.4.18.3
Xuwen galangal	6.3.1.4.8.1
Xuwen galangal	6.3.1.4.9.5
Xuwen pineapple	6.3.1.4.3.1
Xuyi crayfish	6.2.1.3.18.5
Xuyi crayfish	6.2.1.3.6.6
xuzhou green tea	6.4.1.3.20.8
Xuzhuang chestnut	6.1.2.3.18.17
Xuzhuang chestnut	6.1.2.3.5.1
Xuzhuang millet	6.1.2.3.1.6
Xygalo Siteias	2.7.2.5.11.6
Xygalo Siteias	2.7.2.5.18.14
Xylopia aethiopica	3.5.5.1.8.12
Xylopia parviflora	3.5.1.3.8.13
Xynisteri grapes	2.7.3.2.3.3
Xynisteri wine	2.7.3.2.20.6
xynomyzithra	2.7.2.1.11.5
