1.1.8 Texas / Tex-Mex	1.1.7.5.24.6
table salt, table salt, sal de mesa	1.6.1.1.21.3
table salt, table salt, sal de mesa	1.6.2.1.21.3
table salt, table salt, sal de mesa	1.6.2.2.21.3
table salt, table salt, sal de mesa	1.6.3.3.21.3
table salt, table salt, sal de mesa	1.6.4.1.21.3
table salt, table salt, sal de mesa	1.6.4.2.21.3
table salt, table salt, sal de mesa	1.6.4.3.21.3
table salt, table salt, sal de mesa	1.6.5.1.21.3
table tomato	3.4.1.1.2.2
table tomato	3.4.1.3.2.3
table tomato	3.4.1.3.9.3
table tomato	3.4.1.4.2.3
table tomato	3.4.2.1.2.4
table tomato	3.4.2.1.9.5
table tomato	3.4.2.3.2.4
table tomato	3.4.2.3.9.4
table tomato	3.4.2.4.2.3
table tomato	3.4.2.4.9.4
table tomato	3.4.3.1.2.5
table tomato	3.4.3.1.9.4
table tomato	3.4.3.2.2.5
table tomato	3.4.3.2.9.4
table tomato	3.4.3.3.2.5
table tomato	3.4.3.3.9.4
table tomato	3.4.3.4.2.5
table tomato	3.4.3.4.9.4
table tomato	3.4.4.1.2.5
table tomato	3.4.4.1.9.4
table tomato	3.4.4.2.2.5
table tomato	3.4.4.2.9.5
table tomato	3.4.4.3.2.5
table tomato	3.4.4.3.9.3
table tomato	3.4.4.4.2.5
table tomato	3.4.4.4.9.5
table tomato	3.4.5.1.2.5
table tomato	3.4.5.1.9.4
table tomato	3.4.5.3.2.5
table tomato	3.4.5.3.9.4
table tomato	3.4.5.4.2.3
table tomato	3.4.5.4.9.2
table tomato	3.4.6.1.2.5
table tomato	3.4.6.1.9.5
table tomato	3.4.6.2.2.5
table tomato	3.4.6.2.9.5
table tomato	3.4.6.3.2.5
table tomato	3.4.6.3.9.5
table tomato	3.4.6.4.2.5
table tomato	3.4.6.4.9.5
table tomato	3.4.6.5.2.6
table tomato	3.4.6.5.9.5
table tomato	3.4.6.6.2.6
table tomato	3.4.6.6.9.5
table tomato	3.4.7.1.2.2
table tomato	3.4.7.1.9.3
table tomato	3.4.7.2.2.4
table tomato	3.4.7.2.9.4
table tomato	3.4.7.3.2.4
table tomato	3.4.7.3.9.4
table tomato	3.4.7.4.2.5
table tomato	3.4.7.4.9.4
table tomato	4.1.1.2.2.1
table tomato	4.1.1.2.9.4
table wine, table wine, Vino de mesa	1.8.2.2.16.9
table wine, table wine, Vino de mesa	1.8.2.2.20.4
Tablea	7.4.2.1.18.5
Tablea	7.4.2.3.18.2
Tablea	7.4.3.1.14.11
Tablea	7.4.3.3.20.5
Tablea	7.4.4.1.20.2
tableño chorizo, tableño chorizo, chorizo tableño	1.3.7.2.14.1
tableño chorizo, tableño chorizo, chorizo tableño	1.3.7.2.6.8
taboa	1.7.6.3.2.11
taboa	1.7.6.3.23.5
taboca	1.7.3.1.18.12
taboca	1.7.6.3.2.12
Tabon-tabon	7.4.4.2.12.2
Tabon-tabon	7.4.4.2.19.4
Tabon-tabon	7.4.4.2.3.5
Taboon bread	4.5.1.1.1.15
Taboon bread	4.5.1.1.23.5
taboon bread	4.3.3.2.23.2
taboon bread	4.3.3.3.23.3
taboon bread	4.3.3.4.23.2
taboon bread	4.3.4.1.23.1
taboon bread	4.3.4.2.23.1
taboon bread	4.3.4.3.23.1
taboon bread	4.3.4.4.23.2
taboon bread	4.3.5.1.23.1
taboon bread	4.3.5.2.23.1
taboon bread	4.3.5.3.23.2
taboon bread	4.3.5.5.23.1
Tabora honey	3.6.2.4.18.5
taboun bread	4.3.3.1.23.2
Tabshira dates	4.5.3.2.3.10
tabuleiro	1.7.6.1.23.4
Tacaco	1.3.6.1.1.15
Tacaco	1.3.6.1.2.7
tacaco	1.3.6.1.18.13
tacaco	1.3.6.1.2.35
tacaco	1.3.6.5.2.19
tacaco tierno	1.3.6.1.18.14
tacai	6.2.2.1.2.5
Tacari masala	1.3.2.3.13.6
tacazonte	1.3.1.4.6.20
Tacca fruit	9.1.1.2.3.17
Tacca seeds	9.1.1.2.5.7
Tacheng mature vinegar	6.1.3.1.12.1
Tacheng mature vinegar	6.1.3.1.13.5
Tacheng mature vinegar	6.1.3.1.18.12
tachi giboshi shoots	6.7.1.3.2.4
tachiuo	6.7.6.5.6.26
tacho	1.7.5.1.23.2
tacneña olive, tacneña olive, aceituna tacneña	1.6.1.3.18.6
Taddela leaves	3.1.2.4.19.5
tàdè bourakhè, tàdè bourakhè, tâdè bourakhè	3.4.2.1.13.9
Taean gamtae	6.6.2.4.18.9
taewa	9.2.1.1.1.3
taewa	9.2.1.2.1.8
taewa	9.2.1.3.1.2
taewa	9.5.6.1.1.6
taewa	9.5.6.2.1.5
tafach leaves	9.4.2.3.19.7
Tafel Lager	3.7.2.1.20.2
Tafelbirnen	2.5.1.1.3.4
Tafelessig	2.5.3.1.12.4
Tafelessig	2.5.3.2.12.6
Tafelspitz	2.5.3.1.18.12
Tafelspitz	2.5.3.1.6.1
taferi moh leaves	9.4.2.3.19.10
Taferialte grape	3.1.1.2.18.5
Taferialte grapes	3.1.1.2.3.8
taflan	4.1.4.3.3.10
taflan juice	4.1.4.3.20.6
taflan leaves	4.1.4.3.19.9
taflan marmalade	4.1.4.3.13.9
taflan pickle, taflan pickle, taflan turşusu	4.1.4.3.14.8
Tafraout almonds	3.1.1.4.5.2
taftoon	4.6.2.1.1.10
taftoon	4.6.2.1.23.4
taftoon	4.6.2.2.1.9
taftoon	4.6.2.2.23.3
taftoon	4.6.2.3.1.13
taftoon	4.6.2.3.23.3
taftoon	4.6.5.1.1.9
taftoon	4.6.5.1.23.4
Tagapulot	7.4.1.5.15.5
Tagapulot	7.4.1.5.18.9
tagarnina	2.2.7.1.2.24
tagarnina	2.2.7.2.2.22
Tagbak	7.4.2.2.18.6
Tagbak	7.4.2.2.2.19
Tagbak	7.4.2.2.7.6
tagghiarini	2.4.6.2.1.29
tagine clay pot	3.1.1.1.23.4
tagliatelle	2.7.1.2.1.14
tagliatelle all'uovo	2.4.3.4.1.24
Tagliatelle noodles	2.3.3.1.1.12
taguella	3.1.2.4.18.1
Tahetah	3.3.1.1.20.5
tahi minyak	7.3.6.2.10.6
tahi minyak	7.3.6.3.10.6
tahi minyak	7.3.6.3.18.6
tahin dip	2.7.3.2.13.2
Tahini	3.2.1.1.13.1
Tahini	3.2.1.2.13.1
Tahini	3.2.1.3.13.1
Tahini	3.2.1.4.13.1
Tahini	3.2.1.5.13.1
Tahini	3.2.2.2.13.3
Tahini	3.2.2.4.13.1
Tahini	3.2.2.5.13.3
Tahini	3.2.3.2.13.3
Tahini	4.5.1.1.13.1
Tahini	4.5.1.2.13.2
Tahini	4.5.1.3.13.4
Tahini	4.5.2.1.13.1
Tahini	4.5.2.1.17.2
Tahini	4.5.3.2.13.2
Tahini	4.5.3.3.13.2
Tahini	4.5.5.1.13.5
Tahini	4.5.5.2.13.4
Tahini	4.5.6.1.13.7
tahini	2.7.1.5.13.4
tahini	2.7.1.5.5.6
tahini	2.7.3.1.13.1
tahini	2.7.3.2.13.1
tahini	4.1.1.1.13.5
tahini	4.1.1.3.13.4
tahini	4.1.2.1.13.6
tahini	4.1.2.2.13.4
tahini	4.1.2.3.13.4
tahini	4.1.3.2.13.7
tahini	4.1.3.2.8.13
tahini	4.1.3.3.13.3
tahini	4.1.5.1.13.6
tahini	4.1.5.2.13.7
tahini	4.1.5.4.13.5
tahini	4.3.1.2.13.2
tahini	4.3.1.3.13.1
tahini	4.3.1.4.13.1
tahini	4.3.1.5.13.1
tahini	4.3.2.1.13.1
tahini	4.3.2.2.13.5
tahini	4.3.2.3.13.1
tahini	4.3.2.4.13.4
tahini	4.3.2.5.13.5
tahini	4.3.3.1.13.2
tahini	4.3.3.2.13.1
tahini	4.3.3.3.13.2
tahini	4.3.3.4.13.3
tahini	4.3.4.1.13.7
tahini	4.3.4.2.13.2
tahini	4.3.4.3.13.2
tahini	4.3.4.4.13.1
tahini	4.3.5.1.13.3
tahini	4.3.5.2.13.1
tahini	4.3.5.3.13.1
tahini	4.3.5.4.13.1
tahini	4.3.5.5.13.1
tahini	4.4.1.1.13.2
tahini	4.4.1.2.13.3
tahini	4.4.2.1.13.4
tahini	4.4.2.2.13.3
tahini	4.4.2.3.13.3
tahini	4.4.3.1.13.4
tahini	4.4.3.3.13.2
tahini	4.4.4.3.13.2
Tahini and yogurt sauce	4.5.4.4.13.9
tahini dip	2.7.3.1.13.2
tahini paste	4.3.1.1.13.1
Tahini salad	4.5.2.1.13.2
Tahini sauce	4.5.1.1.13.2
tahini sauce	4.3.4.3.13.3
tahini sauce	4.4.1.1.13.3
tahini sauce	4.4.2.1.13.5
tahini sauce	4.4.2.3.13.4
tahini sauce	4.4.3.3.13.3
tahinu leaves	9.5.3.2.19.4
Tahiti lime	3.5.1.1.3.11
Tahiti lime juice	3.5.1.1.12.1
Tahitian chestnut	9.3.2.2.5.6
Tahitian chestnut	9.3.2.3.5.6
Tahitian chestnut	9.3.2.4.5.5
Tahitian chestnut	9.3.3.3.5.3
Tahitian chestnut	9.4.2.2.5.4
Tahitian chestnut	9.4.3.2.1.13
Tahitian chestnut	9.4.3.2.18.9
Tahitian chestnut	9.4.3.2.5.3
Tahitian chestnut	9.4.3.3.5.7
Tahitian chestnut	9.5.2.3.18.3
Tahitian chestnut	9.5.2.3.3.13
Tahitian chestnut	9.5.2.3.5.3
Tahitian chestnut	9.5.2.4.18.6
Tahitian chestnut	9.5.2.4.5.2
Tahitian gooseberry	9.4.1.2.3.29
Tahitian gooseberry	9.4.1.3.3.28
Tahitian lemon, Tahitian lemon, Limón Tahití	1.3.1.2.12.2
Tahitian lemon, Tahitian lemon, Limón Tahití	1.3.1.2.3.11
Tahitian lime	9.3.4.1.12.1
Tahitian lime	9.3.4.1.3.11
Tahitian lime	9.3.4.2.12.1
Tahitian lime	9.3.4.2.3.11
Tahitian lime	9.3.4.3.12.1
Tahitian lime	9.3.4.3.3.7
Tahitian lime	9.5.3.1.18.6
Tahitian lime	9.5.3.1.3.11
Tahitian lime	9.5.3.1.9.5
Tahitian lime drink	9.3.4.3.20.4
Tahitian lime juice	9.3.4.1.16.4
Tahitian lime juice	9.3.4.2.16.4
Tahitian lime juice	9.3.4.3.12.2
Tahitian lime juice	9.3.4.3.16.4
Tahitian lime juice	9.5.3.1.12.1
Tahitian lime juice	9.5.3.1.16.5
Tahitian lime wedges	9.3.4.1.17.4
Tahitian lime wedges	9.3.4.2.17.3
Tahitian lime wedges	9.3.4.3.17.4
Tahitian vanilla bean	9.5.3.1.18.1
Tahitian vanilla bean	9.5.3.1.8.1
tahpweng pounding board	9.4.3.4.23.3
tahu tek sauce	7.3.2.4.13.8
tai	9.5.5.1.13.1
tai	9.5.5.2.13.1
tai akari	9.5.5.2.13.3
tai angin	7.3.2.5.18.6
tai angin	7.3.2.5.8.21
tai monomono	9.5.5.1.13.4
tai monomono	9.5.5.1.14.3
tai oporo	9.5.5.1.13.5
tai oporo	9.5.5.1.14.4
tai oporo	9.5.5.2.13.4
tai pla	7.1.4.1.13.3
tai pla	7.1.4.1.14.1
tai pla	7.1.4.1.18.1
tai pla	7.1.4.2.14.1
taiá mineirinha, taiá mineirinha, mineirinha de taiá	1.7.5.2.18.9
Taian tofu	6.1.2.2.11.1
Taian yellow-bud cabbage	6.1.2.2.18.11
Taian yellow-bud cabbage	6.1.2.2.2.4
Taibai plum	6.4.3.3.3.3
Taichin rice	5.7.1.2.1.1
Taichin rice	5.7.1.2.18.1
Taif mountain honey	4.5.1.3.15.3
Taif mountain honey	4.5.1.3.18.5
Taif pomegranate molasses	4.5.1.3.18.4
Taif pomegranates	4.5.1.3.3.1
Taif rose honey	4.5.1.3.15.4
Taif rose honey	4.5.1.3.18.6
Taif rose petals	4.5.1.3.17.9
Taif rose petals	4.5.1.3.18.1
Taif rose petals	4.5.1.3.7.6
Taif rose water	4.5.1.3.18.2
Taif rose water	4.5.1.3.19.1
Taifi grapes	4.4.1.2.3.3
Taifi grapes	4.4.4.1.3.3
Taifi grapes	4.5.1.3.3.2
taiga herbal tea	8.2.4.2.20.4
taiga herbal tea	8.2.4.3.20.5
taiga honey	8.2.2.1.15.1
taiga honey	8.2.4.1.15.1
Taihe black-bone chicken	6.2.4.3.18.4
Taihe black-bone chicken	6.2.4.3.19.1
Taihe black-bone chicken	6.2.4.3.6.1
Taihe Chinese toon	6.2.4.2.18.8
Taihe Chinese toon	6.2.4.2.2.1
Taihu citrus	6.2.1.4.3.12
Taihu silverfish	6.2.1.1.18.8
Taihu silverfish	6.2.1.1.6.10
Taihu silverfish	6.2.1.4.18.7
Taihu silverfish	6.2.1.4.6.3
Taihu white shrimp	6.2.1.1.18.9
Taihu white shrimp	6.2.1.1.6.8
Taihu white shrimp	6.2.1.4.18.6
Taihu white shrimp	6.2.1.4.6.2
Taihu whitefish	6.2.1.1.18.7
Taihu whitefish	6.2.1.1.6.11
Taihu whitefish	6.2.1.4.18.5
Taihu whitefish	6.2.1.4.6.1
tail broth, tail broth, brodo di coda	2.4.4.1.16.4
Tail brushing, Tail brushing, Cepillado de colita	1.5.3.4.20.4
tail fat	4.1.1.3.10.9
tail fat	4.1.2.2.10.7
tail fat	4.1.3.1.10.3
tail fat	4.1.5.3.10.6
tail fat	4.2.2.1.10.5
tail fat	4.2.2.3.10.5
tail fat	4.2.3.1.10.3
tail fat	4.2.3.5.10.4
tail fat	4.6.5.1.10.3
tail fat	4.6.5.1.6.7
tail fat	5.1.1.1.10.4
tail fat	5.1.1.3.10.6
tail fat	5.1.2.2.10.4
tail fat	5.1.2.3.10.3
tail onion, tail onion, cebolla de rabo	1.2.7.3.9.2
tail onion, tail onion, cebolla de rabo	1.6.1.1.2.6
tail onion, tail onion, cebolla de rabo	1.6.1.1.9.4
Taile rice	6.1.3.3.1.7
Tailor	9.1.1.4.6.8
Tailor	9.1.2.1.6.20
Tailor	9.1.4.1.6.13
Tailor flour, Tailor flour, Skrädmjöl	2.9.3.2.1.6
Tailor flour, Tailor flour, Skrädmjöl	2.9.3.2.18.1
taimen	8.1.1.4.6.17
taimen	8.2.1.2.6.23
taimen	8.2.2.1.6.5
taimen	8.2.2.2.6.9
taimo	6.7.7.3.1.12
Taimour mangoes	4.5.4.2.3.5
Tain Cheddar	2.1.2.2.11.12
tainha	1.7.1.2.6.12
tainha	1.7.1.4.6.5
tainha	1.7.2.3.6.1
tainha	1.7.4.1.6.1
tainha	1.7.5.1.6.12
tainha	1.7.5.2.6.1
tainha	1.7.5.3.6.14
tainha escalada	1.7.5.2.14.1
tainha escalada	1.7.5.2.18.4
Tainong No. 1 mango	6.3.2.3.3.2
Tainung No. 13 jujube, Tainung No. 13 jujube, Tainung No. 13 jujube	6.5.2.3.3.4
Tainung No. 2 papaya	6.5.2.3.3.11
taioba	1.7.1.1.2.12
taioba	1.7.4.1.2.8
taioba	1.7.4.1.7.5
taioba	1.7.4.2.2.9
taioba	1.7.4.2.7.5
taioba	1.7.4.3.2.7
taioba	1.7.4.3.7.2
taioba	1.7.4.4.2.9
taioba	1.7.4.4.7.4
taioba	1.7.5.2.2.11
taioba	1.7.5.2.7.5
taioro	9.5.3.2.13.1
taioro	9.5.3.2.14.1
Taiping Houkui tea	6.2.4.1.20.2
Taira turnips	6.7.2.1.2.17
tairagi pen shells	6.7.6.3.18.16
tairagi pen shells	6.7.6.3.6.11
Taishan black tea	6.1.2.2.20.2
Taishan chestnut	6.1.2.2.5.1
Taishan codonopsis root	6.1.2.2.19.3
Taishan fleeceflower root	6.1.2.2.19.2
Taishan green tea	6.1.2.2.20.1
Taishan lithospermum root	6.1.2.2.19.4
Taishan polygonatum	6.1.2.2.19.1
Taishan red-scale fish	6.1.2.2.18.12
Taishan red-scale fish	6.1.2.2.6.13
Taishan spring water	6.1.2.2.16.1
Taishan spring water	6.1.2.2.20.6
Taisho kintoki beans	6.7.1.2.4.5
Taishō kintoki beans, Taishō kintoki beans, Taishō kintoki beans	6.7.1.3.4.4
Taita	3.3.2.1.23.2
Taitung longan	6.5.3.3.3.4
Taitung roselle	6.5.2.4.18.5
Taiwan Banana No. 5	6.5.2.3.3.9
