1.1.14 Quebec / Acadian	1.1.13.5.24.6	1.1.14 Quebec / Acadian
Qara Shani grapes	4.2.3.1.3.5	Qara Shani grapes
qarehqorut	4.6.3.1.12.1	qarehqorut
qarehqorut	4.6.3.1.14.3	qarehqorut
qarehqorut	4.6.3.1.18.4	qarehqorut
qarehqorut	4.6.3.2.11.6	qarehqorut
qarehqorut	4.6.3.2.12.1	qarehqorut
qarehqorut	4.6.3.2.14.3	qarehqorut
qarehqorut	4.6.3.2.18.3	qarehqorut
qarehqorut sauce	4.6.3.1.13.3	qarehqorut sauce
qarehqorut sauce	4.6.3.2.13.3	qarehqorut sauce
Qari qiz melon	8.1.3.4.3.17	Qari qiz melon
Qasabiya	4.5.5.3.18.7	Qasabiya
Qaseb Qara fig	4.4.1.1.3.7	Qaseb Qara fig
qatiq	4.2.3.1.11.1	qatiq
qatiq	4.2.3.1.14.5	qatiq
qatiq	4.2.3.2.11.2	qatiq
qatiq	4.2.3.2.14.2	qatiq
qatiq	4.2.3.4.11.1	qatiq
qatiq	4.2.3.4.14.2	qatiq
qatiq	8.1.3.1.11.2	qatiq
qatiq	8.1.3.1.12.1	qatiq
qatiq	8.1.3.1.14.1	qatiq
qatiq	8.1.3.1.16.6	qatiq
qatiq	8.1.3.3.11.2	qatiq
qatiq	8.1.3.3.12.1	qatiq
qatiq	8.1.3.3.14.1	qatiq
qatiq	8.1.3.3.16.6	qatiq
qatiq	8.1.3.4.11.2	qatiq
qatiq	8.1.3.4.12.1	qatiq
qatiq	8.1.3.4.14.1	qatiq
qatiq	8.1.3.5.11.3	qatiq
qatiq	8.1.3.5.12.2	qatiq
qatiq	8.1.3.5.13.5	qatiq
qatiq	8.1.3.5.14.1	qatiq
qatiq	8.1.3.5.16.8	qatiq
qatiq	8.1.4.1.11.3	qatiq
qatiq	8.1.4.1.12.1	qatiq
qatiq	8.1.4.1.14.1	qatiq
qatiq	8.1.4.1.16.6	qatiq
qatiq	8.1.4.2.11.2	qatiq
qatiq	8.1.4.2.12.1	qatiq
qatiq	8.1.4.2.14.1	qatiq
qatiq	8.1.4.2.16.7	qatiq
qatiq	8.1.4.3.11.3	qatiq
qatiq	8.1.4.3.12.1	qatiq
qatiq	8.1.4.3.14.1	qatiq
qatiq	8.1.4.3.16.7	qatiq
qatiq culture	4.2.3.1.22.3	qatiq culture
qatiq culture	4.2.3.4.22.2	qatiq culture
qatiq culture	8.1.3.1.22.3	qatiq culture
qatiq culture	8.1.3.3.22.3	qatiq culture
qatiq culture	8.1.3.4.22.3	qatiq culture
qatiq culture	8.1.3.5.22.2	qatiq culture
qatiq culture	8.1.4.1.22.3	qatiq culture
qatiq culture	8.1.4.2.22.3	qatiq culture
qatiq culture	8.1.4.3.22.3	qatiq culture
qatiq drink	8.1.3.1.20.4	qatiq drink
qatiq drink	8.1.3.3.20.4	qatiq drink
qatiq drink	8.1.3.4.16.6	qatiq drink
qatiq drink	8.1.3.4.20.3	qatiq drink
qatiq drink	8.1.3.5.20.3	qatiq drink
qatiq drink	8.1.4.1.20.6	qatiq drink
qatiq drink	8.1.4.2.20.3	qatiq drink
qatiq drink	8.1.4.3.20.6	qatiq drink
qatiq sauce	8.1.3.1.13.3	qatiq sauce
qatiq sauce	8.1.3.3.13.3	qatiq sauce
qatiq sauce	8.1.3.4.13.2	qatiq sauce
qatiq whey	4.2.3.1.12.6	qatiq whey
qattan	4.4.3.1.6.13	qattan
qattan	4.4.3.3.6.9	qattan
qawarma	4.3.1.3.14.10	qawarma
qawarma	4.3.1.3.18.3	qawarma
qawarma	4.3.2.2.14.15	qawarma
qawarma	4.3.2.2.18.9	qawarma
qaymaq	5.1.1.1.11.5	qaymaq
qaymaq	5.1.1.1.17.8	qaymaq
qaymaq	5.1.1.1.18.8	qaymaq
qaymaq	5.1.1.3.10.3	qaymaq
qaymaq	5.1.1.3.11.10	qaymaq
qaymaq	5.1.1.3.17.11	qaymaq
qaymaq	5.1.1.3.18.7	qaymaq
qaymaq chai	5.1.1.1.20.4	qaymaq chai
qaymaq chai	5.1.1.3.20.3	qaymaq chai
qebapa	2.6.8.1.18.5	qebapa
qeema	5.2.1.1.18.4	qeema
qehwa	5.1.3.2.20.4	qehwa
qehwa	5.2.3.3.16.8	qehwa
qehwa	5.2.3.3.20.1	qehwa
qehwa	5.2.3.4.16.8	qehwa
qehwa	5.2.3.4.20.1	qehwa
qeimar	4.4.2.1.11.7	qeimar
qeimar	4.4.2.1.18.7	qeimar
qeimar	4.4.3.2.11.4	qeimar
qeimar	4.4.3.2.17.4	qeimar
qeimar	4.4.3.3.11.6	qeimar
qeimar	4.4.3.3.18.3	qeimar
qeimar spread	4.4.3.2.13.5	qeimar spread
qelifi	4.6.5.3.18.8	qelifi
qelifi dough	4.6.5.3.23.7	qelifi dough
Qeshd	4.5.2.1.18.7	Qeshd
Qezlar Aghaje fig	4.4.1.1.3.5	Qezlar Aghaje fig
Qianbei black pig	6.4.3.3.18.11	Qianbei black pig
Qianbei black pig	6.4.3.3.6.1	Qianbei black pig
Qianbei hemp goat	6.4.3.3.18.12	Qianbei hemp goat
Qianbei hemp goat	6.4.3.3.6.14	Qianbei hemp goat
Qiandongnan small fragrant chicken	6.4.3.2.18.5	Qiandongnan small fragrant chicken
Qiandongnan small fragrant chicken	6.4.3.2.6.5	Qiandongnan small fragrant chicken
Qianjiang crayfish	6.2.3.4.18.6	Qianjiang crayfish
Qianjiang crayfish	6.2.3.4.6.1	Qianjiang crayfish
qianzhang sheets	6.2.3.1.23.5	qianzhang sheets
qianzhang tofu sheets	6.2.3.1.11.6	qianzhang tofu sheets
qianzhang tofu sheets	6.2.3.4.11.6	qianzhang tofu sheets
Qidong crisp jujubes	6.2.3.3.18.14	Qidong crisp jujubes
Qidong crisp jujubes	6.2.3.3.3.16	Qidong crisp jujubes
Qidong daylily	6.2.3.3.18.13	Qidong daylily
qifqi	2.6.7.3.18.1	qifqi
Qilian yellow mushrooms	6.4.5.3.18.12	Qilian yellow mushrooms
Qilichboy beshak melon	8.1.3.4.3.16	Qilichboy beshak melon
Qilihai river crab	6.1.1.2.18.4	Qilihai river crab
Qimen black tea	6.2.4.1.20.3	Qimen black tea
Qing'an rice	6.1.3.3.1.2	Qing'an rice
Qing'an rice	6.1.3.3.18.2	Qing'an rice
Qingdao bean jelly	6.1.2.1.18.4	Qingdao bean jelly
Qinghai black tea	6.4.5.3.20.3	Qinghai black tea
Qinghai old yogurt	6.4.5.3.11.4	Qinghai old yogurt
Qinghai old yogurt	6.4.5.3.14.6	Qinghai old yogurt
Qinghai old yogurt	6.4.5.3.18.7	Qinghai old yogurt
Qinghai Tibetan sheep mutton	6.4.5.3.6.7	Qinghai Tibetan sheep mutton
qinghong rice wine	6.3.3.1.16.7	qinghong rice wine
qinghong rice wine	6.3.3.1.18.11	qinghong rice wine
qinghong rice wine	6.3.3.1.19.5	qinghong rice wine
qinghong rice wine	6.3.3.1.20.2	qinghong rice wine
qinghong rice wine lees	6.3.3.1.13.4	qinghong rice wine lees
qinghong rice wine lees	6.3.3.1.14.4	qinghong rice wine lees
Qingjian black pig pork	6.1.4.4.6.8	Qingjian black pig pork
Qingjian potato vermicelli	6.1.4.4.14.13	Qingjian potato vermicelli
Qingjian potato vermicelli	6.1.4.4.18.9	Qingjian potato vermicelli
Qingjian red jujube	6.1.4.4.14.1	Qingjian red jujube
Qingjian red jujube	6.1.4.4.18.6	Qingjian red jujube
Qingjian red jujube	6.1.4.4.3.1	Qingjian red jujube
Qingliangshan tea	6.3.4.1.18.6	Qingliangshan tea
Qingliangshan tea	6.3.4.1.19.1	Qingliangshan tea
Qingliangshan tea	6.3.4.1.20.1	Qingliangshan tea
Qingpu loquats	6.2.2.2.18.14	Qingpu loquats
Qingpu loquats	6.2.2.2.3.4	Qingpu loquats
Qingshan goat	6.1.2.3.6.12	Qingshan goat
Qingshui rice	6.1.3.1.1.2	Qingshui rice
Qingsong Shanlan rice	6.3.5.4.1.2	Qingsong Shanlan rice
qingtou mushroom	6.4.2.1.18.2	qingtou mushroom
Qingxu aged vinegar	6.1.4.2.12.2	Qingxu aged vinegar
Qingxu aged vinegar	6.1.4.2.13.2	Qingxu aged vinegar
Qingxu aged vinegar	6.1.4.2.14.1	Qingxu aged vinegar
Qingxu aged vinegar	6.1.4.2.18.2	Qingxu aged vinegar
Qingxu grape	6.1.4.2.18.5	Qingxu grape
Qingxu grape	6.1.4.2.3.10	Qingxu grape
Qingxu grape wine	6.1.4.2.20.3	Qingxu grape wine
Qingyan marinated pig trotter	6.4.3.1.14.11	Qingyan marinated pig trotter
Qingyan pig trotters	6.4.3.1.6.11	Qingyan pig trotters
Qingyan tofu	6.4.3.1.11.5	Qingyan tofu
Qingyan tofu	6.4.3.1.18.10	Qingyan tofu
Qingzhen Huangba	6.4.3.1.18.1	Qingzhen Huangba
Qingzhen Sha'e tofu	6.4.3.1.11.4	Qingzhen Sha'e tofu
Qingzhen Sha'e tofu	6.4.3.1.18.9	Qingzhen Sha'e tofu
Qingzhong loquat	6.2.1.4.3.5	Qingzhong loquat
Qingzhou silver melon	6.1.2.2.18.7	Qingzhou silver melon
Qingzhou silver melon	6.1.2.2.3.3	Qingzhou silver melon
Qinzhou yellow millet	6.1.4.2.1.8	Qinzhou yellow millet
Qinzhou yellow millet	6.1.4.2.18.3	Qinzhou yellow millet
Qiongshan blessed rice	6.3.5.1.1.1	Qiongshan blessed rice
Qiongzhong green orange	6.3.5.4.18.13	Qiongzhong green orange
Qiongzhong green orange	6.3.5.4.3.1	Qiongzhong green orange
Qiongzhong Shanlan rice	6.3.5.4.1.3	Qiongzhong Shanlan rice
Qiongzhong Shanlan rice	6.3.5.4.18.2	Qiongzhong Shanlan rice
qishni	4.4.3.1.6.12	qishni
Qishr	4.5.4.1.18.10	Qishr
Qishr	4.5.4.1.20.1	Qishr
Qishr	4.5.4.2.20.4	Qishr
Qishr	4.5.4.3.19.2	Qishr
Qishr	4.5.4.3.20.2	Qishr
Qishr coffee husks	4.5.4.1.14.3	Qishr coffee husks
Qishri Hadrami	4.5.4.3.18.6	Qishri Hadrami
Qitai flour	6.4.4.3.1.1	Qitai flour
Qitai flour	6.4.4.3.18.1	Qitai flour
Qitai style strong wheat flour	6.4.5.3.1.9	Qitai style strong wheat flour
Qiubei chili	6.4.2.4.18.5	Qiubei chili
Qiubei chili	6.4.2.4.2.2	Qiubei chili
Qiubei crystal grapes	6.4.2.4.3.8	Qiubei crystal grapes
Qiubei red grapes	6.4.2.4.3.7	Qiubei red grapes
Qiubei rose honey grapes	6.4.2.4.3.9	Qiubei rose honey grapes
Qiulin kvass	6.1.3.3.18.20	Qiulin kvass
Qiulin kvass	6.1.3.3.20.2	Qiulin kvass
Qixian su pear	6.1.4.2.18.8	Qixian su pear
Qixian su pear	6.1.4.2.3.4	Qixian su pear
qizha	4.3.4.2.13.8	qizha
Qocco	3.3.1.3.1.7	Qocco
Qocco	3.3.1.3.14.2	Qocco
Qocco	3.3.1.3.18.4	Qocco
qorma masala	5.2.1.1.13.8	qorma masala
qoroot	4.6.5.2.11.6	qoroot
qoroot	4.6.5.2.14.1	qoroot
qoroot sauce	4.6.5.2.13.4	qoroot sauce
Qouzi	4.5.6.3.18.15	Qouzi
quaglia	2.4.6.3.6.12	quaglia
Quahogs	1.1.1.1.6.2	Quahogs
Quahogs	1.1.1.4.18.5	Quahogs
Quahogs	1.1.1.4.6.2	Quahogs
Quail	2.2.8.2.6.38	Quail
Quail	2.3.2.2.6.11	Quail
Quail	2.3.6.1.6.9	Quail
Quail	2.9.7.1.6.5	Quail
Quail	2.9.7.3.6.5	Quail
Quail	5.6.2.4.6.11	Quail
Quail	9.3.4.1.6.17	Quail
Quail	9.3.4.2.6.13	Quail
quail	1.1.7.3.6.7	quail
quail	1.1.8.1.6.8	quail
quail	1.1.8.2.6.12	quail
quail	1.1.8.3.6.23	quail
quail	1.1.8.4.6.10	quail
quail	1.1.8.6.6.13	quail
quail	1.1.9.1.6.12	quail
quail	1.1.9.2.6.8	quail
quail	1.1.9.3.6.13	quail
quail	1.1.9.4.6.7	quail
quail	2.7.1.1.6.6	quail
quail	2.7.1.2.6.13	quail
quail	4.2.1.3.6.6	quail
quail	6.4.3.3.6.13	quail
quail	6.4.4.1.6.12	quail
quail	6.4.4.3.6.12	quail
quail	6.4.4.4.6.14	quail
quail	8.1.3.3.6.6	quail
quail egg	6.3.2.4.6.8	quail egg
Quail eggs	2.9.7.1.6.6	Quail eggs
Quail eggs	2.9.7.3.6.6	Quail eggs
quail eggs	1.1.13.3.6.9	quail eggs
quail eggs	6.4.4.1.6.18	quail eggs
quail eggs	6.4.4.3.6.19	quail eggs
quail eggs	7.1.1.1.6.6	quail eggs
quail eggs	7.1.7.1.6.17	quail eggs
quail eggs	7.1.8.1.6.23	quail eggs
quail eggs	7.1.8.2.6.21	quail eggs
quail eggs	7.1.8.4.6.23	quail eggs
quail eggs	7.1.9.1.17.11	quail eggs
quail eggs	7.1.9.1.6.33	quail eggs
quail eggs	7.1.9.2.6.23	quail eggs
quail eggs	7.3.2.3.6.14	quail eggs
quail eggs	8.1.3.1.17.7	quail eggs
quail eggs	8.1.3.1.6.7	quail eggs
quail eggs	8.1.3.2.17.6	quail eggs
quail eggs	8.1.3.2.18.6	quail eggs
quail eggs	8.1.3.2.6.6	quail eggs
quail eggs	8.1.3.3.17.8	quail eggs
quail eggs	8.1.3.3.6.8	quail eggs
quail eggs	8.1.3.4.18.10	quail eggs
quail eggs	8.1.3.4.6.6	quail eggs
quall animal	2.2.5.1.22.4	quall animal
quall animal	2.2.5.2.22.4	quall animal
quall animal	2.2.5.3.22.4	quall animal
quall animal	2.2.5.4.22.4	quall animal
quallada	2.2.6.2.11.5	quallada
Quandong	9.1.1.1.12.4	Quandong
Quandong	9.1.1.1.3.5	Quandong
Quandong	9.1.1.4.3.1	Quandong
Quandong	9.1.2.3.12.4	Quandong
Quandong	9.1.2.3.3.6	Quandong
Quandong	9.1.3.1.12.4	Quandong
Quandong	9.1.3.1.3.5	Quandong
Quandong	9.1.3.3.12.4	Quandong
Quandong	9.1.3.3.3.9	Quandong
Quandong	9.1.5.3.12.3	Quandong
Quandong	9.1.5.3.3.8	Quandong
Quandong	9.1.5.4.12.1	Quandong
Quandong	9.1.5.4.17.6	Quandong
Quandong	9.1.5.4.18.2	Quandong
Quandong	9.1.5.4.19.4	Quandong
Quandong	9.1.5.4.3.1	Quandong
Quandong beer	9.1.5.4.16.4	Quandong beer
Quandong chutney	9.1.3.3.13.7	Quandong chutney
Quandong chutney	9.1.5.3.13.6	Quandong chutney
Quandong flesh	9.1.1.4.12.1	Quandong flesh
Quandong fruit cakes	9.1.1.1.14.4	Quandong fruit cakes
Quandong fruit cakes	9.1.1.1.18.8	Quandong fruit cakes
Quandong infused lager	9.1.5.4.14.3	Quandong infused lager
Quandong infused lager	9.1.5.4.20.3	Quandong infused lager
Quandong jam	9.1.1.4.13.5	Quandong jam
Quandong jam	9.1.2.3.13.1	Quandong jam
Quandong jam	9.1.3.3.14.10	Quandong jam
Quandong jam	9.1.5.4.13.2	Quandong jam
Quandong jam	9.1.5.4.14.1	Quandong jam
Quandong kernel	9.1.1.1.5.9	Quandong kernel
Quandong kernel	9.1.1.4.5.1	Quandong kernel
Quandong kernel	9.1.2.3.18.7	Quandong kernel
Quandong kernel	9.1.2.3.5.6	Quandong kernel
Quandong kernel	9.1.3.3.5.5	Quandong kernel
Quandong kernel	9.1.5.3.5.1	Quandong kernel
Quandong kernel flour	9.1.1.4.22.5	Quandong kernel flour
Quandong kernel oil	9.1.2.3.19.5	Quandong kernel oil
Quandong kernel paste	9.1.1.4.11.4	Quandong kernel paste
Quandong kernel paste	9.1.5.3.10.1	Quandong kernel paste
Quandong kernel paste	9.1.5.3.11.4	Quandong kernel paste
Quandong leaves	9.1.1.4.19.7	Quandong leaves
Quandong paste	9.1.3.1.13.9	Quandong paste
Quandong pieces	9.1.1.4.17.6	Quandong pieces
Quandong pieces	9.1.5.3.17.3	Quandong pieces
Quandong relish	9.1.2.3.13.2	Quandong relish
Quandong savoury sauce	9.1.1.4.13.6	Quandong savoury sauce
Quandong seed oil	9.1.1.4.19.6	Quandong seed oil
Quảng Trị arrowroot starch	7.1.8.1.18.4	Quang Tri arrowroot starch
Quảng Trị black pepper	7.1.8.1.18.9	Quang Tri black pepper
Quảng Trị black pepper	7.1.8.1.8.1	Quang Tri black pepper
Quảng Trị seaweed	7.1.8.1.18.8	Quang Tri seaweed
Quảng Trị white pepper	7.1.8.1.8.2	Quang Tri white pepper
Quannan grape	6.3.4.3.18.6	Quannan grape
Quannan grape	6.3.4.3.3.9	Quannan grape
Quannan grapes	6.2.4.3.3.10	Quannan grapes
Quannan ponkan	6.3.4.3.18.5	Quannan ponkan
Quannan ponkan	6.3.4.3.3.5	Quannan ponkan
Quannan ponkan mandarins	6.2.4.3.3.7	Quannan ponkan mandarins
Quannan water chestnut	6.3.4.3.2.5	Quannan water chestnut
Quanyangquan mineral water	6.1.3.2.16.3	Quanyangquan mineral water
Quanyangquan mineral water	6.1.3.2.20.7	Quanyangquan mineral water
Quanzhou Chunsheng Tang brewed wine	6.3.3.2.16.7	Quanzhou Chunsheng Tang brewed wine
Quanzhou Chunsheng Tang brewed wine	6.3.3.2.20.6	Quanzhou Chunsheng Tang brewed wine
Quanzhou hehuayu	6.3.2.1.18.5	Quanzhou hehuayu
Quanzhou hehuayu	6.3.2.1.6.11	Quanzhou hehuayu
Quark	2.5.1.1.11.9	Quark
Quark	2.5.1.2.11.9	Quark
Quark	2.5.1.3.11.6	Quark
Quark	2.5.1.4.11.7	Quark
Quark	2.5.1.4.18.23	Quark
Quark	2.5.2.1.11.4	Quark
Quark	2.5.2.2.11.6	Quark
Quark	2.5.2.3.11.11	Quark
Quark	2.5.2.4.11.6	Quark
Quark	2.5.3.1.11.13	Quark
Quark	2.5.3.2.11.15	Quark
Quark	2.5.3.3.11.29	Quark
Quark	2.5.3.4.11.23	Quark
Quark	2.5.4.1.11.19	Quark
Quark	2.5.4.4.11.9	Quark
Quark	2.5.5.1.11.20	Quark
Quark	2.5.5.2.11.23	Quark
Quark	2.5.5.3.11.13	Quark
Quark	2.5.6.1.11.26	Quark
Quark	2.5.6.2.11.31	Quark
Quark	2.5.6.3.11.19	Quark
Quark	2.9.6.2.11.9	Quark
Quark	2.9.6.3.11.3	Quark
Quark	2.9.7.3.11.9	Quark
quark	1.1.13.1.11.8	quark
quark	1.1.14.4.11.8	quark
quark	2.4.2.3.11.15	quark
quark	2.8.1.1.11.3	quark
quark	9.2.2.4.11.6	quark
Quartiers de citron vert	1.4.7.3.17.4	Lime wedges
Quartiers de citron vert	1.4.9.1.17.4	Lime wedges
Quartiers de citron vert	1.4.9.2.17.5	Lime wedges
Quartiers de citron vert	1.4.9.3.17.5	Lime wedges
Quartirolo Lombardo DOP	2.4.1.4.11.2	Quartirolo Lombardo DOP
Quatre côtés	3.5.1.1.8.7	Four sides
quatre saisons citrus	3.1.3.3.3.17	quatre saisons citrus
Quatre-épices	1.4.7.3.8.3	Allspice
Quatre-épices	1.4.9.1.8.3	Allspice
Quatre-épices	1.4.9.2.8.3	Allspice
Quatre-épices	1.4.9.3.8.3	Allspice
Quba apples	4.2.3.5.3.5	Quba apples
quebra-pedra	1.7.1.4.19.3	quebra-pedra
quebra-pedra	1.7.2.3.19.5	quebra-pedra
quebra-pedra	1.7.3.1.19.8	quebra-pedra
quebra-pedra	1.7.6.3.19.7	quebra-pedra
quebra-pedra	1.7.6.4.19.5	quebra-pedra
quebra-torto	1.7.6.3.18.7	quebra-torto
Quebrado de tollo ahumado	1.5.2.3.18.14	Smoked Tollo Broken
queen conch	1.3.2.1.6.28	queen conch
queen conch	1.3.2.3.6.19	queen conch
queen fish	5.2.2.1.6.14	queen fish
Queen Red strawberries	6.7.6.2.3.21	Queen Red strawberries
Queenfish	9.1.5.1.6.10	Queenfish
queijada	1.7.3.1.18.9	queijada
queijada	1.7.3.4.18.7	queijada
queijo	1.7.1.3.11.2	queijo
queijo	1.7.6.1.11.2	queijo
queijo	1.7.6.3.11.1	queijo
queijo	2.2.1.1.11.3	queijo
queijo amarelo da Beira Baixa	2.2.1.3.11.9	yellow cheese from Beira Baixa
queijo amarelo da Beira Baixa velho	2.2.1.3.11.10	old yellow cheese from Beira Baixa
queijo amarelo da Beira Baixa velho	2.2.1.3.14.11	old yellow cheese from Beira Baixa
queijo Araxá	1.7.4.3.11.9	Araxa cheese
queijo artesanal serrano	1.7.5.4.11.3	queijo artesanal serrano
queijo artesanal serrano	1.7.5.4.18.2	queijo artesanal serrano
queijo branco	1.7.4.4.11.5	queijo branco
queijo Cabacinha	1.7.4.3.11.11	queijo Cabacinha
queijo Cabacinha	1.7.4.3.14.4	queijo Cabacinha
queijo cabacinha	1.7.6.1.11.4	queijo cabacinha
queijo cabacinha curado	1.7.6.1.14.2	queijo cabacinha curado
queijo Canastra	1.7.4.3.11.7	queijo Canastra
queijo Canastra	1.7.4.3.18.10	queijo Canastra
queijo Canastra curado	1.7.4.3.14.2	queijo Canastra curado
queijo cartucheira	1.7.6.2.11.4	queijo cartucheira
queijo coalho	1.7.1.1.11.1	queijo coalho
queijo coalho	1.7.1.3.11.3	queijo coalho
queijo coalho	1.7.1.4.11.4	queijo coalho
queijo coalho	1.7.2.1.11.3	queijo coalho
queijo coalho	1.7.2.2.11.3	queijo coalho
queijo coalho	1.7.2.2.18.4	queijo coalho
queijo coalho	1.7.2.3.11.3	queijo coalho
queijo coalho	1.7.3.1.11.3	queijo coalho
queijo coalho	1.7.3.2.11.3	queijo coalho
queijo coalho curado	1.7.2.1.14.4	queijo coalho curado
queijo coalho curado	1.7.2.2.14.4	queijo coalho curado
queijo coalho curado	1.7.2.3.14.6	queijo coalho curado
queijo coalho ralado	1.7.1.1.17.10	queijo coalho ralado
queijo coalho ralado	1.7.2.1.17.2	queijo coalho ralado
queijo coalho ralado	1.7.2.2.17.2	queijo coalho ralado
queijo colonial	1.7.5.3.11.5	queijo colonial
queijo colonial	1.7.5.3.18.7	queijo colonial
queijo colonial curado	1.7.5.3.14.6	queijo colonial curado
queijo colonial do Sudoeste do Paraná	1.7.5.1.11.7	colonial cheese from Southwest Paraná
queijo colonial do Sudoeste do Paraná curado	1.7.5.1.14.3	cured colonial cheese from the Southwest of Paraná
queijo curado	1.7.6.1.11.3	queijo curado
queijo curado	1.7.6.4.14.8	queijo curado
queijo curado de ovelha	2.2.1.4.11.9	cured sheep cheese
queijo da Colônia Witmarsum	1.7.5.1.11.6	cheese from Colônia Witmarsum
queijo da Colônia Witmarsum	1.7.5.1.18.11	cheese from Colônia Witmarsum
queijo da Colônia Witmarsum curado	1.7.5.1.14.2	ripened cheese from Colônia Witmarsum
queijo da Mantiqueira de Minas	1.7.4.3.11.10	cheese from Mantiqueira de Minas
queijo de cabra	1.7.2.2.11.5	goat cheese
queijo de cabra curado	2.2.1.5.11.4	cured goat cheese
queijo de cabra das Beiras	2.2.1.3.11.15	Beiras goat cheese
queijo de cabra do Algarve	2.2.1.5.11.2	Algarve goat cheese
queijo de cabra do Guadiana	2.2.1.4.11.7	Guadiana goat cheese
queijo de cabra fresco	2.2.1.5.11.3	fresh goat cheese
queijo de Cabra Transmontano	2.2.1.2.11.5	Transmontano goat cheese
queijo de Castelo Branco	2.2.1.3.11.7	Castelo Branco cheese
queijo de Castelo Branco velho	2.2.1.3.11.8	old Castelo Branco cheese
queijo de Castelo Branco velho	2.2.1.3.14.10	old Castelo Branco cheese
queijo de Évora DOP	2.2.1.4.11.5	Évora cheese PDO
queijo de manteiga	1.7.2.1.11.4	butter cheese
queijo de manteiga	1.7.2.2.11.4	butter cheese
queijo de manteiga	1.7.2.2.14.5	butter cheese
queijo de manteiga	1.7.2.2.18.5	butter cheese
queijo de manteiga	1.7.2.3.11.4	butter cheese
queijo de Nisa DOP	2.2.1.4.11.4	Nisa PDO cheese
queijo de ovelha esfarelado	2.2.1.4.17.10	crumbled sheep cheese
queijo do Marajó	1.7.1.2.18.5	Marajo cheese
queijo do Marajó ralado	1.7.1.2.17.8	grated Marajó cheese
queijo do Marajó tipo creme	1.7.1.2.11.1	cream-type Marajó cheese
queijo do Marajó tipo manteiga	1.7.1.2.11.2	butter-like Marajó cheese
queijo do Serro	1.7.4.3.11.8	Serro cheese
queijo do Serro curado	1.7.4.3.14.3	cured Serro cheese
queijo do sertão	1.7.2.1.11.5	country cheese
queijo frescal	1.7.1.3.11.6	queijo frescal
queijo frescal de búfala	1.7.6.4.11.11	fresh buffalo cheese
queijo frescal de cabra	1.7.6.4.11.7	fresh goat cheese
queijo frescal de ovelha	1.7.6.4.11.9	fresh sheep cheese
queijo frescal de vaca	1.7.6.4.11.5	fresh cow cheese
queijo fresco	1.7.3.3.11.2	queijo fresco
queijo fresco	1.7.4.2.11.5	queijo fresco
queijo fresco	1.7.6.3.11.3	queijo fresco
queijo fresco de ovelha	2.2.1.4.11.10	fresh sheep cheese
queijo maturado	1.7.3.3.11.3	queijo maturado
queijo maturado de cabra	1.7.6.4.11.8	aged goat cheese
queijo maturado de ovelha	1.7.6.4.11.10	aged sheep cheese
queijo maturado de vaca	1.7.6.4.11.6	aged cow cheese
queijo meia-cura	1.7.4.2.11.6	queijo meia-cura
queijo Mestiço de Tolosa IGP	2.2.1.4.11.6	Mestizo cheese from Tolosa PGI
